op,backend,dtype,kernel,duration_ns,conflicts,shared_wavefronts,conflict_score,branch_eff,ipc_gap,diag
1d_conv,cutile,fp16,conv1d_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I32_I32_I128,4514368.0,11902389.0,234141450.0,5.083418164532594,100.0,0.0,Mild
1d_conv,cutile,fp32,conv1d_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I128_I32_I64,5302144.0,713003.0,38752960.0,1.8398671998216394,99.38409529862167,7.371828690727611e-05,Mild
1d_conv,triton,fp16,conv1d_kernel,2522048.0,4399789.0,83051866.0,5.297640151757698,99.69418960244649,3.010050588292401e-05,Mild
1d_conv,triton,fp32,conv1d_kernel,3085344.0,187876204.0,344672928.0,54.508546722880425,99.67845659163986,4.919798250080376e-05,Severe/Moderate
2d_conv,cutile,fp16,conv2d_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I32_I32_I128,798304.0,33228.0,25123722.0,0.13225747363388274,100.0,0.0,Likely
2d_conv,cutile,fp32,conv2d_kernel_Kt1_A1f32_1i16t1_p16_A1f32_1i16t1_p16_A1f32_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I32_I32_I128,941152.0,612024.0,49836207.0,1.2280709886288095,100.0,0.0,Mild
2d_conv,triton,fp16,conv2d_kernel,555040.0,590170.0,8714063.0,6.772615713244212,99.581589958159,1.1203221273348163e-05,Mild
2d_conv,triton,fp32,conv2d_kernel,629632.0,18589882.0,35799206.0,51.92819639631114,99.88726042841039,9.83942622179157e-06,Severe/Moderate
2d_max_pooling,cutile,bf16,max_pool2d_kernel_Kt1_A3bf16_3v8l0_4t1_7i16_p16_A3bf16_3v8l0_4t1_7i16_p16_I3_I2_I1_I4_I128,290656.0,55989.0,5298789.0,1.0566376581517023,,0.0,Mild
2d_max_pooling,cutile,fp16,max_pool2d_kernel_Kt1_A3f16_3v8l0_4t1_7i16_p16_A3f16_3v8l0_4t1_7i16_p16_I3_I2_I1_I4_I128,290720.0,56380.0,5299316.0,1.063910889631794,,0.0,Mild
2d_max_pooling,cutile,fp32,max_pool2d_kernel_Kt1_A3f32_3v4l0_4t1_7i16_p16_A3f32_3v4l0_4t1_7i16_p16_I3_I2_I1_I4_I128,306432.0,205352.0,7248618.0,2.8329814041793897,,0.0,Mild
2d_max_pooling,triton,bf16,max_pool2d_kernel,205120.0,164346.0,13941798.0,1.1788006109398514,,0.0,Mild
2d_max_pooling,triton,fp16,max_pool2d_kernel,203360.0,163493.0,13941704.0,1.1726902249538507,,0.0,Mild
2d_max_pooling,triton,fp32,max_pool2d_kernel,227520.0,226533.0,14332950.0,1.5805050600190471,,0.0,Mild
3d_conv,cutile,fp16,conv3d_kernel_Kt1_A1f16_1i16t1_p16_A1f16_1i16t1_p16_A1f16_1i16t1_p16_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_Si32_I128_I16_I64,35744416.0,2799476.0,129832224.0,2.1562258688567177,99.86266905034213,7.515887768061447e-05,Mild
