operator,category,num_supported_dtypes,num_valid_cases,triton_geomean_speedup_vs_torch,cutile_geomean_speedup_vs_torch,triton_over_cutile_ratio,faster_backend,within_5_percent,within_10_percent,torch_baseline_class,source_file
1d_conv,Stencil/Conv,2,40,0.539378705649571,0.3065046201905226,1.759773491552246,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
2d_conv,Stencil/Conv,2,40,0.23803942622167218,0.1525132076040345,1.5607790955370033,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
2d_max_pooling,Stencil/Conv,3,60,2.6432914200254123,2.0283538614964787,1.3031707485572783,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
3d_conv,Stencil/Conv,2,40,0.11929831814139855,0.05457959164959389,2.18576787652251,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
argmax,Reduction/Norm,2,40,1.9882228699287408,2.058038773490784,0.9660764877409848,cutile,yes,yes,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
batch_normalization,Reduction/Norm,3,60,2.8559748746353746,2.5638033038244172,1.1139602130846489,triton,no,no,generic_aten_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
batched_matmul,Matrix Mult./Attn,3,60,0.807137148848682,0.7137018684046855,1.1309164016241815,triton,no,no,vendor_library_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
bitonic_sort,Data Layout,2,40,36.43220838181452,36.58899041917741,0.995715048828439,cutile,yes,yes,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
block_sparse_attention,Matrix Mult./Attn,1,20,1.9452752278825427,0.7232957236224953,2.689460430016073,triton,no,no,compiled_general_purpose_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
cross_entropy,Reduction/Norm,2,40,2.490353742934366,1.764333989780976,1.4114979121631714,triton,no,no,eager_multi_kernel,results/csv/<op>_autotune.csv (45 files) via scripts/analysis/bench_data.py::load_main_table
