operator,dtype,ncu_profiled_case_params,sweep_max_case,fig4_sweepmax_case_if_different_BEFORE_fix,torch_csv_latency_ms,triton_csv_latency_ms,cutile_csv_latency_ms,triton_over_torch_speedup,cutile_over_torch_speedup,triton_over_cutile_ratio,torch_kernel_count,triton_kernel_count,cutile_kernel_count,primary_torch_kernel,primary_triton_kernel,primary_cutile_kernel,triton_winning_config,cutile_winning_config,ncu_report_section_or_page,benchmark_source_file,NCU_PROFILE_DURATION_triton_total_us,NCU_PROFILE_DURATION_cutile_total_us,NCU_PROFILE_n_launches_triton,NCU_PROFILE_n_launches_cutile,ncu_over_csv_triton,ncu_over_csv_cutile,catalogue_params_match_fig4_sweepmax_BEFORE_fix
1d_conv,fp16,L=2621440,L=2621440,,1.2986,2.5153,4.4961,0.5162803641712719,0.2888280954605102,1.7875004969586135,cuDNN conv + layout conversion,1,1,cuDNN conv,conv1d_kernel,conv1d_kernel,"{""BLOCK_SIZE_BATCH_LENGTH"": 128, ""BLOCK_SIZE_IN_FEAT"": 32, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 8, ""num_stages"": 3}","{""block_bl"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 8}",NVIDIA_Report(2).pdf p1,results/csv/1d_conv_autotune.csv,2522.05,4514.37,1,1,1.003,1.004,yes
1d_conv,fp32,L=2621440,L=2621440,,1.7185,3.0636,5.3006,0.5609413761587674,0.3242085801607365,1.730186708447578,cuDNN conv + layout conversion,1,1,cuDNN conv,conv1d_kernel,conv1d_kernel,"{""BLOCK_SIZE_BATCH_LENGTH"": 64, ""BLOCK_SIZE_IN_FEAT"": 16, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 4, ""num_stages"": 3}","{""block_bl"": 128, ""block_in"": 32, ""block_out"": 64, ""occupancy"": 4}",NVIDIA_Report(2).pdf p1,results/csv/1d_conv_autotune.csv,3085.34,5302.14,1,1,1.007,1.000,yes
2d_conv,fp16,H=320,H=320,,0.098,0.5386,0.7815,0.181953212031192,0.1253998720409469,1.4509840326773116,cuDNN conv + layout conversion,1,1,cuDNN Blackwell tensor-op conv,conv2d_kernel,conv2d_kernel,"{""BLOCK_SIZE_BATCH_HEIGHT_WIDTH"": 128, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 4}","{""block_bhw"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 4}",NVIDIA_Report(2).pdf p1,results/csv/2d_conv_autotune.csv,555.04,798.30,1,1,1.031,1.022,yes
2d_conv,fp32,H=320,H=320,,0.1034,0.6098,0.9153,0.1695637914070187,0.11296842565279144,1.5009839291571008,cuDNN conv + layout conversion,1,1,cuDNN Blackwell tensor-op conv,conv2d_kernel,conv2d_kernel,"{""BLOCK_SIZE_BATCH_HEIGHT_WIDTH"": 64, ""BLOCK_SIZE_IN_FEAT"": 16, ""BLOCK_SIZE_OUT_FEAT"": 128, ""num_warps"": 4, ""num_stages"": 3}","{""block_bhw"": 32, ""block_in"": 32, ""block_out"": 128, ""occupancy"": 4}",NVIDIA_Report(2).pdf p1,results/csv/2d_conv_autotune.csv,629.63,941.15,1,1,1.033,1.028,yes
2d_max_pooling,fp16,H=640,H=640,,0.6836,0.2017,0.2805,3.3891918691125436,2.437076648841354,1.3906792265741201,max_pool2d_with_indices kernel,1,1,max_pool2d_with_indices,max_pool2d_kernel,max_pool2d_kernel,"{""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4}","{""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8}",NVIDIA_Report(2).pdf p14,results/csv/2d_max_pooling_autotune.csv,203.36,290.72,1,1,1.008,1.036,yes
2d_max_pooling,bf16,H=640,H=640,,0.7003,0.2034,0.2805,3.442969518190757,2.4966131907308378,1.3790560471976403,max_pool2d_with_indices kernel,1,1,max_pool2d_with_indices,max_pool2d_kernel,max_pool2d_kernel,"{""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4}","{""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8}",NVIDIA_Report(2).pdf p14,results/csv/2d_max_pooling_autotune.csv,205.12,290.66,1,1,1.008,1.036,yes
2d_max_pooling,fp32,H=640,H=640,,0.6765,0.2257,0.2995,2.9973416038989806,2.2587646076794656,1.3269827204253433,max_pool2d_with_indices kernel,1,1,max_pool2d_with_indices,max_pool2d_kernel,max_pool2d_kernel,"{""BLOCK_R"": 1, ""BLOCK_C"": 512, ""num_warps"": 4}","{""tile_r"": 4, ""tile_c"": 128, ""occupancy"": 8}",NVIDIA_Report(2).pdf p14,results/csv/2d_max_pooling_autotune.csv,227.52,306.43,1,1,1.008,1.023,yes
3d_conv,fp16,H=320,H=320,,1.4166,13.8689,35.8263,0.10214220305864201,0.03954078428417113,2.583211357786126,cuDNN conv + layout conversion,1,1,cuDNN conv,conv3d_kernel,conv3d_kernel,"{""BLOCK_SIZE_BATCH_DHW"": 128, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 2}","{""block_bdhw"": 128, ""block_in"": 16, ""block_out"": 64, ""occupancy"": 4}",NVIDIA_Report(2).pdf p1,results/csv/3d_conv_autotune.csv,13859.49,35744.42,1,1,0.999,0.998,yes
3d_conv,fp32,H=320,H=320,,2.0821,18.204,33.165,0.11437596132718084,0.06278003919794965,1.821852340145023,cuDNN conv + layout conversion,1,1,cuDNN conv,conv3d_kernel,conv3d_kernel,"{""BLOCK_SIZE_BATCH_DHW"": 64, ""BLOCK_SIZE_IN_FEAT"": 64, ""BLOCK_SIZE_OUT_FEAT"": 64, ""num_warps"": 4, ""num_stages"": 2}","{""block_bdhw"": 128, ""block_in"": 16, ""block_out"": 64, ""occupancy"": 4}",NVIDIA_Report(2).pdf p1,results/csv/3d_conv_autotune.csv,18206.43,33156.83,1,1,1.000,1.000,yes
argmax,fp16,N=20480,N=20480,,0.0503,0.0298,0.0301,1.6879194630872483,1.6710963455149501,1.0100671140939597,1 (ATen reduce_kernel<ArgMaxOps>),1,1,reduce_kernel<ArgMaxOps>,argmax_rowwise_kernel,argmax_rowwise_kernel,"{""BLOCK_N"": 2048, ""num_warps"": 4, ""num_stages"": 4}","{""block_n"": 2048, ""occupancy"": 16}",NVIDIA_Report(2).pdf p16,results/csv/argmax_autotune.csv,32.48,33.18,1,1,1.090,1.102,yes
