rank,operator,dtype,maximum_input_description,faster_backend,slower_over_faster_ratio,torch_latency,triton_latency,cutile_latency,source_file
1,flash_decode,fp32,seq_len=40960 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,3.7161862527716183,0.0471,0.0451,0.1676,results/csv/flash_decode_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
2,block_sparse_attention,fp16,M=10240 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,3.0780141843971633,0.1458,0.0705,0.217,results/csv/block_sparse_attention_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
3,destindex,int8,seq_len=40960 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.942307692307692,0.1812,0.0364,0.1071,results/csv/destindex_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
4,weight_dequant,bf16,M=10240 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.75480059084195,1.3198,0.0677,0.1865,results/csv/weight_dequant_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
5,weight_dequant,fp16,M=10240 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.7452135493372607,1.3179,0.0679,0.1864,results/csv/weight_dequant_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
6,3d_conv,fp16,H=320 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.583211357786126,1.4166,13.8689,35.8263,results/csv/3d_conv_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
7,destindex,bf16,seq_len=40960 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.522727272727273,0.192,0.044,0.111,results/csv/destindex_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
8,destindex,fp16,seq_len=40960 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.5215419501133787,0.1922,0.0441,0.1112,results/csv/destindex_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
9,linear_self_attention,fp32,"D=256, M=10000 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json)",triton,2.191047531149054,0.0934,0.2167,0.4748,results/csv/linear_self_attention_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
10,moe_topk_gating,fp16,M=20480 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.1904761904761902,0.1209,0.0126,0.0276,results/csv/moe_topk_gating_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
11,moe_topk_gating,fp32,M=20480 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.173228346456693,0.128,0.0127,0.0276,results/csv/moe_topk_gating_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
12,moe_topk_gating,bf16,M=20480 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.166666666666667,0.1328,0.0126,0.0273,results/csv/moe_topk_gating_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
13,radix_sort,int32,n=20000000 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,2.0480983343724946,0.8039,1.1227,2.2994,results/csv/radix_sort_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
14,softmax,fp16,n_cols=10240 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.8230088495575223,0.045,0.0226,0.0412,results/csv/softmax_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
15,3d_conv,fp32,H=320 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.821852340145023,2.0821,18.204,33.165,results/csv/3d_conv_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
16,1d_conv,fp16,L=2621440 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.7875004969586135,1.2986,2.5153,4.4961,results/csv/1d_conv_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
17,histogramming,int32,"N=67108864, num_bins=4096 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json)",triton,1.7811212386065678,0.6246,0.8009,1.4265,results/csv/histogramming_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
18,batched_matmul,fp32,M=640 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.7637362637362637,0.0407,0.0546,0.0963,results/csv/batched_matmul_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
19,1d_conv,fp32,L=2621440 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.730186708447578,1.7185,3.0636,5.3006,results/csv/1d_conv_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
20,batch_normalization,fp16,N=20000 (NCU-profiled sweep-max case per tilebench_run/ncu_catalogue.json),triton,1.6053639846743293,0.1419,0.0261,0.0419,results/csv/batch_normalization_autotune.csv (via scripts/analysis/fig_evaluation.py::fig_rq3_top20; latencies in ms)
