Metric                                                                                                      tl_fp16             tr_fp16             ct_fp16
-----------------------------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               256                 256                 256
launch__block_size                                                                                              384                 128                 256
launch__grid_dim_x                                                                                               16                 256                 256
launch__grid_dim_y                                                                                               16                   1                   1
launch__grid_dim_z                                                                                                1                   1                   1
launch__block_dim_x                                                                                             384                 128                 256
launch__waves_per_multiprocessor                                                                               1.73                1.73                1.73
launch__registers_per_thread                                                                                    168                 255                 255
launch__shared_mem_per_block                                                                              1.987e+05           1.977e+05           2.306e+05
launch__thread_count                                                                                       9.83e+04           3.277e+04           6.554e+04
launch__occupancy_limit_blocks                                                                                   32                  32                  32
launch__occupancy_limit_registers                                                                                 1                   2                   1
launch__occupancy_limit_shared_mem                                                                                1                   1                   1
launch__occupancy_limit_warps                                                                                     5                  16                   8
device__attribute_multiprocessor_count                                                                          148                 148                 148
device__attribute_max_warps_per_multiprocessor                                                                   64                  64                  64
gpu__time_duration.sum                                                                                    7.696e+04           6.186e+04           5.782e+04
smsp__cycles_active.avg                                                                                        None                None                None
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              45.43               58.15               59.88
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              26.85               36.69               37.14
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                        None                None                None
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            40.46                53.9               58.36
sm__maximum_warps_per_active_cycle_pct                                                                        18.75                6.25                12.5
sm__warps_active.avg.pct_of_peak_sustained_active                                                              17.7               6.222                10.6
sm__warps_active.avg.per_cycle_active                                                                         11.33               3.982               6.786
sm__warps_active.max.per_cycle_active                                                                         13.13               4.655               7.865
sm__warps_active.min.per_cycle_active                                                                         6.587                2.44               4.042
smsp__warps_active.avg.per_cycle_active                                                                        None                None                None
smsp__warps_eligible.avg.per_cycle_active                                                                      None                None                None
smsp__warps_eligible.max.per_cycle_active                                                                      None                None                None
sm__inst_executed.avg.per_cycle_active                                                                        0.375              0.2372              0.1896
smsp__issue_active.avg.per_cycle_active                                                                      0.0952              0.0596             0.04792
smsp__issue_active.avg.pct_of_peak_sustained_active                                                            None                None                None
smsp__inst_executed.avg                                                                                        None                None                None
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                   2.709              0.3333              0.1538
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                  2.156              0.2647              0.1174
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                   6.491                2.42               2.219
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                  0.7179               1.296              0.8478
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                 0.5716               1.029              0.6473
