Metric                                                                                                       tl_fp8              tr_fp8              ct_fp8
-----------------------------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                               256                 256                 256
launch__block_size                                                                                              384                 128                 256
launch__grid_dim_x                                                                                               16                 256                 256
launch__grid_dim_y                                                                                               16                   1                   1
launch__grid_dim_z                                                                                                1                   1                   1
launch__block_dim_x                                                                                             384                 128                 256
launch__waves_per_multiprocessor                                                                               1.73                1.73                1.73
launch__registers_per_thread                                                                                    168                 255                 255
launch__shared_mem_per_block                                                                              1.987e+05           1.977e+05           2.306e+05
launch__thread_count                                                                                       9.83e+04           3.277e+04           6.554e+04
launch__occupancy_limit_blocks                                                                                   32                  32                  32
launch__occupancy_limit_registers                                                                                 1                   2                   1
launch__occupancy_limit_shared_mem                                                                                1                   1                   1
launch__occupancy_limit_warps                                                                                     5                  16                   8
device__attribute_multiprocessor_count                                                                          148                 148                 148
device__attribute_max_warps_per_multiprocessor                                                                   64                  64                  64
gpu__time_duration.sum                                                                                    4.656e+04            3.43e+04            3.27e+04
smsp__cycles_active.avg                                                                                        None                None                None
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                              40.19               50.72               52.52
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              17.37               24.56               25.86
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                        None                None                None
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            33.13               49.55               52.57
sm__maximum_warps_per_active_cycle_pct                                                                        18.75                6.25                12.5
sm__warps_active.avg.pct_of_peak_sustained_active                                                             17.01               6.191               10.43
sm__warps_active.avg.per_cycle_active                                                                         10.89               3.962               6.677
sm__warps_active.max.per_cycle_active                                                                         12.65               4.644                7.73
sm__warps_active.min.per_cycle_active                                                                         6.351               2.407                3.98
smsp__warps_active.avg.per_cycle_active                                                                        None                None                None
smsp__warps_eligible.avg.per_cycle_active                                                                      None                None                None
smsp__warps_eligible.max.per_cycle_active                                                                      None                None                None
sm__inst_executed.avg.per_cycle_active                                                                       0.5258              0.2621              0.2193
smsp__issue_active.avg.per_cycle_active                                                                      0.1331             0.06612             0.05575
smsp__issue_active.avg.pct_of_peak_sustained_active                                                            None                None                None
smsp__inst_executed.avg                                                                                        None                None                None
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                   3.251              0.5726              0.2406
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                  2.556              0.4256              0.1775
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                   13.69               3.555               3.613
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                  0.6687              0.6734              0.8428
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                 0.5257              0.5006              0.6217
