### fp16  (M=N=2048, K=4096)

metric                           tilelang    tilelang_ws         triton         cutile
duration_us                     83,968.00      76,736.00      62,176.00      58,400.00
cycles                         149,418.00     134,567.00     101,179.00      98,283.00
grid                                  256            256            256            256
block                                 256            384            128            256
waves                                1.73           1.73           1.73           1.73
regs_per_thread                       220            168            255            255
smem_per_block                      1,024          1,024              0        229,604
smem_dynamic                      196,608        196,608        196,656              0
sm_throughput_pct                   41.22          45.43          58.21          60.63
mem_throughput_pct                  19.49          26.85          36.75          37.60
tensor_pipe_hmma_pct                 0.76           0.84           1.12           1.22
tensor_pipe_imma_pct                 0.00           0.00           0.00           0.00
mem_tensor_active_pct               48.87          54.69          72.89          78.67
shared_pipe_pct                     48.52          53.96          71.63          78.06
alu_pct                              6.92           6.49           2.41           2.23
lsu_pct                              8.15           0.72           1.29           0.85
adu_pct                              3.54           3.80           4.03           2.36
inst_executed_warp                      -              -              -              -
ipc_active                           0.47           0.38           0.24           0.19
occupancy_pct                       12.45          17.68           6.21          10.63
active_warps_per_sched                  -              -              -              -
eligible_warps_per_sched                -              -              -              -
issue_active_pct                        -              -              -              -
dram_bytes_read                         -              -              -              -

stall (warps/issue-active)       tilelang    tilelang_ws         triton         cutile
barrier                              2.10           0.18           5.15           0.20
long_scoreboard                      9.04          21.59           6.62          28.73
short_scoreboard                     0.58           1.89           1.36           2.41
wait                                 1.17           1.85           1.27           1.43
no_instruction                       0.20           0.42           0.21           0.69
not_selected                         0.27           0.20           0.00           0.01
math_pipe_throttle                   0.10           0.12           0.00           0.00
mio_throttle                         0.02           0.44           1.05           0.88
lg_throttle                          1.58           1.09           0.00           0.00
dispatch_stall                       0.12           0.02           0.01           0.04
drain                                0.00           0.00           0.00           0.05
branch_resolving                     0.54           0.95           0.09           0.21
misc                                 0.05           0.05           0.00           0.05


### fp8  (M=N=2048, K=4096)

metric                           tilelang    tilelang_ws         triton         cutile
duration_us                     50,656.00      46,688.00      34,336.00      32,640.00
cycles                          90,062.00      84,008.00      57,476.00      55,830.00
grid                                  256            256            256            256
block                                 256            384            128            256
waves                                1.73           1.73           1.73           1.73
regs_per_thread                       220            168            255            255
smem_per_block                      1,024          1,024              0        229,540
smem_dynamic                      196,608        196,608        196,656              0
sm_throughput_pct                   36.74          39.62          51.31          53.05
mem_throughput_pct                  15.91          17.12          24.84          26.12
tensor_pipe_hmma_pct                 0.64           0.69           1.03           1.11
tensor_pipe_imma_pct                 0.00           0.00           0.00           0.00
mem_tensor_active_pct               43.15          46.85          68.24          72.06
shared_pipe_pct                     40.64          44.12          66.08          70.95
alu_pct                             13.85          13.68           3.56           3.66
lsu_pct                              6.87           0.67           0.67           0.85
adu_pct                              3.07           3.63           4.33           2.72
inst_executed_warp                      -              -              -              -
ipc_active                           0.58           0.53           0.26           0.22
occupancy_pct                       12.34          17.05           6.24          10.56
active_warps_per_sched                  -              -              -              -
eligible_warps_per_sched                -              -              -              -
issue_active_pct                        -              -              -              -
dram_bytes_read                         -              -              -              -

stall (warps/issue-active)       tilelang    tilelang_ws         triton         cutile
barrier                              2.32           0.21           4.34           0.26
long_scoreboard                      6.64          15.03           5.95          23.42
short_scoreboard                     0.57           0.79           1.18           2.07
wait                                 1.11           1.62           1.25           1.71
no_instruction                       0.33           0.40           0.41           1.48
not_selected                         0.36           0.40           0.00           0.01
math_pipe_throttle                   0.31           0.36           0.00           0.00
mio_throttle                         0.03           0.05           0.89           0.67
lg_throttle                          0.31           0.00           0.00           0.00
dispatch_stall                       0.12           0.12           0.01           0.04
drain                                0.00           0.00           0.00           0.06
branch_resolving                     0.37           0.58           0.09           0.22
misc                                 0.06           0.08           0.00           0.07

