parsing reports/src_tilelang_ws_fp16.ncu-rep ...
parsing reports/src_triton_fp16.ncu-rep ...
parsing reports/src_cutile_fp16.ncu-rep ...

======================================================================
                              tilelang          triton          cutile
total inst executed         15,037,992       1,201,728       4,075,980
  uniform opcodes            2,089,585         667,648       1,495,296
  as % of total                 13.90%          55.56%          36.69%
  any UR* operand            6,012,306         842,240       2,710,040
  as % of total                 39.98%          70.09%          66.49%

top opcodes by dynamic count
opcode                        tilelang          triton          cutile
SYNCS                        2,765,642          52,224       1,014,566
IMAD                         2,350,408          60,416         206,578
BRA                          1,986,703          67,264         578,465
NANOSLEEP                    1,144,101               0         458,259
PRMT                           581,632               0               0
SHF                            497,920          34,432          66,560
LOP3                           448,768           3,776          14,080
UIADD3                         443,648         255,424         397,056
UMOV                           407,552          91,520         383,232
R2UR                           397,568           1,024          11,008
BSSY                           395,520               0           2,304
BSYNC                          395,520               0           2,816
VIADD                          382,464           3,072          13,312
NOP                            329,472           4,736           5,376
UPRMT                          327,680               0               0
ISETP                          327,168          71,168          27,136
ULOP3                          196,608          32,640         115,200
UIMAD                          196,608               0         131,072
ULEA                            98,816          70,016         165,632
LEA                            164,864           1,024           5,888
VOTEU                          156,160          52,288             256
SEL                            146,432               0           1,024
USHF                           134,144           9,408         118,528
ELECT                           99,072          17,024          33,280
UISETP                          81,920          48,384          32,768
USEL                            65,536          80,640               0
UTCHMMA                         65,536          32,768          65,536
F2FP                            65,536          65,536          65,536
BAR                              6,144          52,224           2,048
UTMALDG                         49,152          33,792          49,152
STS                                256          16,512          16,896
UTCBAR                          16,384           4,096          16,640
UPLOP3                               0               0          16,640
LDTM                             2,048           2,048          16,384
LDL                              2,048           9,472               0
STL                              3,072           9,472               0
USGXT                                0           8,192               0
