benchmark inputs, CUDA-graph timed, each backend at its tuned config

===== M=N=4096  K=2048 =====
backend                        TFLOP/s   vs TL    maxabs   verify
  -- float16 --
  tilelang (ws=on)               930.0    1.00    0.0000   PASS
  triton                        1197.2    1.29    0.0000   PASS
  cutile                        1264.8    1.36    0.0000   PASS
  torch                         1399.4    1.50    0.0000   PASS
  -- float8_e4m3fn --
  tilelang (ws=on)              1521.5    1.00    0.1641   PASS
  triton                        2197.4    1.44    0.0078   PASS
  cutile                        2257.2    1.48    0.0078   PASS
  torch                         1621.2    1.07    0.0000   PASS

===== M=N=4096  K=8192 =====
backend                        TFLOP/s   vs TL    maxabs   verify
  -- float16 --
  tilelang (ws=on)              1108.8    1.00    0.0000   PASS
  triton                        1271.2    1.15    0.0000   PASS
  cutile                        1403.1    1.27    0.0000   PASS
  torch                         1355.4    1.22    0.0000   PASS
  -- float8_e4m3fn --
  tilelang (ws=on)              2076.9    1.00    0.0820   PASS
  triton                        2837.6    1.37    0.0039   PASS
  cutile                        3092.8    1.49    0.0039   PASS
  torch                         2453.2    1.18    0.0000   PASS

===== M=N=4096  K=20480 =====
backend                        TFLOP/s   vs TL    maxabs   verify
  -- float16 --
  tilelang (ws=on)              1143.6    1.00    0.0000   PASS
  triton                        1314.8    1.15    0.0000   PASS
  cutile                        1434.0    1.25    0.0000   PASS
  torch                         1453.4    1.27    0.0000   PASS
  -- float8_e4m3fn --
  tilelang (ws=on)              2258.8    1.00    0.0566   PASS
  triton                        2829.1    1.25    0.0039   PASS
  cutile                        3274.5    1.45    0.0039   PASS
  torch                         2650.7    1.17    0.0000   PASS
