parsing reports/src_tilelang_fp16.ncu-rep ...
parsing reports/src_triton_fp16.ncu-rep ...

======================================================
                              tilelang          triton
total inst executed         35,937,648      25,000,946
  uniform opcodes              390,633               0
  as % of total                  1.09%           0.00%
  any UR* operand            1,562,525         976,593
  as % of total                  4.35%           3.91%

top opcodes by dynamic count
opcode                        tilelang          triton
FFMA                         9,375,024               0
FMUL                         1,562,504       7,812,800
F2FP                         3,906,260         781,280
HADD2                        3,906,260       1,562,560
MUFU                         3,125,008       3,125,120
FADD                         1,562,504       3,125,120
FSETP                                0       3,125,120
HSETP2                       3,125,008               0
SHF                          1,953,137         195,320
FSEL                                 0       1,562,560
PLOP3                        1,562,504               0
PRMT                           976,565               0
HFMA2                          976,565         195,320
LDC                            585,946         585,960
IMAD                           390,626         390,640
CS2R                                 0         390,640
LDCU                           195,313         390,640
S2R                            195,320         390,640
USHF                           390,633               0
ISETP                          390,633         195,320
LOP3                           390,633         195,320
EXIT                           390,633         390,633
LEA                                  0         195,320
LDG                            195,313         195,320
S2UR                           195,320               0
MOV                            195,313               0
STG                            195,313         195,313
