### Key metrics (highN)

metric                         tilelang          triton          cutile
duration_us                  10,080.000       5,856.000       6,272.000
cycles                       19,482.000      11,358.000      12,187.000
grid                              1,024           1,024           1,024
block                               256             256             128
regs_per_thread                      32              22              32
inst_executed_warp        4,317,184.000     950,272.000   1,396,736.000
inst_thread                           -               -               -
ipc                               2.580           1.849           1.920
sm_throughput_pct                38.520          15.262          19.253
mem_throughput_pct                5.858          11.223           9.332
dram_throughput_pct                   -               -               -
alu_active_pct                   54.578          39.048          45.611
xu_active_pct                    29.369          19.126           7.883
fma_active_pct                   24.107          18.727          19.849
lsu_active_pct                    4.405           7.969           9.573
occupancy_pct                    62.586          67.830          37.003
branch_inst                           -               -               -
branch_div                            -               -               -
l1_sectors_global_ld        131,072.000     131,072.000     131,072.000
l1_sectors_global_st        131,072.000     131,072.000     131,072.000
l1_requests_global_ld        32,768.000      16,384.000      32,768.000
l1_requests_global_st        32,768.000      16,384.000      32,768.000
dram_bytes_read           4,207,360.000   4,198,400.000   4,201,984.000
dram_bytes_write                  0.000           0.000           0.000

### Warp stall reasons, warps per issue-active cycle (highN)

metric                      tilelang          triton          cutile
math_pipe_throttle             2.610           2.713           1.601
long_scoreboard                1.524           5.567           1.485
short_scoreboard               1.214           0.638           1.049
wait                           3.151           2.229           1.701
branch_resolving               0.196           0.069           0.025
no_instruction                 0.969           4.458           1.252
not_selected                   3.591           3.848           1.650
mio_throttle                   0.590           1.843           0.703
barrier                        0.000           0.000           0.445
dispatch_stall                 0.793           0.649           0.496
drain                          0.045           0.412           0.148
misc                           0.000           0.000           0.000
selected                       1.000           1.000           1.000

### Dynamic executed warp instructions per opcode (highN)

opcode          tilelang          triton          cutile
IMAD           1,359,872         311,296         466,944
ISETP            851,968         147,456         286,720
VIADD            237,568          73,728         106,496
LOP3             212,992          65,536         102,400
SEL              212,992          65,536          90,112
IADD3            204,800          24,576               0
BRA              188,416               0               0
IABS              98,304          49,152          40,960
LEA              131,072          32,768               0
LDCU              98,304          24,576          16,384
LDC               73,728          24,576          16,384
F2I               81,920          16,384          12,288
MUFU              81,920          16,384           8,192
I2F               81,920          16,384           8,192
FSEL              32,768               0          65,536
STG               32,768          16,384          32,768
LDG               32,768          16,384          32,768
BSYNC             73,728               0               0
BSSY              73,728               0               0
FSETP             32,768          16,384          16,384
EXIT              24,576          16,384           8,192
PLOP3             32,768               0               0
VIMNMX                 0               0          32,768
S2R                8,192          16,384           4,096
SHF                8,192               0          16,384
HFMA2             16,384               0               0
S2UR               8,192               0           4,096
BAR                    0               0          12,288
USHF               8,192               0               0
UIMAD              8,192               0               0
MOV                8,192               0               0
R2UR                   0               0           4,096
I2FP                   0               0           4,096
FMUL                   0               0           4,096
CS2R                   0               0           4,096
TOTAL          4,317,184         950,272       1,396,736

### Dynamic warp instructions, grouped by base opcode (highN)

opcode          tilelang          triton          cutile
IMAD           1,359,872         311,296         466,944
ISETP            851,968         147,456         286,720
VIADD            237,568          73,728         106,496
LOP3             212,992          65,536         102,400
SEL              212,992          65,536          90,112
IADD3            204,800          24,576               0
BRA              188,416               0               0
IABS              98,304          49,152          40,960
LEA              131,072          32,768               0
LDCU              98,304          24,576          16,384
LDC               73,728          24,576          16,384
F2I               81,920          16,384          12,288
MUFU              81,920          16,384           8,192
I2F               81,920          16,384           8,192
FSEL              32,768               0          65,536
STG               32,768          16,384          32,768
LDG               32,768          16,384          32,768
BSYNC             73,728               0               0
BSSY              73,728               0               0
FSETP             32,768          16,384          16,384
EXIT              24,576          16,384           8,192
PLOP3             32,768               0               0
VIMNMX                 0               0          32,768
S2R                8,192          16,384           4,096
SHF                8,192               0          16,384
HFMA2             16,384               0               0
S2UR               8,192               0           4,096
BAR                    0               0          12,288
USHF               8,192               0               0
UIMAD              8,192               0               0

### Key metrics (lowN)

metric                         tilelang          triton          cutile
duration_us                   5,888.000       4,320.000       5,504.000
cycles                       11,469.000       8,435.000      10,705.000
grid                                  4               4               2
block                               256             256             128
regs_per_thread                      32              22              56
inst_executed_warp           16,864.000       3,712.000       5,160.000
inst_thread                           -               -               -
ipc                               0.930           0.474           0.752
sm_throughput_pct                 0.247           0.077           0.097
mem_throughput_pct                1.966           2.683           2.114
dram_throughput_pct                   -               -               -
alu_active_pct                   19.684          10.013          19.481
xu_active_pct                    10.593           4.904           1.633
fma_active_pct                    8.695           4.802           7.495
lsu_active_pct                    1.589           2.043           3.850
occupancy_pct                    13.842          13.552           7.100
branch_inst                           -               -               -
branch_div                            -               -               -
l1_sectors_global_ld            512.000         512.000         512.000
l1_sectors_global_st            512.000         512.000         512.000
l1_requests_global_ld           128.000          64.000         128.000
l1_requests_global_st           128.000          64.000         128.000
dram_bytes_read              29,696.000      20,480.000      29,184.000
dram_bytes_write                  0.000           0.000           0.000

### Warp stall reasons, warps per issue-active cycle (lowN)

metric                      tilelang          triton          cutile
math_pipe_throttle             0.160           0.177           0.000
long_scoreboard                1.786           5.406           1.018
short_scoreboard               1.184           4.665           0.553
wait                           2.958           2.182           1.261
branch_resolving               0.191           0.069           0.012
no_instruction                 0.841           3.258           1.166
not_selected                   0.169           0.175           0.000
mio_throttle                   0.006           0.009           0.000
barrier                        0.000           0.000           0.071
dispatch_stall                 0.058           0.042           0.096
drain                          0.045           0.322           0.072
misc                           0.001           0.000           0.000
selected                       1.000           1.000           1.000

### Dynamic executed warp instructions per opcode (lowN)

opcode          tilelang          triton          cutile
IMAD               5,312           1,216           1,648
ISETP              3,328             576           1,168
VIADD                928             288             400
LOP3                 832             256             488
SEL                  832             256             320
IADD3                800              96               0
BRA                  736               0               0
IABS                 384             192             144
LEA                  512             128               0
LDCU                 384              96              32
LDC                  288              96              32
F2I                  320              64              24
MUFU                 320              64              16
I2F                  320              64              16
FSEL                 128               0             256
STG                  128              64             128
LDG                  128              64             128
BSYNC                288               0               0
BSSY                 288               0               0
FSETP                128              64              64
EXIT                  96              64              16
PLOP3                128               0               0
VIMNMX                 0               0             128
S2R                   32              64               8
SHF                   32               0              64
HFMA2                 64               0               0
S2UR                  32               0               8
USHF                  32               0               0
UIMAD                 32               0               0
MOV                   32               0               0
BAR                    0               0              24
P2R                    0               0              16
R2UR                   0               0               8
I2FP                   0               0               8
FMUL                   0               0               8
CS2R                   0               0               8
TOTAL             16,864           3,712           5,160

### Dynamic warp instructions, grouped by base opcode (lowN)

opcode          tilelang          triton          cutile
IMAD               5,312           1,216           1,648
ISETP              3,328             576           1,168
VIADD                928             288             400
LOP3                 832             256             488
SEL                  832             256             320
IADD3                800              96               0
BRA                  736               0               0
IABS                 384             192             144
LEA                  512             128               0
LDCU                 384              96              32
LDC                  288              96              32
F2I                  320              64              24
MUFU                 320              64              16
I2F                  320              64              16
FSEL                 128               0             256
STG                  128              64             128
LDG                  128              64             128
BSYNC                288               0               0
BSSY                 288               0               0
FSETP                128              64              64
EXIT                  96              64              16
PLOP3                128               0               0
VIMNMX                 0               0             128
S2R                   32              64               8
SHF                   32               0              64
HFMA2                 64               0               0
S2UR                  32               0               8
USHF                  32               0               0
UIMAD                 32               0               0
MOV                   32               0               0
