### NCU metrics: TileLang variants vs Triton / cuTile (N = 1,048,576, stride 16)

metric                         v0_baseline          v1_shift   v3_novalid_only  v2_shift_novalid            triton            cutile
duration_us                        9,472.0           6,336.0           9,472.0           6,080.0           5,856.0           6,272.0
cycles                            18,385.0          12,294.0          18,431.0          11,766.0          11,358.0          12,187.0
inst_executed_warp             4,317,184.0       1,269,760.0       4,079,616.0         999,424.0         950,272.0       1,396,736.0
ipc                                    2.5               1.7               2.5               1.4               1.8               1.9
sm_throughput_pct                     38.5              18.6              37.5              15.8              15.3              19.3
mem_throughput_pct                     6.1               9.0               6.1               9.5              11.2               9.3
alu_active_pct                        53.8              47.1              54.0              40.4              39.0              45.6
xu_active_pct                         29.0               0.0              30.0               0.0              19.1               7.9
occupancy_pct                         61.1              62.9              61.7              62.0              67.8              37.0
l1_requests_global_ld             32,768.0          32,768.0          32,768.0          32,768.0          16,384.0          32,768.0
l1_sectors_global_ld             131,072.0         131,072.0         131,072.0         131,072.0         131,072.0         131,072.0

### Dynamic warp instructions by base opcode

opcode                         v0_baseline          v1_shift   v3_novalid_only  v2_shift_novalid            triton            cutile
IMAD                             1,359,872           196,608         1,286,144           131,072           311,296           466,944
ISETP                              851,968           131,072           786,432            32,768           147,456           286,720
MUFU                                81,920                 0            81,920                 0            16,384             8,192
I2F                                 81,920                 0            81,920                 0            16,384             8,192
F2I                                 81,920                 0            81,920                 0            16,384            12,288
BRA                                188,416            65,536           122,880                 0                 0                 0
BSSY                                73,728            32,768            73,728                 0                 0                 0
BSYNC                               73,728            32,768            73,728                 0                 0                 0
IADD3                              204,800            65,536           212,992            65,536            24,576                 0
SEL                                212,992                 0           212,992                 0            65,536            90,112
LOP3                               212,992           131,072           212,992           131,072            65,536           102,400
VIADD                              237,568            24,576           237,568            24,576            73,728           106,496
LEA                                131,072            65,536           139,264            65,536            32,768                 0
IABS                                98,304                 0            98,304                 0            49,152            40,960
LDG                                 32,768            32,768            32,768            32,768            16,384            32,768
STG                                 32,768            32,768            32,768            32,768            16,384            32,768
TOTAL                            4,317,184         1,269,760         4,079,616           999,424           950,272         1,396,736

### Static code size

kind                           v0_baseline          v1_shift   v3_novalid_only  v2_shift_novalid            triton            cutile
ptx_instructions                       317               152               288               131                46                 -
ptx_div_rem                             14                 0                14                 0                 4                 -
sass_instructions                      680               168               656               136               128               352
