params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
L=131072,fp16,0.0715,0.1361,0.2402,0.53,0.30,1.7655
L=131072,fp32,0.0985,0.1652,0.5291,0.60,0.19,3.2028
L=262144,fp16,0.1360,0.2612,0.4670,0.52,0.29,1.7879
L=262144,fp32,0.1836,0.3197,1.0305,0.57,0.18,3.2237
L=393216,fp16,0.2000,0.3882,0.6922,0.52,0.29,1.7832
L=393216,fp32,0.2667,0.4736,1.5417,0.56,0.17,3.2555
L=524288,fp16,0.2697,0.5155,0.9126,0.52,0.30,1.7704
L=524288,fp32,0.3491,0.6275,2.0519,0.56,0.17,3.2700
L=655360,fp16,0.3342,0.6413,1.1388,0.52,0.29,1.7758
L=655360,fp32,0.4338,0.7812,2.5605,0.56,0.17,3.2779
L=786432,fp16,0.3969,0.7674,1.3632,0.52,0.29,1.7765
L=786432,fp32,0.5186,0.9321,3.1041,0.56,0.17,3.3301
L=917504,fp16,0.4618,0.8932,1.5855,0.52,0.29,1.7752
L=917504,fp32,0.6063,1.0825,3.6490,0.56,0.17,3.3708
L=1048576,fp16,0.5265,1.0194,1.8109,0.52,0.29,1.7765
L=1048576,fp32,0.6917,1.2355,4.1879,0.56,0.17,3.3896
L=1179648,fp16,0.5912,1.1444,2.0346,0.52,0.29,1.7779
L=1179648,fp32,0.7863,1.3892,4.7359,0.57,0.17,3.4091
L=1310720,fp16,0.6550,1.2705,2.2586,0.52,0.29,1.7778
L=1310720,fp32,0.8642,1.5421,5.2793,0.56,0.16,3.4234
L=1441792,fp16,0.7246,1.3956,2.4826,0.52,0.29,1.7788
L=1441792,fp32,0.9478,1.6948,5.8267,0.56,0.16,3.4379
L=1572864,fp16,0.7876,1.5179,2.7065,0.52,0.29,1.7831
L=1572864,fp32,1.0309,1.8462,6.3591,0.56,0.16,3.4444
L=1703936,fp16,0.8526,1.6380,2.9311,0.52,0.29,1.7895
L=1703936,fp32,1.1296,1.9981,6.8994,0.57,0.16,3.4529
L=1835008,fp16,0.9155,1.7645,3.1544,0.52,0.29,1.7877
L=1835008,fp32,1.2145,2.1511,7.4292,0.56,0.16,3.4537
L=1966080,fp16,0.9795,1.8912,3.3786,0.52,0.29,1.7865
L=1966080,fp32,1.3034,2.3040,7.9556,0.57,0.16,3.4529
L=2097152,fp16,1.0427,2.0138,3.6027,0.52,0.29,1.7890
L=2097152,fp32,1.3855,2.4567,8.4716,0.56,0.16,3.4483
L=2228224,fp16,1.1168,2.1404,3.8264,0.52,0.29,1.7877
L=2228224,fp32,1.4891,2.6091,9.0482,0.57,0.16,3.4679
L=2359296,fp16,1.1782,2.2670,4.0509,0.52,0.29,1.7869
L=2359296,fp32,1.5754,2.7608,9.5623,0.57,0.16,3.4636
L=2490368,fp16,1.2391,2.3923,4.2745,0.52,0.29,1.7867
L=2490368,fp32,1.6677,2.9141,10.1269,0.57,0.16,3.4752
L=2621440,fp16,1.3128,2.5157,4.4981,0.52,0.29,1.7880
L=2621440,fp32,1.7363,3.0664,10.6284,0.57,0.16,3.4661
