params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
H=32,fp16,0.0040,0.0033,0.0037,1.20,1.07,1.1208
H=32,bf16,0.0040,0.0033,0.0038,1.22,1.08,1.1345
H=32,fp32,0.0045,0.0038,0.0040,1.19,1.12,1.0578
H=64,fp16,0.0102,0.0078,0.0077,1.31,1.33,0.9860
H=64,bf16,0.0099,0.0078,0.0077,1.27,1.29,0.9885
H=64,fp32,0.0100,0.0080,0.0079,1.25,1.26,0.9930
H=96,fp16,0.0188,0.0110,0.0144,1.70,1.30,1.3088
H=96,bf16,0.0191,0.0113,0.0148,1.69,1.29,1.3033
H=96,fp32,0.0190,0.0115,0.0144,1.65,1.32,1.2540
H=128,fp16,0.0309,0.0141,0.0202,2.18,1.53,1.4276
H=128,bf16,0.0315,0.0144,0.0202,2.19,1.56,1.4049
H=128,fp32,0.0307,0.0149,0.0203,2.06,1.51,1.3617
H=160,fp16,0.0461,0.0176,0.0248,2.62,1.86,1.4116
H=160,bf16,0.0471,0.0179,0.0249,2.63,1.89,1.3900
H=160,fp32,0.0459,0.0208,0.0260,2.20,1.76,1.2492
H=192,fp16,0.0648,0.0225,0.0297,2.88,2.18,1.3195
H=192,bf16,0.0663,0.0227,0.0297,2.92,2.24,1.3073
H=192,fp32,0.0643,0.0274,0.0331,2.35,1.94,1.2089
H=224,fp16,0.0868,0.0296,0.0352,2.94,2.46,1.1916
H=224,bf16,0.0888,0.0297,0.0353,2.99,2.52,1.1869
H=224,fp32,0.0863,0.0375,0.0416,2.30,2.07,1.1095
H=256,fp16,0.1122,0.0362,0.0423,3.10,2.65,1.1680
H=256,bf16,0.1149,0.0358,0.0420,3.21,2.73,1.1757
H=256,fp32,0.1112,0.0429,0.0492,2.59,2.26,1.1456
H=288,fp16,0.1411,0.0504,0.0800,2.80,1.76,1.5876
H=288,bf16,0.1445,0.0505,0.0799,2.86,1.81,1.5819
H=288,fp32,0.1400,0.0570,0.0799,2.46,1.75,1.4023
H=320,fp16,0.1733,0.0599,0.0887,2.89,1.95,1.4807
H=320,bf16,0.1776,0.0585,0.0888,3.03,2.00,1.5163
H=320,fp32,0.1718,0.0647,0.0896,2.65,1.92,1.3846
H=352,fp16,0.2090,0.0664,0.0977,3.15,2.14,1.4729
H=352,bf16,0.2141,0.0665,0.0978,3.22,2.19,1.4700
H=352,fp32,0.2072,0.0745,0.1001,2.78,2.07,1.3426
H=384,fp16,0.2481,0.0750,0.1104,3.31,2.25,1.4720
H=384,bf16,0.2541,0.0750,0.1104,3.39,2.30,1.4719
H=384,fp32,0.2456,0.0834,0.1097,2.94,2.24,1.3154
H=416,fp16,0.2905,0.0882,0.1198,3.30,2.43,1.3584
H=416,bf16,0.2976,0.0886,0.1197,3.36,2.49,1.3509
H=416,fp32,0.2880,0.0964,0.1203,2.99,2.39,1.2486
H=448,fp16,0.3366,0.0972,0.1289,3.46,2.61,1.3271
H=448,bf16,0.3448,0.0971,0.1289,3.55,2.67,1.3273
H=448,fp32,0.3331,0.1064,0.1298,3.13,2.57,1.2206
H=480,fp16,0.3857,0.1115,0.1385,3.46,2.78,1.2423
H=480,bf16,0.3951,0.1123,0.1385,3.52,2.85,1.2330
H=480,fp32,0.3821,0.1201,0.1408,3.18,2.71,1.1722
H=512,fp16,0.4389,0.1166,0.1472,3.77,2.98,1.2630
H=512,bf16,0.4497,0.1161,0.1472,3.87,3.05,1.2677
H=512,fp32,0.4343,0.1306,0.1492,3.33,2.91,1.1426
H=544,fp16,0.4944,0.1655,0.2403,2.99,2.06,1.4519
H=544,bf16,0.5065,0.1678,0.2403,3.02,2.11,1.4316
H=544,fp32,0.4898,0.1801,0.2589,2.72,1.89,1.4373
H=576,fp16,0.5541,0.1764,0.2547,3.14,2.18,1.4438
H=576,bf16,0.5676,0.1787,0.2546,3.18,2.23,1.4245
H=576,fp32,0.5484,0.1942,0.2717,2.82,2.02,1.3996
H=608,fp16,0.6167,0.1892,0.2688,3.26,2.29,1.4211
H=608,bf16,0.6319,0.1911,0.2689,3.31,2.35,1.4067
H=608,fp32,0.6108,0.2100,0.2889,2.91,2.11,1.3757
H=640,fp16,0.6831,0.2013,0.2802,3.39,2.44,1.3919
H=640,bf16,0.6997,0.2030,0.2802,3.45,2.50,1.3800
H=640,fp32,0.6760,0.2252,0.2988,3.00,2.26,1.3271
