params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
N=1024,fp16,0.0086,0.0067,0.0066,1.27,1.29,0.9834,0.0050,1.72,0.1294,0.0648,2.00
N=1024,fp32,0.0087,0.0071,0.0064,1.24,1.37,0.9035,0.0051,1.71,0.1388,0.0692,2.01
N=2048,fp16,0.0141,0.0119,0.0117,1.18,1.20,0.9855,0.0092,1.53,0.2438,0.0941,2.59
N=2048,fp32,0.0135,0.0121,0.0119,1.12,1.13,0.9898,0.0100,1.36,0.2574,0.1091,2.36
N=3072,fp16,0.0197,0.0178,0.0211,1.11,0.93,1.1866,0.0134,1.47,0.3709,0.1275,2.91
N=3072,fp32,0.0196,0.0180,0.0172,1.09,1.14,0.9524,0.0147,1.33,0.3779,0.1324,2.85
N=4096,fp16,0.0226,0.0217,0.0231,1.04,0.98,1.0624,0.0157,1.43,0.4915,0.1572,3.13
N=4096,fp32,0.0253,0.0227,0.0239,1.12,1.06,1.0532,0.0193,1.31,0.5184,0.1618,3.20
N=5120,fp16,0.0299,0.0280,0.0298,1.07,1.00,1.0621,0.0198,1.51,0.6095,0.1742,3.50
N=5120,fp32,0.0319,0.0278,0.0293,1.15,1.09,1.0545,0.0245,1.30,0.6418,0.1762,3.64
N=6144,fp16,0.0347,0.0340,0.0359,1.02,0.97,1.0562,0.0290,1.19,0.7302,0.2018,3.62
N=6144,fp32,0.0373,0.0324,0.0341,1.15,1.09,1.0535,0.0389,0.96,0.7637,0.2051,3.72
N=7168,fp16,0.0399,0.0380,0.0403,1.05,0.99,1.0605,0.0282,1.41,0.8575,0.2295,3.74
N=7168,fp32,0.0435,0.0376,0.0395,1.16,1.10,1.0494,0.0276,1.58,0.9001,0.2314,3.89
N=8192,fp16,0.0291,0.0430,0.0455,0.68,0.64,1.0581,0.0310,0.94,0.9948,0.2563,3.88
N=8192,fp32,0.0307,0.0422,0.0444,0.73,0.69,1.0512,0.0310,0.99,1.0499,0.2590,4.05
N=9216,fp16,0.0314,0.0475,0.0502,0.66,0.63,1.0577,0.0350,0.90,1.1207,0.2838,3.95
N=9216,fp32,0.0337,0.0473,0.0497,0.71,0.68,1.0494,0.0346,0.97,1.1699,0.2863,4.09
N=10240,fp16,0.0329,0.0527,0.0557,0.63,0.59,1.0576,0.0386,0.85,1.2196,0.3115,3.91
N=10240,fp32,0.0351,0.0520,0.0547,0.68,0.64,1.0522,0.0381,0.92,1.2955,0.3144,4.12
N=11264,fp16,0.0350,0.0573,0.0606,0.61,0.58,1.0571,0.0422,0.83,1.3825,0.3388,4.08
N=11264,fp32,0.0383,0.0570,0.0600,0.67,0.64,1.0520,0.0416,0.92,1.4271,0.3417,4.18
N=12288,fp16,0.0364,0.0615,0.0650,0.59,0.56,1.0572,0.0456,0.80,1.4675,0.3664,4.00
N=12288,fp32,0.0396,0.0618,0.0650,0.64,0.61,1.0518,0.0450,0.88,1.5687,0.3925,4.00
N=13312,fp16,0.0385,0.0667,0.0705,0.58,0.55,1.0565,0.0493,0.78,1.6307,0.3996,4.08
N=13312,fp32,0.0426,0.0667,0.0701,0.64,0.61,1.0502,0.0486,0.88,1.6808,0.4265,3.94
N=14336,fp16,0.0399,0.0717,0.0757,0.56,0.53,1.0571,0.0530,0.75,1.7109,0.4215,4.06
N=14336,fp32,0.0438,0.0713,0.0749,0.61,0.58,1.0514,0.0521,0.84,1.7877,0.4474,4.00
N=15360,fp16,0.0420,0.0765,0.0808,0.55,0.52,1.0560,0.0566,0.74,1.8444,0.4493,4.11
N=15360,fp32,0.0468,0.0762,0.0800,0.61,0.59,1.0499,0.0553,0.85,1.9068,0.4807,3.97
N=16384,fp16,0.0433,0.0810,0.0856,0.54,0.51,1.0568,0.0595,0.73,1.9709,0.4767,4.13
N=16384,fp32,0.0480,0.0807,0.0850,0.59,0.57,1.0522,0.0589,0.82,2.0657,0.4870,4.24
N=17408,fp16,0.0455,0.0862,0.0911,0.53,0.50,1.0568,0.0636,0.72,2.1637,0.5039,4.29
N=17408,fp32,0.0504,0.0857,0.0901,0.59,0.56,1.0514,0.0624,0.81,2.1944,0.5138,4.27
N=18432,fp16,0.0468,0.0911,0.0961,0.51,0.49,1.0552,0.0669,0.70,2.1944,0.5317,4.13
N=18432,fp32,0.0511,0.0904,0.0951,0.57,0.54,1.0525,0.0660,0.77,2.3345,0.5335,4.38
N=19456,fp16,0.0489,0.0957,0.1010,0.51,0.48,1.0562,0.0702,0.70,2.4162,0.5593,4.32
N=19456,fp32,0.0535,0.0952,0.1002,0.56,0.53,1.0525,0.0694,0.77,2.4530,0.5669,4.33
N=20480,fp16,0.0503,0.1000,0.1058,0.50,0.48,1.0571,0.0737,0.68,2.4309,0.5866,4.14
N=20480,fp32,0.0544,0.1000,0.1053,0.54,0.52,1.0536,0.0729,0.75,2.5906,0.5920,4.38
