params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1000,fp16,0.1145,0.0107,0.0116,10.70,9.85
N=1000,bf16,0.1159,0.0107,0.0120,10.84,9.67
N=1000,fp32,0.0839,0.0119,0.0117,7.06,7.19
N=2000,fp16,0.0725,0.0154,0.0182,4.71,3.98
N=2000,bf16,0.0699,0.0154,0.0186,4.54,3.76
N=2000,fp32,0.0416,0.0168,0.0196,2.48,2.13
N=3000,fp16,0.0828,0.0210,0.0246,3.95,3.36
N=3000,bf16,0.0864,0.0211,0.0251,4.09,3.44
N=3000,fp32,0.0500,0.0223,0.0250,2.25,2.00
N=4000,fp16,0.1047,0.0256,0.0312,4.09,3.35
N=4000,bf16,0.1033,0.0258,0.0310,4.01,3.33
N=4000,fp32,0.0605,0.0266,0.0316,2.27,1.91
N=5000,fp16,0.1338,0.0305,0.0376,4.39,3.56
N=5000,bf16,0.1363,0.0310,0.0374,4.40,3.64
N=5000,fp32,0.0857,0.0320,0.0385,2.67,2.23
N=6000,fp16,0.1398,0.0357,0.0436,3.92,3.21
N=6000,bf16,0.1383,0.0356,0.0432,3.89,3.20
N=6000,fp32,0.0835,0.0373,0.0446,2.24,1.87
N=7000,fp16,0.1542,0.0402,0.0498,3.84,3.09
N=7000,bf16,0.1452,0.0402,0.0495,3.61,2.93
N=7000,fp32,0.0933,0.0422,0.0507,2.21,1.84
N=8000,fp16,0.1708,0.0455,0.0564,3.75,3.03
N=8000,bf16,0.1681,0.0455,0.0559,3.70,3.01
N=8000,fp32,0.0914,0.0474,0.0570,1.93,1.60
N=9000,fp16,0.1905,0.0504,0.0621,3.78,3.07
N=9000,bf16,0.1984,0.0504,0.0622,3.93,3.19
N=9000,fp32,0.1352,0.0527,0.0629,2.56,2.15
N=10000,fp16,0.1869,0.0547,0.0681,3.42,2.74
N=10000,bf16,0.1893,0.0552,0.0678,3.43,2.79
N=10000,fp32,0.1397,0.0575,0.0690,2.43,2.02
N=11000,fp16,0.2039,0.0601,0.0743,3.40,2.75
N=11000,bf16,0.2089,0.0596,0.0743,3.51,2.81
N=11000,fp32,0.1522,0.0613,0.0754,2.48,2.02
N=12000,fp16,0.2272,0.0652,0.0809,3.48,2.81
N=12000,bf16,0.2244,0.0645,0.0804,3.48,2.79
N=12000,fp32,0.1535,0.0670,0.0811,2.29,1.89
N=13000,fp16,0.2382,0.0698,0.0869,3.41,2.74
N=13000,bf16,0.2413,0.0699,0.0865,3.45,2.79
N=13000,fp32,0.1518,0.0709,0.0874,2.14,1.74
N=14000,fp16,0.2660,0.0746,0.0932,3.57,2.85
N=14000,bf16,0.2641,0.0744,0.0926,3.55,2.85
N=14000,fp32,0.1434,0.0766,0.0940,1.87,1.53
N=15000,fp16,0.2897,0.0799,0.0995,3.62,2.91
N=15000,bf16,0.2952,0.0797,0.0988,3.71,2.99
N=15000,fp32,0.1497,0.0819,0.1002,1.83,1.49
N=16000,fp16,0.3092,0.0843,0.1056,3.67,2.93
N=16000,bf16,0.3300,0.0842,0.1049,3.92,3.15
N=16000,fp32,0.1715,0.0871,0.1063,1.97,1.61
N=17000,fp16,0.3770,0.0890,0.1116,4.23,3.38
N=17000,bf16,0.3824,0.0893,0.1106,4.28,3.46
N=17000,fp32,0.2224,0.0918,0.1122,2.42,1.98
N=18000,fp16,0.4202,0.0940,0.1179,4.47,3.56
N=18000,bf16,0.4294,0.0944,0.1167,4.55,3.68
N=18000,fp32,0.2376,0.0969,0.1189,2.45,2.00
N=19000,fp16,0.3985,0.0987,0.1220,4.04,3.27
N=19000,bf16,0.4158,0.0988,0.1230,4.21,3.38
N=19000,fp32,0.2409,0.1029,0.1205,2.34,2.00
N=20000,fp16,0.4279,0.1035,0.1297,4.14,3.30
N=20000,bf16,0.4257,0.1040,0.1289,4.09,3.30
N=20000,fp32,0.2217,0.1078,0.1310,2.06,1.69
