params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
N=1000,fp16,0.0313,0.0102,0.0166,3.07,1.89,1.6275,0.0106,2.96,0.0381,0.0647,0.59
N=1000,bf16,0.0306,0.0100,0.0161,3.06,1.90,1.6100,0.0094,3.26,0.0382,0.0647,0.59
N=1000,fp32,0.0174,0.0177,0.0159,0.98,1.09,0.8983,0.0110,1.58,0.0405,0.0687,0.59
N=2000,fp16,0.0221,0.0107,0.0171,2.07,1.29,1.5981,0.0098,2.24,0.0596,0.0792,0.75
N=2000,bf16,0.0235,0.0112,0.0171,2.10,1.38,1.5268,0.0105,2.24,0.0597,0.0792,0.75
N=2000,fp32,0.0145,0.0275,0.0182,0.53,0.80,0.6618,0.0108,1.34,0.0562,0.0929,0.60
N=3000,fp16,0.0340,0.0117,0.0180,2.90,1.89,1.5385,0.0118,2.87,0.0771,0.1004,0.77
N=3000,bf16,0.0332,0.0124,0.0181,2.69,1.83,1.4597,0.0120,2.78,0.0771,0.1003,0.77
N=3000,fp32,0.0228,0.0229,0.0208,1.00,1.09,0.9083,0.0138,1.65,0.0827,0.1195,0.69
N=4000,fp16,0.0358,0.0118,0.0186,3.03,1.93,1.5763,0.0124,2.89,0.0983,0.1205,0.82
N=4000,bf16,0.0358,0.0131,0.0192,2.74,1.86,1.4656,0.0129,2.77,0.0990,0.1194,0.83
N=4000,fp32,0.0244,0.0331,0.0219,0.74,1.12,0.6616,0.0140,1.74,0.0895,0.1413,0.63
N=5000,fp16,0.0469,0.0132,0.0189,3.55,2.48,1.4318,0.0133,3.51,0.1050,0.1354,0.78
N=5000,bf16,0.0502,0.0135,0.0193,3.72,2.60,1.4296,0.0151,3.33,0.1051,0.1327,0.79
N=5000,fp32,0.0316,0.0258,0.0250,1.22,1.27,0.9690,0.0160,1.98,0.1225,0.1660,0.74
N=6000,fp16,0.0514,0.0131,0.0194,3.94,2.65,1.4809,0.0137,3.75,0.1383,0.1568,0.88
N=6000,bf16,0.0499,0.0138,0.0194,3.62,2.57,1.4058,0.0140,3.57,0.1384,0.1558,0.89
N=6000,fp32,0.0338,0.0352,0.0261,0.96,1.29,0.7415,0.0174,1.94,0.1402,0.1873,0.75
N=7000,fp16,0.0592,0.0143,0.0197,4.14,3.01,1.3776,0.0147,4.02,0.1516,0.1737,0.87
N=7000,bf16,0.0591,0.0149,0.0208,3.96,2.84,1.3960,0.0149,3.95,0.1512,0.1732,0.87
N=7000,fp32,0.0391,0.0273,0.0283,1.43,1.38,1.0366,0.0177,2.20,0.1712,0.2152,0.80
N=8000,fp16,0.0652,0.0147,0.0219,4.45,2.98,1.4898,0.0151,4.32,0.1680,0.1890,0.89
N=8000,bf16,0.0636,0.0153,0.0210,4.15,3.02,1.3725,0.0153,4.16,0.1680,0.1869,0.90
