params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=500000,fp16,23.7091,0.4703,0.3951,50.41,60.00,0.8401,0.6440,36.82
n=500000,fp32,23.8151,0.4754,0.4355,50.09,54.69,0.9160,0.5785,41.17
n=1000000,fp16,28.0475,0.7072,0.5770,39.66,48.61,0.8159,0.7836,35.79
n=1000000,fp32,28.2684,0.6731,0.6574,42.00,43.00,0.9767,0.7322,38.61
n=1500000,fp16,41.4808,1.2482,0.9775,33.23,42.43,0.7832,1.1863,34.97
n=1500000,fp32,42.4125,1.1819,1.1193,35.88,37.89,0.9471,1.1127,38.12
n=2000000,fp16,42.1122,1.2458,0.9784,33.80,43.04,0.7854,1.1910,35.36
n=2000000,fp32,43.0303,1.1838,1.1207,36.35,38.40,0.9467,1.1170,38.52
n=2500000,fp16,66.1163,2.2522,1.7828,29.36,37.09,0.7916,2.0787,31.81
n=2500000,fp32,67.0518,2.1179,2.0551,31.66,32.63,0.9703,2.0196,33.20
n=3000000,fp16,66.7374,2.2543,1.7849,29.60,37.39,0.7918,2.0720,32.21
n=3000000,fp32,68.4699,2.1172,2.0552,32.34,33.32,0.9707,2.0206,33.89
n=3500000,fp16,70.0690,2.2530,1.7857,31.10,39.24,0.7926,2.0743,33.78
n=3500000,fp32,72.7543,2.1189,2.0555,34.34,35.40,0.9700,2.0198,36.02
n=4000000,fp16,70.8467,2.2550,1.7856,31.42,39.68,0.7919,2.0755,34.13
n=4000000,fp32,73.3782,2.1205,2.0549,34.60,35.71,0.9690,2.0181,36.36
n=4500000,fp16,126.0154,4.4061,3.4774,28.60,36.24,0.7892,3.6628,34.40
n=4500000,fp32,129.5709,4.0763,4.0202,31.79,32.23,0.9862,3.5629,36.37
n=5000000,fp16,126.5553,4.4069,3.4764,28.72,36.40,0.7889,3.6662,34.52
n=5000000,fp32,130.3062,4.0762,4.0241,31.97,32.38,0.9872,3.5645,36.56
n=5500000,fp16,127.3016,4.4066,3.4763,28.89,36.62,0.7889,3.6653,34.73
n=5500000,fp32,131.4818,4.0777,4.0208,32.24,32.70,0.9860,3.5692,36.84
n=6000000,fp16,128.0674,4.4064,3.4770,29.06,36.83,0.7891,3.6645,34.95
n=6000000,fp32,132.5598,4.0827,4.0217,32.47,32.96,0.9851,3.5706,37.13
n=6500000,fp16,130.3512,4.4097,3.4778,29.56,37.48,0.7887,3.6666,35.55
n=6500000,fp32,135.6886,4.0811,4.0229,33.25,33.73,0.9858,3.5652,38.06
n=7000000,fp16,131.1419,4.4047,3.4780,29.77,37.71,0.7896,3.6621,35.81
n=7000000,fp32,136.7824,4.0776,4.0228,33.54,34.00,0.9865,3.5684,38.33
n=7500000,fp16,131.8596,4.4068,3.4772,29.92,37.92,0.7891,3.6659,35.97
n=7500000,fp32,137.4949,4.0790,4.0243,33.71,34.17,0.9866,3.5663,38.55
n=8000000,fp16,132.5084,4.4096,3.4778,30.05,38.10,0.7887,3.6614,36.19
n=8000000,fp32,138.3497,4.0813,4.0217,33.90,34.40,0.9854,3.5654,38.80
n=8500000,fp16,248.6291,8.9873,7.0897,27.66,35.07,0.7889,6.9538,35.75
n=8500000,fp32,257.8215,8.2159,8.2744,31.38,31.16,1.0071,6.8589,37.59
n=9000000,fp16,249.9704,8.9844,7.0860,27.82,35.28,0.7887,6.9596,35.92
n=9000000,fp32,259.5073,8.2139,8.2587,31.59,31.42,1.0055,6.8280,38.01
n=9500000,fp16,252.1658,8.9828,7.0866,28.07,35.58,0.7889,6.9543,36.26
n=9500000,fp32,262.9741,8.2094,8.2387,32.03,31.92,1.0036,6.8110,38.61
n=10000000,fp16,253.3835,8.9835,7.0866,28.21,35.76,0.7888,6.9448,36.49
n=10000000,fp32,265.0512,8.2157,8.2590,32.26,32.09,1.0053,6.7941,39.01
