params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.4369,0.0080,0.0168,54.87,25.98
M=1024,fp16,1.0677,0.0104,0.0322,103.06,33.16
M=1536,fp16,1.9714,0.0163,0.0473,120.65,41.64
M=2048,fp16,2.9336,0.0181,0.0631,162.49,46.47
M=2560,fp16,4.2225,0.0244,0.0776,173.29,54.45
M=3072,fp16,5.5621,0.0261,0.0918,212.83,60.59
M=3584,fp16,7.1361,0.0298,0.1018,239.20,70.11
M=4096,fp16,8.8177,0.0337,0.1128,261.77,78.20
M=4608,fp16,11.2627,0.0354,0.1263,318.34,89.20
M=5120,fp16,13.3398,0.0417,0.1411,320.11,94.55
M=5632,fp16,15.8871,0.0427,0.1560,372.39,101.83
M=6144,fp16,17.5626,0.0480,0.1697,365.85,103.48
M=6656,fp16,20.1927,0.0500,0.1837,403.60,109.92
M=7168,fp16,22.8503,0.0538,0.1963,424.35,116.40
M=7680,fp16,25.6334,0.0574,0.2098,446.84,122.16
M=8192,fp16,28.3122,0.0594,0.2219,476.68,127.56
M=8704,fp16,31.5884,0.0639,0.2343,494.55,134.81
M=9216,fp16,34.8321,0.0674,0.2483,516.94,140.29
M=9728,fp16,36.1317,0.0718,0.2628,503.20,137.51
M=10240,fp16,39.5104,0.0740,0.2752,534.05,143.60
