params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"cols=512, rows=512",fp32,0.0100,0.0019,0.0020,5.14,5.08
"cols=1024, rows=512",fp32,0.0104,0.0018,0.0019,5.78,5.49
"cols=2048, rows=512",fp32,0.0126,0.0021,0.0023,6.00,5.53
"cols=4096, rows=512",fp32,0.0196,0.0028,0.0034,7.07,5.74
"cols=8192, rows=512",fp32,0.0324,0.0036,0.0054,8.87,6.04
"cols=512, rows=1024",fp32,0.0106,0.0022,0.0021,4.77,4.93
"cols=1024, rows=1024",fp32,0.0133,0.0020,0.0022,6.63,6.20
"cols=2048, rows=1024",fp32,0.0202,0.0027,0.0027,7.41,7.60
"cols=4096, rows=1024",fp32,0.0331,0.0037,0.0038,8.94,8.81
"cols=8192, rows=1024",fp32,0.0575,0.0064,0.0070,9.03,8.26
"cols=512, rows=2048",fp32,0.0135,0.0028,0.0028,4.75,4.86
"cols=1024, rows=2048",fp32,0.0200,0.0027,0.0030,7.31,6.59
"cols=2048, rows=2048",fp32,0.0333,0.0037,0.0040,9.12,8.38
"cols=4096, rows=2048",fp32,0.0577,0.0068,0.0064,8.46,8.97
"cols=8192, rows=2048",fp32,0.1222,0.0118,0.0129,10.32,9.50
"cols=512, rows=4096",fp32,0.0197,0.0043,0.0038,4.56,5.18
"cols=1024, rows=4096",fp32,0.0333,0.0039,0.0042,8.48,7.85
"cols=2048, rows=4096",fp32,0.0583,0.0065,0.0061,8.94,9.53
"cols=4096, rows=4096",fp32,0.1225,0.0122,0.0124,10.08,9.90
"cols=8192, rows=4096",fp32,0.2549,0.0206,0.0229,12.39,11.14
