params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0109,0.0030,0.0027,3.60,4.12
n=1048576,bf16,0.0104,0.0024,0.0028,4.28,3.78
n=1048576,fp32,0.0127,0.0030,0.0031,4.19,4.11
n=2097152,fp16,0.0156,0.0036,0.0036,4.38,4.28
n=2097152,bf16,0.0155,0.0032,0.0035,4.79,4.50
n=2097152,fp32,0.0180,0.0054,0.0055,3.35,3.31
n=3145728,fp16,0.0196,0.0049,0.0050,3.97,3.95
n=3145728,bf16,0.0200,0.0047,0.0052,4.28,3.88
n=3145728,fp32,0.0232,0.0078,0.0078,2.97,2.96
n=4194304,fp16,0.0247,0.0053,0.0054,4.70,4.56
n=4194304,bf16,0.0254,0.0054,0.0055,4.70,4.64
n=4194304,fp32,0.0295,0.0108,0.0110,2.73,2.69
n=5242880,fp16,0.0296,0.0076,0.0073,3.90,4.07
n=5242880,bf16,0.0292,0.0077,0.0073,3.77,4.01
n=5242880,fp32,0.0343,0.0124,0.0128,2.76,2.68
n=6291456,fp16,0.0334,0.0082,0.0086,4.07,3.91
n=6291456,bf16,0.0340,0.0085,0.0087,4.02,3.92
n=6291456,fp32,0.0399,0.0143,0.0158,2.80,2.52
n=7340032,fp16,0.0383,0.0106,0.0103,3.61,3.70
n=7340032,bf16,0.0384,0.0106,0.0105,3.62,3.65
n=7340032,fp32,0.0466,0.0165,0.0161,2.82,2.89
n=8388608,fp16,0.0425,0.0103,0.0106,4.13,4.02
n=8388608,bf16,0.0433,0.0110,0.0105,3.93,4.15
n=8388608,fp32,0.0538,0.0189,0.0191,2.84,2.81
n=9437184,fp16,0.0473,0.0116,0.0117,4.09,4.03
n=9437184,bf16,0.0481,0.0115,0.0116,4.17,4.14
n=9437184,fp32,0.0613,0.0201,0.0210,3.06,2.92
n=10485760,fp16,0.0520,0.0127,0.0132,4.10,3.95
n=10485760,bf16,0.0526,0.0128,0.0131,4.10,4.01
n=10485760,fp32,0.0680,0.0219,0.0235,3.11,2.89
n=11534336,fp16,0.0570,0.0136,0.0138,4.21,4.14
n=11534336,bf16,0.0571,0.0139,0.0138,4.11,4.14
n=11534336,fp32,0.0756,0.0237,0.0250,3.19,3.02
n=12582912,fp16,0.0618,0.0152,0.0150,4.06,4.11
n=12582912,bf16,0.0625,0.0145,0.0149,4.31,4.20
n=12582912,fp32,0.0815,0.0254,0.0268,3.21,3.04
n=13631488,fp16,0.0666,0.0157,0.0157,4.23,4.23
n=13631488,bf16,0.0673,0.0157,0.0160,4.29,4.20
n=13631488,fp32,0.0877,0.0273,0.0287,3.21,3.05
n=14680064,fp16,0.0723,0.0163,0.0166,4.43,4.35
n=14680064,bf16,0.0731,0.0161,0.0166,4.53,4.41
n=14680064,fp32,0.0935,0.0292,0.0307,3.20,3.05
n=15728640,fp16,0.0778,0.0173,0.0175,4.51,4.44
n=15728640,bf16,0.0784,0.0172,0.0174,4.56,4.49
n=15728640,fp32,0.0997,0.0307,0.0324,3.24,3.08
n=16777216,fp16,0.0829,0.0184,0.0185,4.51,4.49
n=16777216,bf16,0.0840,0.0181,0.0183,4.63,4.58
n=16777216,fp32,0.1063,0.0327,0.0343,3.25,3.10
n=17825792,fp16,0.0886,0.0193,0.0192,4.60,4.61
n=17825792,bf16,0.0895,0.0191,0.0191,4.69,4.68
n=17825792,fp32,0.1134,0.0345,0.0361,3.29,3.14
n=18874368,fp16,0.0939,0.0201,0.0202,4.67,4.64
n=18874368,bf16,0.0951,0.0201,0.0201,4.74,4.74
n=18874368,fp32,0.1213,0.0363,0.0380,3.34,3.19
n=19922944,fp16,0.0999,0.0205,0.0209,4.88,4.77
n=19922944,bf16,0.0991,0.0208,0.0210,4.77,4.71
n=19922944,fp32,0.1281,0.0384,0.0401,3.33,3.19
n=20971520,fp16,0.1051,0.0218,0.0221,4.82,4.75
n=20971520,bf16,0.1046,0.0220,0.0220,4.76,4.74
n=20971520,fp32,0.1346,0.0401,0.0417,3.35,3.23
