params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp16,0.0043,0.0025,0.0029,1.70,1.48,1.1446,0.0024,1.76,0.0285,0.0250,1.14
n=1048576,bf16,0.0043,0.0024,0.0027,1.82,1.64,1.1118,0.0024,1.76,0.0285,0.0249,1.15
n=1048576,fp32,0.0052,0.0029,0.0030,1.75,1.71,1.0244,0.0029,1.79,0.0326,0.0315,1.03
n=2097152,fp16,0.0064,0.0037,0.0039,1.76,1.65,1.0678,0.0036,1.80,0.0351,0.0320,1.10
n=2097152,bf16,0.0060,0.0033,0.0037,1.80,1.62,1.1077,0.0031,1.96,0.0351,0.0320,1.10
n=2097152,fp32,0.0086,0.0048,0.0049,1.79,1.74,1.0246,0.0057,1.51,0.0527,0.0500,1.06
n=3145728,fp16,0.0077,0.0040,0.0046,1.91,1.69,1.1338,0.0041,1.87,0.0459,0.0411,1.12
n=3145728,bf16,0.0076,0.0042,0.0047,1.79,1.60,1.1205,0.0042,1.83,0.0459,0.0413,1.11
n=3145728,fp32,0.0120,0.0080,0.0081,1.49,1.47,1.0149,0.0079,1.53,0.0694,0.0678,1.02
n=4194304,fp16,0.0096,0.0055,0.0061,1.74,1.57,1.1057,0.0049,1.97,0.0517,0.0503,1.03
n=4194304,bf16,0.0098,0.0054,0.0060,1.79,1.63,1.0971,0.0051,1.91,0.0515,0.0503,1.02
n=4194304,fp32,0.0146,0.0103,0.0103,1.42,1.42,1.0006,0.0103,1.42,0.0896,0.0906,0.99
n=5242880,fp16,0.0118,0.0066,0.0073,1.78,1.61,1.1071,0.0068,1.75,0.0685,0.0603,1.14
n=5242880,bf16,0.0113,0.0066,0.0074,1.72,1.52,1.1301,0.0065,1.73,0.0685,0.0604,1.13
n=5242880,fp32,0.0173,0.0123,0.0123,1.41,1.40,1.0045,0.0127,1.36,0.1085,0.1090,1.00
n=6291456,fp16,0.0131,0.0080,0.0088,1.63,1.49,1.0992,0.0081,1.62,0.0723,0.0706,1.02
n=6291456,bf16,0.0131,0.0080,0.0088,1.63,1.48,1.1007,0.0079,1.65,0.0722,0.0706,1.02
n=6291456,fp32,0.0199,0.0146,0.0146,1.36,1.36,1.0037,0.0143,1.39,0.1298,0.1268,1.02
n=7340032,fp16,0.0148,0.0098,0.0105,1.51,1.41,1.0690,0.0095,1.55,0.0817,0.0797,1.03
n=7340032,bf16,0.0149,0.0095,0.0103,1.56,1.44,1.0825,0.0094,1.59,0.0817,0.0796,1.03
n=7340032,fp32,0.0223,0.0160,0.0160,1.39,1.39,0.9999,0.0161,1.38,0.1525,0.1457,1.05
n=8388608,fp16,0.0168,0.0111,0.0118,1.52,1.43,1.0648,0.0107,1.57,0.0937,0.0922,1.02
n=8388608,bf16,0.0168,0.0109,0.0116,1.54,1.45,1.0591,0.0108,1.56,0.0937,0.0923,1.02
n=8388608,fp32,0.0255,0.0181,0.0180,1.41,1.42,0.9916,0.0182,1.40,0.1747,0.1655,1.06
n=9437184,fp16,0.0180,0.0120,0.0127,1.50,1.41,1.0653,0.0117,1.54,0.1062,0.1002,1.06
n=9437184,bf16,0.0180,0.0118,0.0128,1.52,1.41,1.0818,0.0116,1.55,0.1062,0.1004,1.06
n=9437184,fp32,0.0282,0.0199,0.0200,1.42,1.41,1.0018,0.0199,1.42,0.1887,0.1835,1.03
n=10485760,fp16,0.0197,0.0129,0.0139,1.53,1.41,1.0850,0.0126,1.57,0.1127,0.1083,1.04
n=10485760,bf16,0.0195,0.0125,0.0138,1.56,1.41,1.1053,0.0123,1.58,0.1129,0.1082,1.04
n=10485760,fp32,0.0310,0.0216,0.0216,1.44,1.44,1.0002,0.0215,1.44,0.2081,0.2022,1.03
n=11534336,fp16,0.0211,0.0136,0.0148,1.55,1.43,1.0837,0.0132,1.60,0.1250,0.1170,1.07
n=11534336,bf16,0.0213,0.0139,0.0151,1.53,1.41,1.0857,0.0135,1.57,0.1251,0.1171,1.07
n=11534336,fp32,0.0344,0.0236,0.0237,1.46,1.45,1.0052,0.0236,1.46,0.2270,0.2227,1.02
n=12582912,fp16,0.0224,0.0146,0.0161,1.53,1.39,1.0997,0.0143,1.57,0.1299,0.1288,1.01
n=12582912,bf16,0.0228,0.0146,0.0160,1.56,1.42,1.0981,0.0147,1.55,0.1298,0.1289,1.01
n=12582912,fp32,0.0371,0.0253,0.0253,1.47,1.47,1.0015,0.0252,1.47,0.2515,0.2443,1.03
n=13631488,fp16,0.0242,0.0156,0.0170,1.55,1.43,1.0889,0.0153,1.59,0.1430,0.1372,1.04
n=13631488,bf16,0.0246,0.0157,0.0172,1.56,1.43,1.0966,0.0158,1.56,0.1430,0.1372,1.04
n=13631488,fp32,0.0403,0.0272,0.0272,1.48,1.48,1.0019,0.0271,1.49,0.2666,0.2601,1.02
n=14680064,fp16,0.0259,0.0164,0.0184,1.58,1.41,1.1174,0.0167,1.55,0.1491,0.1463,1.02
n=14680064,bf16,0.0259,0.0165,0.0184,1.57,1.41,1.1162,0.0166,1.56,0.1488,0.1463,1.02
n=14680064,fp32,0.0435,0.0291,0.0291,1.49,1.49,0.9992,0.0291,1.49,0.2945,0.2807,1.05
n=15728640,fp16,0.0275,0.0171,0.0195,1.61,1.41,1.1444,0.0175,1.57,0.1673,0.1605,1.04
n=15728640,bf16,0.0275,0.0172,0.0194,1.60,1.42,1.1238,0.0173,1.59,0.1672,0.1607,1.04
n=15728640,fp32,0.0463,0.0308,0.0308,1.51,1.50,1.0003,0.0309,1.50,0.3067,0.2977,1.03
n=16777216,fp16,0.0290,0.0182,0.0206,1.59,1.41,1.1279,0.0182,1.60,0.1784,0.1667,1.07
n=16777216,bf16,0.0291,0.0179,0.0205,1.63,1.42,1.1438,0.0179,1.62,0.1784,0.1669,1.07
n=16777216,fp32,0.0502,0.0328,0.0328,1.53,1.53,1.0009,0.0325,1.54,0.3659,0.3173,1.15
n=17825792,fp16,0.0304,0.0190,0.0216,1.61,1.41,1.1378,0.0188,1.62,0.1824,0.1748,1.04
n=17825792,bf16,0.0304,0.0192,0.0218,1.58,1.39,1.1356,0.0187,1.63,0.1828,0.1748,1.05
n=17825792,fp32,0.0524,0.0344,0.0344,1.52,1.52,1.0005,0.0340,1.54,0.3450,0.3359,1.03
n=18874368,fp16,0.0324,0.0202,0.0229,1.60,1.42,1.1306,0.0201,1.62,0.1893,0.1839,1.03
n=18874368,bf16,0.0323,0.0194,0.0228,1.66,1.42,1.1735,0.0199,1.62,0.1893,0.1839,1.03
n=18874368,fp32,0.0568,0.0363,0.0363,1.57,1.56,1.0002,0.0365,1.56,0.3657,0.3558,1.03
n=19922944,fp16,0.0340,0.0211,0.0239,1.61,1.42,1.1286,0.0210,1.62,0.2008,0.1940,1.03
n=19922944,bf16,0.0340,0.0208,0.0239,1.63,1.42,1.1488,0.0209,1.62,0.2009,0.1941,1.03
n=19922944,fp32,0.0607,0.0382,0.0381,1.59,1.59,0.9984,0.0379,1.60,0.3860,0.3765,1.03
n=20971520,fp16,0.0356,0.0218,0.0251,1.63,1.42,1.1493,0.0223,1.60,0.2084,0.2038,1.02
n=20971520,bf16,0.0358,0.0217,0.0251,1.65,1.42,1.1585,0.0219,1.63,0.2082,0.2037,1.02
n=20971520,fp32,0.0645,0.0400,0.0400,1.61,1.61,1.0001,0.0399,1.62,0.4024,0.3935,1.02
