params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=1024,fp16,0.0505,0.0934,0.0992,0.54,0.51,1.0621,0.1799,0.28
seq_len=2048,fp16,0.1401,0.2690,0.2787,0.52,0.50,1.0361,0.5330,0.26
seq_len=3072,fp16,0.2996,0.5366,0.5395,0.56,0.56,1.0054,1.1024,0.27
seq_len=4096,fp16,0.5318,0.8992,0.8826,0.59,0.60,0.9815,1.8936,0.28
seq_len=5120,fp16,0.9081,1.3553,1.3082,0.67,0.69,0.9652,3.0503,0.30
seq_len=6144,fp16,1.2669,1.9234,1.8174,0.66,0.70,0.9449,4.0513,0.31
seq_len=7168,fp16,1.7615,2.5910,2.4126,0.68,0.73,0.9311,5.7861,0.30
seq_len=8192,fp16,2.3747,3.3505,3.1248,0.71,0.76,0.9326,7.2275,0.33
seq_len=9216,fp16,2.9166,4.2521,3.8981,0.69,0.75,0.9167,9.1077,0.32
seq_len=10240,fp16,3.6144,5.2224,4.8176,0.69,0.75,0.9225,10.9372,0.33
seq_len=11264,fp16,4.4937,6.3169,5.7939,0.71,0.78,0.9172,13.6947,0.33
seq_len=12288,fp16,5.4420,7.4720,6.8746,0.73,0.79,0.9200,16.3122,0.33
seq_len=13312,fp16,6.3371,8.7482,8.0201,0.72,0.79,0.9168,19.1169,0.33
seq_len=14336,fp16,7.4285,10.1104,9.2778,0.73,0.80,0.9176,22.2034,0.33
seq_len=15360,fp16,8.5570,11.6006,10.6019,0.74,0.81,0.9139,25.5312,0.34
seq_len=16384,fp16,9.6742,13.1724,12.0343,0.73,0.80,0.9136,28.9070,0.33
seq_len=17408,fp16,10.9682,14.8401,13.5352,0.74,0.81,0.9121,32.7708,0.33
seq_len=18432,fp16,12.3530,16.6248,15.1278,0.74,0.82,0.9100,36.6232,0.34
seq_len=19456,fp16,13.6210,18.4533,16.8642,0.74,0.81,0.9139,40.2350,0.34
seq_len=20480,fp16,15.1870,20.4122,18.6327,0.74,0.82,0.9128,45.0964,0.34
