params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp32,0.0097,0.0042,0.0044,2.31,2.21
n=2097152,fp32,0.0144,0.0072,0.0076,2.00,1.91
n=3145728,fp32,0.0180,0.0106,0.0109,1.70,1.66
n=4194304,fp32,0.0223,0.0136,0.0138,1.64,1.62
n=5242880,fp32,0.0265,0.0163,0.0166,1.62,1.59
n=6291456,fp32,0.0300,0.0185,0.0187,1.63,1.61
n=7340032,fp32,0.0344,0.0209,0.0211,1.64,1.63
n=8388608,fp32,0.0390,0.0235,0.0236,1.66,1.65
n=9437184,fp32,0.0438,0.0258,0.0260,1.70,1.68
n=10485760,fp32,0.0490,0.0286,0.0288,1.71,1.70
n=11534336,fp32,0.0534,0.0305,0.0306,1.75,1.75
n=12582912,fp32,0.0582,0.0329,0.0330,1.77,1.76
n=13631488,fp32,0.0639,0.0357,0.0358,1.79,1.79
n=14680064,fp32,0.0686,0.0377,0.0379,1.82,1.81
n=15728640,fp32,0.0725,0.0401,0.0403,1.81,1.80
n=16777216,fp32,0.0803,0.0427,0.0428,1.88,1.88
n=17825792,fp32,0.0861,0.0447,0.0448,1.93,1.92
n=18874368,fp32,0.0911,0.0476,0.0479,1.91,1.90
n=19922944,fp32,0.0972,0.0497,0.0501,1.96,1.94
n=20971520,fp32,0.1032,0.0519,0.0520,1.99,1.98
