params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1000000,fp16,0.0088,0.0026,0.0027,3.36,3.28,1.0385,0.0026,3.34,0.0754,0.0277,2.72
n=1000000,bf16,0.0087,0.0025,0.0026,3.52,3.35,1.0400,0.0026,3.38,0.0754,0.0277,2.72
n=1000000,fp32,0.0089,0.0037,0.0039,2.44,2.31,1.0541,0.0039,2.28,0.1201,0.0390,3.08
n=1000000,int8,0.0081,0.0021,0.0024,3.78,3.37,1.1429,0.0023,3.53,0.0524,0.0236,2.22
n=2000000,fp16,0.0129,0.0038,0.0038,3.42,3.37,1.0000,0.0038,3.43,0.0776,0.0388,2.00
n=2000000,bf16,0.0126,0.0036,0.0037,3.49,3.41,1.0278,0.0038,3.27,0.0776,0.0388,2.00
n=2000000,fp32,0.0147,0.0064,0.0071,2.29,2.08,1.1094,0.0068,2.15,0.0923,0.0612,1.51
n=2000000,int8,0.0117,0.0026,0.0029,4.42,3.99,1.1154,0.0028,4.11,0.0723,0.0322,2.25
n=3000000,fp16,0.0169,0.0052,0.0053,3.26,3.20,1.0192,0.0053,3.18,0.1937,0.0503,3.85
n=3000000,bf16,0.0165,0.0053,0.0054,3.10,3.07,1.0189,0.0052,3.17,0.1937,0.0503,3.85
n=3000000,fp32,0.0224,0.0096,0.0107,2.33,2.10,1.1146,0.0104,2.15,0.3323,0.0846,3.93
n=3000000,int8,0.0143,0.0034,0.0037,4.19,3.86,1.0882,0.0037,3.89,0.1587,0.0403,3.94
n=4000000,fp16,0.0218,0.0068,0.0069,3.22,3.16,1.0147,0.0068,3.22,0.1327,0.0631,2.10
n=4000000,bf16,0.0213,0.0067,0.0068,3.17,3.15,1.0149,0.0068,3.14,0.1326,0.0631,2.10
n=4000000,fp32,0.0304,0.0122,0.0135,2.48,2.25,1.1066,0.0128,2.37,0.1753,0.1126,1.56
