params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
rows=512,fp16,0.0130,0.0019,0.0020,6.87,6.54,1.0504,0.0023,5.58,0.0318,0.0240,1.33
rows=512,bf16,0.0133,0.0021,0.0022,6.40,6.00,1.0668,0.0025,5.33,0.0308,0.0260,1.18
rows=512,fp32,0.0104,0.0020,0.0022,5.08,4.68,1.0845,0.0025,4.21,0.0337,0.0264,1.28
rows=1024,fp16,0.0178,0.0037,0.0038,4.82,4.66,1.0333,0.0032,5.49,0.0519,0.0402,1.29
rows=1024,bf16,0.0178,0.0037,0.0035,4.81,5.01,0.9606,0.0032,5.61,0.0489,0.0516,0.95
rows=1024,fp32,0.0181,0.0036,0.0037,5.09,4.95,1.0270,0.0041,4.41,0.0653,0.0460,1.42
rows=1536,fp16,0.0288,0.0050,0.0061,5.78,4.73,1.2215,0.0056,5.17,0.0702,0.0603,1.16
rows=1536,bf16,0.0290,0.0052,0.0051,5.58,5.65,0.9886,0.0056,5.18,0.0703,0.0603,1.16
rows=1536,fp32,0.0305,0.0077,0.0065,3.96,4.70,0.8422,0.0066,4.65,0.0923,0.0750,1.23
rows=2048,fp16,0.0420,0.0076,0.0076,5.53,5.53,0.9984,0.0078,5.41,0.1501,0.0809,1.86
rows=2048,bf16,0.0429,0.0075,0.0079,5.69,5.46,1.0427,0.0080,5.34,0.1501,0.0857,1.75
rows=2048,fp32,0.0463,0.0115,0.0107,4.03,4.31,0.9350,0.0096,4.84,0.2450,0.1194,2.05
rows=2560,fp16,0.0593,0.0119,0.0116,4.97,5.12,0.9725,0.0105,5.65,0.2313,0.1157,2.00
rows=2560,bf16,0.0595,0.0120,0.0108,4.97,5.49,0.9048,0.0106,5.62,0.2313,0.1321,1.75
rows=2560,fp32,0.0691,0.0167,0.0149,4.15,4.63,0.8963,0.0131,5.28,0.4109,0.1708,2.41
rows=3072,fp16,0.0805,0.0170,0.0149,4.75,5.39,0.8808,0.0142,5.68,0.3032,0.1594,1.90
rows=3072,bf16,0.0815,0.0171,0.0151,4.75,5.40,0.8804,0.0143,5.68,0.3032,0.1643,1.85
rows=3072,fp32,0.1178,0.0230,0.0203,5.11,5.81,0.8798,0.0186,6.34,0.6190,0.2294,2.70
rows=3584,fp16,0.1073,0.0226,0.0192,4.75,5.60,0.8493,0.0185,5.79,0.4559,0.2012,2.27
rows=3584,bf16,0.1085,0.0226,0.0192,4.80,5.66,0.8482,0.0186,5.83,0.4561,0.2045,2.23
rows=3584,fp32,0.1674,0.0307,0.0268,5.46,6.26,0.8723,0.0246,6.80,1.2673,0.3049,4.16
rows=4096,fp16,0.1506,0.0292,0.0250,5.15,6.01,0.8569,0.0231,6.52,0.5701,0.2665,2.14
rows=4096,bf16,0.1508,0.0294,0.0248,5.12,6.09,0.8419,0.0231,6.53,0.5698,0.2633,2.16
rows=4096,fp32,0.2240,0.0393,0.0339,5.71,6.61,0.8629,0.0313,7.16,1.1618,0.3975,2.92
rows=4608,fp16,0.2100,0.0359,0.0308,5.86,6.81,0.8600,0.0285,7.38,0.7790,0.3390,2.30
rows=4608,bf16,0.2109,0.0359,0.0315,5.88,6.71,0.8766,0.0286,7.37,0.7788,0.3391,2.30
rows=4608,fp32,0.2817,0.0491,0.0410,5.74,6.87,0.8356,0.0381,7.40,1.4516,0.4881,2.97
rows=5120,fp16,0.2716,0.0432,0.0364,6.28,7.45,0.8430,0.0344,7.88,1.5374,0.3732,4.12
rows=5120,bf16,0.2717,0.0433,0.0374,6.28,7.27,0.8637,0.0346,7.86,1.5362,0.3848,3.99
rows=5120,fp32,0.3457,0.0604,0.0492,5.72,7.02,0.8150,0.0458,7.55,1.7727,0.5941,2.98
rows=5632,fp16,0.3350,0.0525,0.0428,6.38,7.83,0.8153,0.0414,8.09,1.1700,0.4473,2.62
rows=5632,bf16,0.3351,0.0525,0.0427,6.38,7.85,0.8135,0.0413,8.11,1.1700,0.4470,2.62
rows=5632,fp32,0.4174,0.0727,0.0588,5.74,7.10,0.8089,0.0554,7.53,2.1407,0.7285,2.94
rows=6144,fp16,0.3965,0.0606,0.0500,6.54,7.93,0.8252,0.0484,8.19,1.3839,0.5289,2.62
rows=6144,bf16,0.3968,0.0607,0.0506,6.54,7.84,0.8350,0.0495,8.01,1.3847,0.5299,2.61
rows=6144,fp32,0.4940,0.0834,0.0712,5.93,6.94,0.8536,0.0646,7.65,2.5441,0.8487,3.00
rows=6656,fp16,0.4631,0.0719,0.0582,6.44,7.96,0.8093,0.0567,8.17,2.2068,0.6163,3.58
rows=6656,bf16,0.4647,0.0719,0.0582,6.46,7.99,0.8089,0.0566,8.21,2.2059,0.7304,3.02
rows=6656,fp32,0.5783,0.1000,0.0795,5.79,7.28,0.7951,0.0752,7.69,3.7847,0.9781,3.87
rows=7168,fp16,0.5348,0.0812,0.0666,6.58,8.02,0.8206,0.0664,8.05,1.8311,0.6967,2.63
rows=7168,bf16,0.5368,0.0812,0.0666,6.61,8.06,0.8208,0.0646,8.30,1.8306,0.6962,2.63
rows=7168,fp32,0.6703,0.1121,0.0908,5.98,7.38,0.8100,0.0861,7.79,3.5508,1.1061,3.21
rows=7680,fp16,0.6157,0.0940,0.0757,6.55,8.13,0.8057,0.0756,8.15,2.2395,0.8404,2.66
rows=7680,bf16,0.6164,0.0941,0.0757,6.55,8.14,0.8050,0.0757,8.14,2.2402,0.8569,2.61
rows=7680,fp32,0.7675,0.1319,0.1036,5.82,7.41,0.7851,0.0984,7.80,3.9619,1.2909,3.07
rows=8192,fp16,0.7009,0.1049,0.0857,6.68,8.17,0.8173,0.0840,8.34,2.6342,0.8963,2.94
rows=8192,bf16,0.7011,0.1050,0.0858,6.68,8.17,0.8177,0.0837,8.38,2.6367,0.8965,2.94
rows=8192,fp32,0.8691,0.1453,0.1167,5.98,7.45,0.8032,0.1103,7.88,6.6783,1.4566,4.58
rows=8704,fp16,0.7854,0.1197,0.0960,6.56,8.18,0.8024,0.0961,8.18,2.8228,1.0559,2.67
rows=8704,bf16,0.7872,0.1197,0.0960,6.58,8.20,0.8019,0.0961,8.19,2.8228,1.0560,2.67
rows=8704,fp32,0.9830,0.1640,0.1312,5.99,7.49,0.8003,0.1250,7.87,5.1096,1.6433,3.11
rows=9216,fp16,0.8760,0.1314,0.1074,6.67,8.16,0.8170,0.1075,8.15,3.2132,1.1403,2.82
rows=9216,bf16,0.8779,0.1315,0.1074,6.68,8.18,0.8168,0.1076,8.16,3.2123,1.1683,2.75
rows=9216,fp32,1.1005,0.1829,0.1468,6.02,7.50,0.8024,0.1398,7.87,5.7737,1.8314,3.15
rows=9728,fp16,0.9752,0.1484,0.1191,6.57,8.19,0.8025,0.1191,8.19,4.6950,1.2779,3.67
rows=9728,bf16,0.9757,0.1485,0.1190,6.57,8.20,0.8017,0.1190,8.20,4.6948,1.2773,3.68
rows=9728,fp32,1.2234,0.2032,0.1627,6.02,7.52,0.8009,0.1550,7.89,6.3098,2.0467,3.08
rows=10240,fp16,1.0780,0.1612,0.1314,6.69,8.20,0.8152,0.1314,8.20,5.2712,1.3811,3.82
rows=10240,bf16,1.0777,0.1612,0.1313,6.69,8.21,0.8145,0.1311,8.22,5.2700,1.3810,3.82
