params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
rows=512,fp16,0.0170,0.0022,0.0026,7.69,6.61
rows=512,bf16,0.0156,0.0021,0.0024,7.28,6.47
rows=512,fp32,0.0110,0.0023,0.0027,4.83,4.13
rows=1024,fp16,0.0260,0.0037,0.0037,7.00,7.09
rows=1024,bf16,0.0249,0.0037,0.0034,6.72,7.35
rows=1024,fp32,0.0181,0.0041,0.0043,4.44,4.19
rows=1536,fp16,0.0423,0.0072,0.0069,5.87,6.13
rows=1536,bf16,0.0415,0.0070,0.0067,5.92,6.16
rows=1536,fp32,0.0307,0.0078,0.0082,3.94,3.76
rows=2048,fp16,0.0648,0.0105,0.0088,6.16,7.37
rows=2048,bf16,0.0639,0.0108,0.0087,5.93,7.31
rows=2048,fp32,0.0464,0.0119,0.0110,3.88,4.20
rows=2560,fp16,0.0949,0.0160,0.0146,5.91,6.51
rows=2560,bf16,0.0938,0.0160,0.0145,5.87,6.47
rows=2560,fp32,0.0696,0.0175,0.0175,3.97,3.97
rows=3072,fp16,0.1483,0.0214,0.0172,6.92,8.60
rows=3072,bf16,0.1488,0.0215,0.0173,6.93,8.61
rows=3072,fp32,0.1170,0.0234,0.0214,5.00,5.46
rows=3584,fp16,0.2134,0.0290,0.0252,7.37,8.48
rows=3584,bf16,0.2124,0.0290,0.0252,7.33,8.44
rows=3584,fp32,0.1671,0.0312,0.0304,5.36,5.50
rows=4096,fp16,0.2865,0.0359,0.0287,7.99,9.97
rows=4096,bf16,0.2866,0.0359,0.0288,7.98,9.96
rows=4096,fp32,0.2250,0.0390,0.0352,5.77,6.40
rows=4608,fp16,0.3589,0.0456,0.0388,7.87,9.24
rows=4608,bf16,0.3596,0.0455,0.0389,7.90,9.25
rows=4608,fp32,0.2817,0.0492,0.0469,5.72,6.00
rows=5120,fp16,0.4407,0.0542,0.0431,8.13,10.23
rows=5120,bf16,0.4412,0.0542,0.0431,8.14,10.23
rows=5120,fp32,0.3460,0.0590,0.0525,5.86,6.59
rows=5632,fp16,0.5308,0.0662,0.0556,8.01,9.54
rows=5632,bf16,0.5312,0.0662,0.0556,8.03,9.55
rows=5632,fp32,0.4176,0.0718,0.0675,5.82,6.19
rows=6144,fp16,0.6298,0.0766,0.0607,8.22,10.38
rows=6144,bf16,0.6303,0.0767,0.0607,8.22,10.38
rows=6144,fp32,0.4937,0.0835,0.0739,5.91,6.68
rows=6656,fp16,0.7361,0.0910,0.0756,8.09,9.73
rows=6656,bf16,0.7377,0.0910,0.0756,8.11,9.76
rows=6656,fp32,0.5787,0.0988,0.0913,5.86,6.34
rows=7168,fp16,0.8515,0.1033,0.0815,8.25,10.44
rows=7168,bf16,0.8544,0.1032,0.0815,8.28,10.48
rows=7168,fp32,0.6695,0.1124,0.0990,5.96,6.76
rows=7680,fp16,0.9751,0.1198,0.0988,8.14,9.87
rows=7680,bf16,0.9776,0.1198,0.0988,8.16,9.90
rows=7680,fp32,0.7662,0.1303,0.1193,5.88,6.42
rows=8192,fp16,1.1056,0.1339,0.1056,8.26,10.47
rows=8192,bf16,1.1088,0.1339,0.1055,8.28,10.51
rows=8192,fp32,0.8696,0.1459,0.1277,5.96,6.81
rows=8704,fp16,1.2478,0.1528,0.1252,8.17,9.97
rows=8704,bf16,1.2516,0.1528,0.1252,8.19,10.00
rows=8704,fp32,0.9819,0.1661,0.1512,5.91,6.50
rows=9216,fp16,1.3981,0.1687,0.1328,8.29,10.53
rows=9216,bf16,1.3997,0.1687,0.1327,8.30,10.55
rows=9216,fp32,1.0993,0.1837,0.1611,5.98,6.82
rows=9728,fp16,1.5545,0.1898,0.1548,8.19,10.04
rows=9728,bf16,1.5570,0.1898,0.1547,8.20,10.06
rows=9728,fp32,1.2225,0.2064,0.1867,5.92,6.55
rows=10240,fp16,1.7209,0.2074,0.1631,8.30,10.55
rows=10240,bf16,1.7251,0.2075,0.1631,8.32,10.58
rows=10240,fp32,1.3556,0.2260,0.1978,6.00,6.85
