params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
K=512,fp16,0.0172,0.0025,0.0034,6.79,5.03,1.3486
K=512,bf16,0.0164,0.0026,0.0036,6.40,4.56,1.4046
K=512,fp32,0.0129,0.0037,0.0029,3.50,4.44,0.7877
K=1024,fp16,0.0236,0.0027,0.0037,8.60,6.41,1.3409
K=1024,bf16,0.0232,0.0028,0.0032,8.21,7.15,1.1481
K=1024,fp32,0.0176,0.0036,0.0038,4.93,4.69,1.0507
K=1536,fp16,0.0294,0.0033,0.0043,8.99,6.92,1.2996
K=1536,bf16,0.0303,0.0032,0.0040,9.55,7.64,1.2489
K=1536,fp32,0.0226,0.0055,0.0057,4.08,4.00,1.0200
K=2048,fp16,0.0362,0.0038,0.0043,9.51,8.50,1.1188
K=2048,bf16,0.0359,0.0037,0.0055,9.70,6.51,1.4887
K=2048,fp32,0.0261,0.0070,0.0070,3.74,3.75,0.9958
K=2560,fp16,0.0419,0.0053,0.0069,7.86,6.03,1.3049
K=2560,bf16,0.0423,0.0054,0.0067,7.82,6.34,1.2332
K=2560,fp32,0.0313,0.0084,0.0088,3.74,3.57,1.0467
K=3072,fp16,0.0481,0.0058,0.0083,8.32,5.83,1.4276
K=3072,bf16,0.0488,0.0056,0.0079,8.66,6.21,1.3936
K=3072,fp32,0.0364,0.0099,0.0100,3.67,3.63,1.0107
K=3584,fp16,0.0535,0.0064,0.0103,8.36,5.18,1.6146
K=3584,bf16,0.0551,0.0059,0.0090,9.32,6.16,1.5131
K=3584,fp32,0.0406,0.0113,0.0110,3.60,3.68,0.9773
K=4096,fp16,0.0578,0.0076,0.0099,7.60,5.85,1.2993
K=4096,bf16,0.0578,0.0079,0.0098,7.34,5.92,1.2400
K=4096,fp32,0.0438,0.0128,0.0128,3.44,3.42,1.0061
K=4608,fp16,0.0646,0.0080,0.0115,8.03,5.60,1.4342
K=4608,bf16,0.0667,0.0080,0.0090,8.34,7.38,1.1299
K=4608,fp32,0.0493,0.0148,0.0142,3.33,3.46,0.9623
K=5120,fp16,0.0705,0.0086,0.0122,8.21,5.80,1.4153
K=5120,bf16,0.0722,0.0087,0.0096,8.33,7.52,1.1073
K=5120,fp32,0.0540,0.0154,0.0154,3.51,3.50,1.0019
K=5632,fp16,0.0763,0.0094,0.0107,8.08,7.14,1.1313
K=5632,bf16,0.0777,0.0099,0.0107,7.84,7.29,1.0749
K=5632,fp32,0.0592,0.0170,0.0169,3.47,3.51,0.9891
K=6144,fp16,0.0830,0.0107,0.0112,7.78,7.39,1.0532
K=6144,bf16,0.0835,0.0103,0.0111,8.15,7.54,1.0807
K=6144,fp32,0.0638,0.0190,0.0182,3.36,3.50,0.9616
K=6656,fp16,0.0893,0.0111,0.0124,8.05,7.21,1.1169
K=6656,bf16,0.0900,0.0113,0.0122,7.99,7.37,1.0845
K=6656,fp32,0.0699,0.0208,0.0197,3.36,3.55,0.9461
K=7168,fp16,0.0949,0.0127,0.0129,7.46,7.34,1.0162
K=7168,bf16,0.0964,0.0126,0.0132,7.64,7.31,1.0459
K=7168,fp32,0.0746,0.0221,0.0210,3.37,3.56,0.9472
K=7680,fp16,0.1017,0.0125,0.0148,8.11,6.88,1.1795
K=7680,bf16,0.1036,0.0126,0.0148,8.25,7.00,1.1789
K=7680,fp32,0.0800,0.0232,0.0231,3.44,3.46,0.9956
K=8192,fp16,0.0924,0.0134,0.0159,6.90,5.80,1.1890
K=8192,bf16,0.0923,0.0131,0.0157,7.06,5.88,1.2019
K=8192,fp32,0.0732,0.0251,0.0245,2.92,2.99,0.9747
K=8704,fp16,0.0970,0.0139,0.0170,6.97,5.69,1.2238
K=8704,bf16,0.1002,0.0138,0.0168,7.25,5.96,1.2163
K=8704,fp32,0.0776,0.0273,0.0260,2.84,2.98,0.9523
K=9216,fp16,0.1009,0.0145,0.0180,6.95,5.62,1.2376
K=9216,bf16,0.1052,0.0143,0.0175,7.33,6.00,1.2217
K=9216,fp32,0.0822,0.0287,0.0268,2.86,3.06,0.9342
K=9728,fp16,0.1090,0.0153,0.0193,7.14,5.64,1.2665
K=9728,bf16,0.1103,0.0151,0.0193,7.30,5.72,1.2752
K=9728,fp32,0.0861,0.0307,0.0299,2.81,2.88,0.9749
K=10240,fp16,0.1125,0.0157,0.0203,7.16,5.55,1.2909
K=10240,bf16,0.1164,0.0157,0.0206,7.40,5.65,1.3106
K=10240,fp32,0.0902,0.0304,0.0312,2.97,2.89,1.0278
