params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
K=512,fp16,0.0172,0.0028,0.0030,6.25,5.74,1.0899
K=512,bf16,0.0165,0.0029,0.0031,5.66,5.29,1.0698
K=512,fp32,0.0130,0.0028,0.0032,4.70,4.10,1.1478
K=1024,fp16,0.0237,0.0028,0.0031,8.31,7.76,1.0712
K=1024,bf16,0.0234,0.0031,0.0033,7.62,7.15,1.0655
K=1024,fp32,0.0186,0.0039,0.0041,4.76,4.55,1.0450
K=1536,fp16,0.0296,0.0033,0.0041,8.98,7.25,1.2383
K=1536,bf16,0.0300,0.0033,0.0040,9.11,7.43,1.2253
K=1536,fp32,0.0231,0.0055,0.0062,4.19,3.70,1.1320
K=2048,fp16,0.0353,0.0040,0.0046,8.85,7.71,1.1481
K=2048,bf16,0.0357,0.0039,0.0048,9.25,7.52,1.2299
K=2048,fp32,0.0272,0.0070,0.0080,3.91,3.39,1.1540
K=2560,fp16,0.0413,0.0045,0.0060,9.25,6.88,1.3447
K=2560,bf16,0.0426,0.0047,0.0063,8.98,6.80,1.3203
K=2560,fp32,0.0314,0.0085,0.0103,3.69,3.04,1.2139
K=3072,fp16,0.0477,0.0054,0.0067,8.77,7.08,1.2384
K=3072,bf16,0.0490,0.0056,0.0069,8.72,7.08,1.2312
K=3072,fp32,0.0358,0.0098,0.0114,3.64,3.13,1.1602
K=3584,fp16,0.0537,0.0063,0.0089,8.47,6.06,1.3969
K=3584,bf16,0.0549,0.0063,0.0090,8.73,6.12,1.4272
K=3584,fp32,0.0401,0.0116,0.0123,3.46,3.27,1.0575
K=4096,fp16,0.0574,0.0073,0.0099,7.83,5.79,1.3528
K=4096,bf16,0.0578,0.0073,0.0094,7.95,6.17,1.2895
K=4096,fp32,0.0441,0.0134,0.0136,3.29,3.24,1.0148
K=4608,fp16,0.0649,0.0080,0.0114,8.12,5.69,1.4273
K=4608,bf16,0.0667,0.0080,0.0112,8.37,5.97,1.4025
K=4608,fp32,0.0497,0.0153,0.0149,3.24,3.33,0.9733
K=5120,fp16,0.0706,0.0089,0.0122,7.97,5.80,1.3753
K=5120,bf16,0.0724,0.0089,0.0123,8.16,5.91,1.3806
K=5120,fp32,0.0539,0.0168,0.0172,3.21,3.13,1.0282
K=5632,fp16,0.0766,0.0104,0.0136,7.35,5.61,1.3104
K=5632,bf16,0.0784,0.0107,0.0136,7.36,5.76,1.2783
K=5632,fp32,0.0596,0.0198,0.0179,3.00,3.32,0.9049
K=6144,fp16,0.0827,0.0110,0.0142,7.52,5.82,1.2930
K=6144,bf16,0.0841,0.0113,0.0143,7.44,5.88,1.2664
K=6144,fp32,0.0636,0.0217,0.0203,2.94,3.14,0.9347
K=6656,fp16,0.0890,0.0119,0.0159,7.46,5.61,1.3307
K=6656,bf16,0.0902,0.0121,0.0157,7.47,5.74,1.3001
K=6656,fp32,0.0696,0.0245,0.0217,2.84,3.21,0.8857
K=7168,fp16,0.0951,0.0126,0.0164,7.56,5.79,1.3062
K=7168,bf16,0.0966,0.0125,0.0163,7.76,5.94,1.3068
K=7168,fp32,0.0743,0.0259,0.0231,2.87,3.22,0.8924
K=7680,fp16,0.1007,0.0148,0.0192,6.82,5.25,1.2978
K=7680,bf16,0.1025,0.0149,0.0187,6.90,5.49,1.2556
K=7680,fp32,0.0804,0.0278,0.0246,2.89,3.26,0.8854
K=8192,fp16,0.0894,0.0143,0.0199,6.27,4.49,1.3970
K=8192,bf16,0.0927,0.0141,0.0196,6.59,4.73,1.3934
K=8192,fp32,0.0723,0.0300,0.0263,2.41,2.75,0.8743
K=8704,fp16,0.0960,0.0163,0.0200,5.88,4.80,1.2245
K=8704,bf16,0.1006,0.0165,0.0208,6.08,4.83,1.2592
K=8704,fp32,0.0779,0.0334,0.0276,2.33,2.82,0.8256
K=9216,fp16,0.1013,0.0159,0.0207,6.36,4.90,1.2979
K=9216,bf16,0.1039,0.0158,0.0215,6.57,4.82,1.3633
K=9216,fp32,0.0818,0.0336,0.0292,2.43,2.80,0.8684
K=9728,fp16,0.1085,0.0175,0.0238,6.19,4.56,1.3573
K=9728,bf16,0.1102,0.0176,0.0213,6.26,5.17,1.2112
K=9728,fp32,0.0857,0.0370,0.0314,2.32,2.73,0.8497
K=10240,fp16,0.1155,0.0176,0.0245,6.57,4.71,1.3932
K=10240,bf16,0.1142,0.0175,0.0219,6.52,5.21,1.2528
K=10240,fp32,0.0901,0.0389,0.0336,2.32,2.68,0.8650
