params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"D=32, M=1024",fp32,0.0454,0.0553,0.1698,0.82,0.27,3.0719
"D=64, M=1024",fp32,0.0428,0.1195,0.4058,0.36,0.11,3.3967
"D=128, M=1024",fp32,0.0426,0.2924,1.0176,0.15,0.04,3.4799
"D=256, M=1024",fp32,0.0585,0.8259,3.0278,0.07,0.02,3.6660
"D=32, M=2048",fp32,0.0548,0.0670,0.2149,0.82,0.26,3.2070
"D=64, M=2048",fp32,0.0570,0.1534,0.5474,0.37,0.10,3.5684
"D=128, M=2048",fp32,0.0616,0.4206,1.5367,0.15,0.04,3.6538
"D=256, M=2048",fp32,0.0719,1.3273,5.0400,0.05,0.01,3.7973
"D=32, M=4096",fp32,0.0629,0.0886,0.3024,0.71,0.21,3.4121
"D=64, M=4096",fp32,0.0695,0.2229,0.8381,0.31,0.08,3.7608
"D=128, M=4096",fp32,0.0773,0.6799,2.5905,0.11,0.03,3.8099
"D=256, M=4096",fp32,0.0957,2.3353,9.0745,0.04,0.01,3.8858
"D=32, M=8192",fp32,0.0605,0.1388,0.4774,0.44,0.13,3.4399
"D=64, M=8192",fp32,0.0663,0.3622,1.4275,0.18,0.05,3.9407
"D=128, M=8192",fp32,0.1043,1.1981,4.6779,0.09,0.02,3.9044
"D=256, M=8192",fp32,0.1342,4.3494,17.1466,0.03,0.01,3.9423
"D=32, M=10000",fp32,0.0677,0.1565,0.5583,0.43,0.12,3.5679
"D=64, M=10000",fp32,0.0754,0.4234,1.6884,0.18,0.04,3.9877
"D=128, M=10000",fp32,0.1170,1.4479,5.5786,0.08,0.02,3.8531
"D=256, M=10000",fp32,0.1570,5.4103,20.7847,0.03,0.01,3.8417
