params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
N=256,fp16,0.0015,0.0014,0.0014,1.06,1.05,1.0091,0.0016,0.96,0.0154,0.0148,1.04
N=256,bf16,0.0015,0.0014,0.0015,1.04,0.97,1.0723,0.0017,0.90,0.0154,0.0148,1.04
N=256,fp32,0.0016,0.0015,0.0017,1.04,0.94,1.1150,0.0015,1.04,0.0155,0.0153,1.01
N=256,int8,0.0014,0.0013,0.0014,1.05,1.02,1.0268,0.0013,1.05,0.0139,0.0146,0.95
N=512,fp16,0.0017,0.0016,0.0018,1.04,0.95,1.0906,0.0017,1.01,0.0154,0.0163,0.95
N=512,bf16,0.0016,0.0016,0.0017,1.03,0.95,1.0825,0.0016,1.03,0.0155,0.0163,0.95
N=512,fp32,0.0021,0.0020,0.0021,1.02,1.00,1.0174,0.0021,0.99,0.0154,0.0176,0.87
N=512,int8,0.0016,0.0015,0.0015,1.02,1.02,1.0036,0.0015,1.06,0.0156,0.0153,1.02
N=768,fp16,0.0021,0.0021,0.0021,1.03,1.02,1.0102,0.0021,1.00,0.0158,0.0176,0.90
N=768,bf16,0.0021,0.0020,0.0020,1.03,1.02,1.0164,0.0020,1.05,0.0158,0.0177,0.90
N=768,fp32,0.0023,0.0023,0.0023,1.02,1.02,1.0081,0.0023,1.00,0.0208,0.0205,1.02
N=768,int8,0.0019,0.0018,0.0019,1.05,1.00,1.0502,0.0018,1.05,0.0167,0.0163,1.03
N=1024,fp16,0.0023,0.0024,0.0023,0.97,1.01,0.9602,0.0023,1.02,0.0175,0.0197,0.88
N=1024,bf16,0.0023,0.0023,0.0022,0.99,1.02,0.9636,0.0022,1.05,0.0176,0.0201,0.87
N=1024,fp32,0.0026,0.0026,0.0026,1.00,0.97,1.0291,0.0028,0.92,0.0242,0.0243,1.00
