params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=256,fp16,0.0015,0.0014,0.0014,1.05,1.01
N=256,bf16,0.0015,0.0014,0.0014,1.06,1.04
N=256,fp32,0.0016,0.0015,0.0015,1.04,1.02
N=256,int8,0.0014,0.0013,0.0014,1.04,1.01
N=512,fp16,0.0017,0.0016,0.0017,1.03,1.02
N=512,bf16,0.0016,0.0016,0.0016,1.03,1.03
N=512,fp32,0.0021,0.0020,0.0020,1.02,1.02
N=512,int8,0.0015,0.0015,0.0015,1.04,1.02
N=768,fp16,0.0021,0.0021,0.0021,1.01,1.01
N=768,bf16,0.0021,0.0020,0.0021,1.03,1.02
N=768,fp32,0.0024,0.0023,0.0024,1.02,1.01
N=768,int8,0.0017,0.0017,0.0017,1.05,1.02
N=1024,fp16,0.0023,0.0023,0.0023,1.01,1.00
N=1024,bf16,0.0024,0.0022,0.0021,1.07,1.14
N=1024,fp32,0.0026,0.0025,0.0029,1.02,0.91
N=1024,int8,0.0020,0.0019,0.0020,1.03,0.98
N=1280,fp16,0.0027,0.0026,0.0026,1.03,1.00
N=1280,bf16,0.0027,0.0026,0.0027,1.02,0.99
N=1280,fp32,0.0036,0.0035,0.0035,1.02,1.01
N=1280,int8,0.0022,0.0021,0.0022,1.05,0.99
N=1536,fp16,0.0030,0.0029,0.0031,1.02,0.98
N=1536,bf16,0.0029,0.0029,0.0029,1.03,1.00
N=1536,fp32,0.0042,0.0042,0.0043,1.01,0.99
N=1536,int8,0.0027,0.0026,0.0028,1.04,0.99
N=1792,fp16,0.0039,0.0038,0.0039,1.02,1.01
N=1792,bf16,0.0037,0.0036,0.0037,1.03,1.01
N=1792,fp32,0.0056,0.0056,0.0056,1.00,1.00
N=1792,int8,0.0031,0.0030,0.0030,1.04,1.01
N=2048,fp16,0.0045,0.0044,0.0044,1.03,1.01
N=2048,bf16,0.0042,0.0041,0.0042,1.03,1.01
N=2048,fp32,0.0071,0.0070,0.0070,1.01,1.00
N=2048,int8,0.0035,0.0034,0.0035,1.06,1.01
N=2304,fp16,0.0050,0.0049,0.0050,1.02,1.00
N=2304,bf16,0.0051,0.0050,0.0051,1.03,1.01
N=2304,fp32,0.0086,0.0087,0.0086,1.00,1.01
N=2304,int8,0.0041,0.0040,0.0041,1.04,1.01
N=2560,fp16,0.0058,0.0057,0.0059,1.02,1.00
N=2560,bf16,0.0058,0.0057,0.0058,1.02,1.00
N=2560,fp32,0.0104,0.0104,0.0103,1.00,1.01
N=2560,int8,0.0048,0.0047,0.0048,1.03,1.01
N=2816,fp16,0.0070,0.0069,0.0070,1.01,1.00
N=2816,bf16,0.0069,0.0068,0.0068,1.01,1.00
N=2816,fp32,0.0120,0.0120,0.0121,1.00,1.00
N=2816,int8,0.0055,0.0053,0.0054,1.03,1.02
N=3072,fp16,0.0083,0.0081,0.0082,1.02,1.01
N=3072,bf16,0.0083,0.0082,0.0082,1.02,1.01
N=3072,fp32,0.0143,0.0140,0.0139,1.02,1.02
N=3072,int8,0.0064,0.0062,0.0063,1.04,1.01
N=3328,fp16,0.0095,0.0094,0.0095,1.01,1.00
N=3328,bf16,0.0095,0.0094,0.0095,1.01,1.00
N=3328,fp32,0.0158,0.0158,0.0157,1.00,1.00
N=3328,int8,0.0074,0.0072,0.0073,1.03,1.00
N=3584,fp16,0.0106,0.0105,0.0106,1.02,1.00
N=3584,bf16,0.0106,0.0104,0.0105,1.02,1.01
N=3584,fp32,0.0180,0.0180,0.0179,1.00,1.00
N=3584,int8,0.0081,0.0079,0.0081,1.03,1.00
N=3840,fp16,0.0116,0.0116,0.0117,1.01,0.99
N=3840,bf16,0.0119,0.0118,0.0119,1.01,1.00
N=3840,fp32,0.0201,0.0201,0.0201,1.00,1.00
N=3840,int8,0.0093,0.0091,0.0093,1.02,1.00
N=4096,fp16,0.0132,0.0130,0.0131,1.01,1.00
N=4096,bf16,0.0132,0.0130,0.0131,1.01,1.00
N=4096,fp32,0.0225,0.0225,0.0225,1.00,1.00
N=4096,int8,0.0105,0.0103,0.0105,1.02,1.00
N=4352,fp16,0.0146,0.0144,0.0146,1.01,1.00
N=4352,bf16,0.0145,0.0143,0.0145,1.02,1.00
N=4352,fp32,0.0250,0.0250,0.0250,1.00,1.00
N=4352,int8,0.0116,0.0114,0.0116,1.01,1.00
N=4608,fp16,0.0160,0.0158,0.0160,1.01,1.00
N=4608,bf16,0.0161,0.0158,0.0160,1.01,1.00
N=4608,fp32,0.0277,0.0277,0.0277,1.00,1.00
N=4608,int8,0.0128,0.0126,0.0128,1.02,1.00
N=4864,fp16,0.0175,0.0173,0.0175,1.01,1.00
N=4864,bf16,0.0177,0.0174,0.0176,1.01,1.00
N=4864,fp32,0.0306,0.0305,0.0305,1.00,1.00
N=4864,int8,0.0141,0.0138,0.0140,1.02,1.01
N=5120,fp16,0.0192,0.0189,0.0192,1.01,1.00
N=5120,bf16,0.0192,0.0189,0.0192,1.01,1.00
N=5120,fp32,0.0334,0.0334,0.0334,1.00,1.00
N=5120,int8,0.0153,0.0151,0.0153,1.01,1.00
