params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1024,fp16,0.0206,0.0038,0.0040,5.47,5.09,1.0742,0.0061,3.35,0.0632,0.0470,1.34
n=1024,bf16,0.0206,0.0039,0.0043,5.29,4.75,1.1121,0.0063,3.28,0.0633,0.0465,1.36
n=1024,fp32,0.0212,0.0077,0.0072,2.76,2.97,0.9303,0.0106,1.99,0.1009,0.1112,0.91
n=1024,int8,0.0195,0.0038,0.0036,5.13,5.46,0.9396,0.0051,3.80,0.1962,0.1270,1.54
n=2048,fp16,0.0368,0.0069,0.0075,5.34,4.88,1.0933,0.0110,3.36,0.1283,0.0781,1.64
n=2048,bf16,0.0370,0.0071,0.0077,5.25,4.80,1.0929,0.0110,3.35,0.1283,0.0781,1.64
n=2048,fp32,0.0402,0.0149,0.0131,2.70,3.08,0.8778,0.0193,2.08,0.2082,0.2109,0.99
n=2048,int8,0.0347,0.0054,0.0059,6.43,5.87,1.0944,0.0083,4.16,0.3537,0.2344,1.51
n=3072,fp16,0.0558,0.0104,0.0107,5.35,5.23,1.0214,0.0158,3.54,0.1587,0.1076,1.47
n=3072,bf16,0.0558,0.0104,0.0106,5.35,5.28,1.0127,0.0157,3.55,0.1588,0.1077,1.48
n=3072,fp32,0.0607,0.0207,0.0181,2.93,3.35,0.8755,0.0274,2.22,0.2831,0.2924,0.97
n=3072,int8,0.0529,0.0084,0.0089,6.32,5.91,1.0693,0.0120,4.40,0.5308,0.3423,1.55
n=4096,fp16,0.0701,0.0132,0.0133,5.30,5.26,1.0076,0.0201,3.49,0.2207,0.1381,1.60
n=4096,bf16,0.0701,0.0133,0.0137,5.26,5.12,1.0293,0.0201,3.49,0.2207,0.1377,1.60
n=4096,fp32,0.0775,0.0266,0.0233,2.91,3.32,0.8755,0.0342,2.27,0.4047,0.3902,1.04
n=4096,int8,0.0665,0.0098,0.0108,6.82,6.14,1.1103,0.0150,4.43,0.6782,0.4521,1.50
n=5120,fp16,0.0919,0.0157,0.0159,5.86,5.78,1.0136,0.0241,3.81,0.2528,0.1674,1.51
n=5120,bf16,0.0920,0.0158,0.0159,5.83,5.79,1.0070,0.0242,3.81,0.2529,0.1671,1.51
n=5120,fp32,0.1023,0.0332,0.0283,3.08,3.61,0.8524,0.0424,2.41,0.4542,0.4789,0.95
n=5120,int8,0.0840,0.0125,0.0130,6.74,6.46,1.0423,0.0180,4.66,0.8717,0.5633,1.55
n=6144,fp16,0.1069,0.0184,0.0187,5.80,5.72,1.0147,0.0279,3.83,0.3196,0.2012,1.59
n=6144,bf16,0.1068,0.0184,0.0185,5.80,5.78,1.0022,0.0280,3.82,0.3197,0.2012,1.59
n=6144,fp32,0.1183,0.0391,0.0337,3.03,3.51,0.8625,0.0485,2.44,0.5589,0.5721,0.98
n=6144,int8,0.1020,0.0141,0.0155,7.23,6.57,1.1005,0.0208,4.90,1.0224,0.6728,1.52
n=7168,fp16,0.1231,0.0210,0.0211,5.86,5.84,1.0036,0.0317,3.88,0.3592,0.2331,1.54
n=7168,bf16,0.1231,0.0212,0.0213,5.82,5.77,1.0090,0.0318,3.87,0.3595,0.2320,1.55
n=7168,fp32,0.1339,0.0446,0.0385,3.00,3.48,0.8614,0.0547,2.45,0.6267,0.6735,0.93
n=7168,int8,0.1202,0.0155,0.0180,7.77,6.67,1.1648,0.0238,5.04,1.1731,0.7810,1.50
n=8192,fp16,0.1352,0.0238,0.0240,5.69,5.64,1.0078,0.0345,3.92,0.4118,0.2700,1.53
n=8192,bf16,0.1353,0.0237,0.0239,5.71,5.65,1.0096,0.0345,3.93,0.4115,0.2682,1.53
n=8192,fp32,0.1501,0.0495,0.0434,3.04,3.46,0.8772,0.0609,2.46,0.7206,0.7564,0.95
n=8192,int8,0.1292,0.0182,0.0194,7.10,6.66,1.0653,0.0265,4.88,1.3308,0.8895,1.50
n=9216,fp16,0.1554,0.0266,0.0267,5.84,5.82,1.0032,0.0389,3.99,0.4478,0.2925,1.53
n=9216,bf16,0.1555,0.0266,0.0266,5.86,5.84,1.0032,0.0389,4.00,0.4477,0.2913,1.54
n=9216,fp32,0.1713,0.0560,0.0485,3.06,3.53,0.8674,0.0677,2.53,0.8099,0.8738,0.93
n=9216,int8,0.1498,0.0196,0.0220,7.65,6.80,1.1241,0.0296,5.06,1.5220,0.9963,1.53
n=10240,fp16,0.1814,0.0291,0.0290,6.24,6.26,0.9968,0.0434,4.18,0.4907,0.3276,1.50
n=10240,bf16,0.1814,0.0290,0.0290,6.25,6.25,0.9997,0.0436,4.16,0.4907,0.3288,1.49
n=10240,fp32,0.1981,0.0629,0.0534,3.15,3.71,0.8489,0.0780,2.54,0.8965,0.9415,0.95
n=10240,int8,0.1727,0.0218,0.0242,7.94,7.14,1.1119,0.0325,5.32,1.7085,1.1069,1.54
n=11264,fp16,0.1867,0.0320,0.0321,5.83,5.82,1.0019,0.0455,4.10,0.5637,0.3506,1.61
n=11264,bf16,0.1867,0.0317,0.0319,5.88,5.86,1.0040,0.0455,4.10,0.5635,0.3533,1.60
n=11264,fp32,0.2098,0.0681,0.0588,3.08,3.57,0.8626,0.0821,2.55,0.9934,1.0629,0.93
n=11264,int8,0.1795,0.0236,0.0266,7.60,6.75,1.1259,0.0352,5.10,1.9404,1.2167,1.59
