params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=1024,fp16,0.0047,0.0026,0.0028,1.83,1.69,1.0774,0.0026,1.83
N=1024,bf16,0.0047,0.0027,0.0029,1.77,1.64,1.0808,0.0026,1.83
N=1024,fp32,0.0069,0.0028,0.0032,2.51,2.18,1.1496,0.0027,2.56
N=2048,fp16,0.0070,0.0029,0.0039,2.46,1.83,1.3424,0.0029,2.41
N=2048,bf16,0.0070,0.0029,0.0038,2.44,1.85,1.3178,0.0028,2.52
N=2048,fp32,0.0102,0.0036,0.0039,2.85,2.63,1.0850,0.0035,2.93
N=3072,fp16,0.0088,0.0030,0.0048,2.97,1.85,1.6081,0.0030,2.98
N=3072,bf16,0.0090,0.0031,0.0048,2.88,1.86,1.5455,0.0032,2.84
N=3072,fp32,0.0154,0.0050,0.0055,3.06,2.78,1.1025,0.0051,3.03
N=4096,fp16,0.0101,0.0035,0.0061,2.91,1.66,1.7585,0.0033,3.07
N=4096,bf16,0.0105,0.0036,0.0061,2.87,1.71,1.6749,0.0036,2.92
N=4096,fp32,0.0197,0.0076,0.0081,2.59,2.42,1.0702,0.0075,2.61
N=5120,fp16,0.0132,0.0043,0.0077,3.05,1.72,1.7744,0.0041,3.23
N=5120,bf16,0.0133,0.0048,0.0077,2.77,1.72,1.6137,0.0040,3.30
N=5120,fp32,0.0253,0.0100,0.0107,2.53,2.37,1.0677,0.0100,2.52
N=6144,fp16,0.0156,0.0056,0.0096,2.79,1.63,1.7162,0.0051,3.05
N=6144,bf16,0.0156,0.0053,0.0095,2.96,1.64,1.8043,0.0050,3.11
N=6144,fp32,0.0296,0.0121,0.0128,2.45,2.32,1.0585,0.0118,2.51
N=7168,fp16,0.0180,0.0063,0.0116,2.86,1.55,1.8480,0.0063,2.86
N=7168,bf16,0.0182,0.0064,0.0119,2.84,1.54,1.8497,0.0064,2.86
N=7168,fp32,0.0346,0.0142,0.0145,2.44,2.39,1.0228,0.0135,2.55
