params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=1024,fp16,0.0307,0.0026,0.0030,11.75,10.32
M=1024,bf16,0.0313,0.0026,0.0030,12.09,10.45
M=1024,fp32,0.0254,0.0026,0.0030,9.59,8.55
M=2048,fp16,0.0318,0.0037,0.0043,8.63,7.35
M=2048,bf16,0.0305,0.0036,0.0044,8.46,7.01
M=2048,fp32,0.0261,0.0037,0.0044,7.01,6.00
M=3072,fp16,0.0345,0.0049,0.0058,7.02,5.96
M=3072,bf16,0.0344,0.0048,0.0057,7.17,6.05
M=3072,fp32,0.0286,0.0049,0.0059,5.86,4.85
M=4096,fp16,0.0333,0.0060,0.0069,5.58,4.83
M=4096,bf16,0.0351,0.0059,0.0070,5.97,5.05
M=4096,fp32,0.0279,0.0059,0.0069,4.73,4.04
M=5120,fp16,0.0372,0.0070,0.0083,5.31,4.50
M=5120,bf16,0.0358,0.0069,0.0083,5.21,4.34
M=5120,fp32,0.0313,0.0070,0.0082,4.48,3.79
M=6144,fp16,0.0378,0.0081,0.0095,4.66,3.97
M=6144,bf16,0.0386,0.0079,0.0095,4.88,4.06
M=6144,fp32,0.0307,0.0080,0.0095,3.83,3.22
M=7168,fp16,0.0407,0.0093,0.0108,4.39,3.76
M=7168,bf16,0.0410,0.0089,0.0108,4.59,3.80
M=7168,fp32,0.0340,0.0091,0.0109,3.75,3.12
M=8192,fp16,0.0403,0.0103,0.0121,3.92,3.34
M=8192,bf16,0.0410,0.0100,0.0121,4.08,3.39
M=8192,fp32,0.0339,0.0102,0.0122,3.33,2.79
M=9216,fp16,0.0417,0.0114,0.0134,3.67,3.12
M=9216,bf16,0.0424,0.0111,0.0134,3.81,3.16
M=9216,fp32,0.0351,0.0113,0.0135,3.12,2.61
M=10240,fp16,0.0445,0.0125,0.0147,3.57,3.03
M=10240,bf16,0.0452,0.0121,0.0147,3.74,3.08
M=10240,fp32,0.0368,0.0123,0.0147,3.00,2.50
M=11264,fp16,0.0453,0.0135,0.0160,3.35,2.83
M=11264,bf16,0.0455,0.0132,0.0159,3.46,2.86
M=11264,fp32,0.0372,0.0133,0.0160,2.79,2.32
M=12288,fp16,0.0471,0.0146,0.0172,3.22,2.73
M=12288,bf16,0.0465,0.0142,0.0172,3.27,2.69
M=12288,fp32,0.0380,0.0144,0.0173,2.64,2.19
M=13312,fp16,0.0472,0.0157,0.0186,3.00,2.54
M=13312,bf16,0.0469,0.0153,0.0185,3.07,2.53
M=13312,fp32,0.0380,0.0155,0.0187,2.45,2.03
M=14336,fp16,0.0493,0.0168,0.0199,2.93,2.47
M=14336,bf16,0.0497,0.0163,0.0199,3.05,2.50
M=14336,fp32,0.0397,0.0166,0.0199,2.40,2.00
M=15360,fp16,0.0513,0.0179,0.0212,2.86,2.42
M=15360,bf16,0.0510,0.0173,0.0211,2.95,2.42
M=15360,fp32,0.0412,0.0176,0.0211,2.34,1.95
M=16384,fp16,0.0516,0.0189,0.0225,2.72,2.30
M=16384,bf16,0.0516,0.0184,0.0225,2.80,2.30
M=16384,fp32,0.0407,0.0187,0.0225,2.17,1.81
M=17408,fp16,0.0535,0.0200,0.0237,2.67,2.26
M=17408,bf16,0.0543,0.0195,0.0237,2.79,2.29
M=17408,fp32,0.0440,0.0199,0.0238,2.21,1.85
M=18432,fp16,0.0529,0.0212,0.0250,2.49,2.12
M=18432,bf16,0.0545,0.0206,0.0250,2.64,2.18
M=18432,fp32,0.0441,0.0209,0.0251,2.11,1.76
M=19456,fp16,0.0562,0.0222,0.0262,2.53,2.14
M=19456,bf16,0.0553,0.0216,0.0263,2.56,2.10
M=19456,fp32,0.0458,0.0220,0.0264,2.09,1.73
M=20480,fp16,0.0560,0.0234,0.0275,2.40,2.03
M=20480,bf16,0.0575,0.0227,0.0276,2.53,2.08
M=20480,fp32,0.0449,0.0230,0.0275,1.95,1.63
