params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=1000000,int32,0.0804,0.1806,0.2495,0.45,0.32,1.3812,0.3025,0.27
n=2000000,int32,0.1268,0.2275,0.3554,0.56,0.36,1.5617,0.4096,0.31
n=3000000,int32,0.1610,0.2880,0.4546,0.56,0.35,1.5786,0.4448,0.36
n=4000000,int32,0.2035,0.3106,0.5500,0.65,0.37,1.7706,0.5386,0.38
n=5000000,int32,0.2431,0.3551,0.6453,0.68,0.38,1.8172,0.6154,0.40
n=6000000,int32,0.2850,0.4014,0.7470,0.71,0.38,1.8611,0.7056,0.40
n=7000000,int32,0.3192,0.4412,0.8376,0.72,0.38,1.8986,0.7950,0.40
n=8000000,int32,0.3603,0.4963,0.9432,0.73,0.38,1.9005,1.1774,0.31
n=9000000,int32,0.3999,0.5333,1.0368,0.75,0.39,1.9441,0.9578,0.42
n=10000000,int32,0.4347,0.5908,1.1380,0.74,0.38,1.9261,1.0399,0.42
n=11000000,int32,0.4705,0.6342,1.2371,0.74,0.38,1.9506,1.1402,0.41
n=12000000,int32,0.5079,0.6795,1.3426,0.75,0.38,1.9757,1.2289,0.41
n=13000000,int32,0.5456,0.7317,1.4527,0.75,0.38,1.9854,1.2970,0.42
n=14000000,int32,0.5798,0.7891,1.5698,0.73,0.37,1.9893,1.3862,0.42
n=15000000,int32,0.6177,0.8499,1.6962,0.73,0.36,1.9957,1.5104,0.41
n=16000000,int32,0.6546,0.8992,1.8109,0.73,0.36,2.0139,1.6053,0.41
n=17000000,int32,0.6923,0.9623,1.9359,0.72,0.36,2.0118,1.6598,0.42
n=18000000,int32,0.7287,1.0100,2.0511,0.72,0.36,2.0307,1.7738,0.41
n=19000000,int32,0.7649,1.0651,2.1691,0.72,0.35,2.0364,1.8563,0.41
n=20000000,int32,0.8039,1.1227,2.2994,0.72,0.35,2.0481,1.9559,0.41
