params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=1024,fp16,0.0396,0.0035,0.0043,11.40,9.22,1.2358,0.0033,11.96
seq_len=1024,fp32,0.0435,0.0048,0.0066,9.04,6.61,1.3680,0.0046,9.38
seq_len=2048,fp16,0.0643,0.0051,0.0064,12.71,10.02,1.2676,0.0057,11.19
seq_len=2048,fp32,0.0758,0.0073,0.0084,10.42,9.04,1.1523,0.0075,10.05
seq_len=3072,fp16,0.0881,0.0066,0.0089,13.30,9.91,1.3425,0.0061,14.44
seq_len=3072,fp32,0.1169,0.0107,0.0160,10.93,7.31,1.4946,0.0106,11.02
seq_len=4096,fp16,0.1157,0.0081,0.0113,14.29,10.21,1.3993,0.0073,15.86
seq_len=4096,fp32,0.1562,0.0147,0.0187,10.64,8.35,1.2741,0.0150,10.41
seq_len=5120,fp16,0.1445,0.0092,0.0138,15.65,10.50,1.4908,0.0089,16.23
seq_len=5120,fp32,0.1933,0.0209,0.0248,9.24,7.80,1.1837,0.0213,9.08
seq_len=6144,fp16,0.1765,0.0111,0.0163,15.83,10.86,1.4577,0.0109,16.26
seq_len=6144,fp32,0.2313,0.0264,0.0303,8.74,7.64,1.1443,0.0280,8.26
seq_len=7168,fp16,0.2060,0.0133,0.0186,15.53,11.07,1.4028,0.0127,16.19
seq_len=7168,fp32,0.2706,0.0350,0.0373,7.72,7.25,1.0654,0.0341,7.95
seq_len=8192,fp16,0.2337,0.0150,0.0209,15.58,11.17,1.3957,0.0147,15.87
seq_len=8192,fp32,0.3096,0.0402,0.0410,7.70,7.56,1.0196,0.0395,7.84
seq_len=9216,fp16,0.2622,0.0177,0.0242,14.84,10.82,1.3725,0.0177,14.80
seq_len=9216,fp32,0.3500,0.0454,0.0465,7.71,7.52,1.0253,0.0455,7.69
seq_len=10240,fp16,0.2910,0.0209,0.0269,13.94,10.83,1.2877,0.0213,13.66
seq_len=10240,fp32,0.3889,0.0503,0.0515,7.74,7.55,1.0246,0.0511,7.61
seq_len=11264,fp16,0.3212,0.0271,0.0295,11.83,10.89,1.0861,0.0252,12.75
seq_len=11264,fp32,0.4258,0.0556,0.0573,7.66,7.43,1.0305,0.0563,7.57
seq_len=12288,fp16,0.3482,0.0283,0.0328,12.29,10.61,1.1580,0.0284,12.26
seq_len=12288,fp32,0.4634,0.0625,0.0623,7.41,7.44,0.9966,0.0619,7.49
seq_len=13312,fp16,0.3764,0.0309,0.0346,12.19,10.89,1.1194,0.0318,11.83
seq_len=13312,fp32,0.5014,0.0664,0.0674,7.55,7.43,1.0154,0.0671,7.47
seq_len=14336,fp16,0.4047,0.0353,0.0376,11.46,10.76,1.0650,0.0349,11.60
seq_len=14336,fp32,0.5389,0.0720,0.0726,7.49,7.42,1.0084,0.0723,7.46
seq_len=15360,fp16,0.4329,0.0378,0.0401,11.45,10.80,1.0606,0.0379,11.44
seq_len=15360,fp32,0.5750,0.0777,0.0776,7.40,7.41,0.9983,0.0770,7.47
seq_len=16384,fp16,0.4595,0.0405,0.0424,11.34,10.83,1.0471,0.0407,11.30
seq_len=16384,fp32,0.6133,0.0833,0.0829,7.36,7.40,0.9951,0.0838,7.32
seq_len=17408,fp16,0.4871,0.0433,0.0450,11.24,10.81,1.0393,0.0424,11.50
seq_len=17408,fp32,0.6509,0.0883,0.0880,7.37,7.39,0.9969,0.0885,7.35
seq_len=18432,fp16,0.5140,0.0453,0.0471,11.34,10.92,1.0378,0.0457,11.25
seq_len=18432,fp32,0.6869,0.0935,0.0931,7.34,7.38,0.9953,0.0940,7.31
seq_len=19456,fp16,0.5419,0.0481,0.0501,11.26,10.81,1.0417,0.0488,11.10
seq_len=19456,fp32,0.7247,0.0990,0.0980,7.32,7.40,0.9897,0.0995,7.28
seq_len=20480,fp16,0.5698,0.0509,0.0530,11.19,10.75,1.0403,0.0516,11.03
seq_len=20480,fp32,0.7629,0.1044,0.1030,7.31,7.40,0.9869,0.1046,7.29
