params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
n=2500000,fp16,0.0042,0.0032,0.0044,1.34,0.96,1.3858
n=2500000,bf16,0.0041,0.0032,0.0044,1.30,0.94,1.3902
n=2500000,fp32,0.0047,0.0055,0.0052,0.86,0.91,0.9461
n=5000000,fp16,0.0064,0.0052,0.0069,1.24,0.93,1.3336
n=5000000,bf16,0.0065,0.0052,0.0078,1.24,0.83,1.5006
n=5000000,fp32,0.0087,0.0083,0.0089,1.05,0.98,1.0707
n=7500000,fp16,0.0089,0.0064,0.0098,1.39,0.91,1.5305
n=7500000,bf16,0.0090,0.0066,0.0097,1.35,0.93,1.4642
n=7500000,fp32,0.0118,0.0123,0.0122,0.96,0.96,0.9942
n=10000000,fp16,0.0114,0.0085,0.0124,1.35,0.92,1.4641
n=10000000,bf16,0.0116,0.0084,0.0125,1.37,0.93,1.4841
n=10000000,fp32,0.0149,0.0146,0.0152,1.02,0.98,1.0436
n=12500000,fp16,0.0136,0.0110,0.0150,1.23,0.91,1.3623
n=12500000,bf16,0.0138,0.0111,0.0151,1.25,0.92,1.3620
n=12500000,fp32,0.0179,0.0176,0.0182,1.02,0.98,1.0386
n=15000000,fp16,0.0157,0.0126,0.0175,1.24,0.90,1.3844
n=15000000,bf16,0.0161,0.0117,0.0175,1.38,0.92,1.5020
n=15000000,fp32,0.0208,0.0205,0.0214,1.01,0.98,1.0399
n=17500000,fp16,0.0180,0.0131,0.0200,1.37,0.90,1.5216
n=17500000,bf16,0.0184,0.0131,0.0200,1.41,0.92,1.5310
n=17500000,fp32,0.0235,0.0233,0.0237,1.01,0.99,1.0170
n=20000000,fp16,0.0199,0.0143,0.0224,1.39,0.89,1.5602
n=20000000,bf16,0.0204,0.0144,0.0224,1.42,0.91,1.5601
n=20000000,fp32,0.0259,0.0264,0.0265,0.98,0.98,1.0051
n=22500000,fp16,0.0222,0.0165,0.0248,1.34,0.90,1.4989
n=22500000,bf16,0.0226,0.0161,0.0248,1.40,0.91,1.5422
n=22500000,fp32,0.0292,0.0292,0.0294,1.00,0.99,1.0080
n=25000000,fp16,0.0243,0.0172,0.0272,1.41,0.89,1.5820
n=25000000,bf16,0.0247,0.0176,0.0273,1.40,0.90,1.5520
n=25000000,fp32,0.0321,0.0320,0.0324,1.00,0.99,1.0116
n=27500000,fp16,0.0263,0.0187,0.0297,1.41,0.89,1.5860
n=27500000,bf16,0.0269,0.0189,0.0297,1.43,0.91,1.5747
n=27500000,fp32,0.0355,0.0347,0.0358,1.02,0.99,1.0293
n=30000000,fp16,0.0285,0.0203,0.0307,1.40,0.93,1.5096
n=30000000,bf16,0.0293,0.0204,0.0307,1.44,0.96,1.5059
n=30000000,fp32,0.0378,0.0377,0.0382,1.00,0.99,1.0113
n=32500000,fp16,0.0305,0.0218,0.0328,1.40,0.93,1.5038
n=32500000,bf16,0.0313,0.0223,0.0328,1.41,0.96,1.4723
n=32500000,fp32,0.0407,0.0406,0.0408,1.00,1.00,1.0053
n=35000000,fp16,0.0325,0.0233,0.0349,1.39,0.93,1.4977
n=35000000,bf16,0.0335,0.0233,0.0349,1.44,0.96,1.4997
n=35000000,fp32,0.0436,0.0434,0.0437,1.00,1.00,1.0076
n=37500000,fp16,0.0346,0.0251,0.0371,1.38,0.93,1.4801
n=37500000,bf16,0.0356,0.0249,0.0370,1.43,0.96,1.4857
n=37500000,fp32,0.0464,0.0463,0.0465,1.00,1.00,1.0044
n=40000000,fp16,0.0367,0.0265,0.0392,1.39,0.94,1.4822
n=40000000,bf16,0.0378,0.0263,0.0392,1.44,0.96,1.4906
n=40000000,fp32,0.0494,0.0494,0.0496,1.00,1.00,1.0041
n=42500000,fp16,0.0389,0.0279,0.0413,1.39,0.94,1.4801
n=42500000,bf16,0.0401,0.0279,0.0413,1.44,0.97,1.4786
n=42500000,fp32,0.0523,0.0521,0.0524,1.00,1.00,1.0054
n=45000000,fp16,0.0409,0.0294,0.0435,1.39,0.94,1.4821
n=45000000,bf16,0.0421,0.0290,0.0435,1.45,0.97,1.4962
n=45000000,fp32,0.0549,0.0549,0.0553,1.00,0.99,1.0073
n=47500000,fp16,0.0430,0.0308,0.0456,1.40,0.94,1.4794
n=47500000,bf16,0.0441,0.0305,0.0455,1.45,0.97,1.4944
n=47500000,fp32,0.0575,0.0576,0.0581,1.00,0.99,1.0086
n=50000000,fp16,0.0452,0.0324,0.0477,1.40,0.95,1.4732
n=50000000,bf16,0.0464,0.0320,0.0477,1.45,0.97,1.4900
n=50000000,fp32,0.0608,0.0609,0.0610,1.00,1.00,1.0010
