params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n_cols=512,fp16,0.0050,0.0038,0.0060,1.30,0.83
n_cols=512,fp32,0.0038,0.0042,0.0064,0.90,0.59
n_cols=1024,fp16,0.0085,0.0041,0.0062,2.08,1.38
n_cols=1024,fp32,0.0057,0.0044,0.0067,1.30,0.85
n_cols=1536,fp16,0.0180,0.0062,0.0098,2.90,1.85
n_cols=1536,fp32,0.0122,0.0075,0.0109,1.62,1.11
n_cols=2048,fp16,0.0216,0.0064,0.0101,3.38,2.15
n_cols=2048,fp32,0.0142,0.0083,0.0116,1.72,1.22
n_cols=2560,fp16,0.0221,0.0089,0.0139,2.50,1.59
n_cols=2560,fp32,0.0238,0.0107,0.0153,2.21,1.55
n_cols=3072,fp16,0.0234,0.0087,0.0138,2.68,1.69
n_cols=3072,fp32,0.0253,0.0114,0.0163,2.21,1.56
n_cols=3584,fp16,0.0267,0.0115,0.0180,2.33,1.49
n_cols=3584,fp32,0.0280,0.0139,0.0208,2.02,1.35
n_cols=4096,fp16,0.0284,0.0116,0.0180,2.44,1.57
n_cols=4096,fp32,0.0298,0.0149,0.0214,2.00,1.39
n_cols=4608,fp16,0.0455,0.0139,0.0216,3.28,2.10
n_cols=4608,fp32,0.0471,0.0176,0.0255,2.67,1.85
n_cols=5120,fp16,0.0469,0.0139,0.0218,3.37,2.15
n_cols=5120,fp32,0.0489,0.0187,0.0263,2.62,1.86
n_cols=5632,fp16,0.0510,0.0162,0.0253,3.14,2.02
n_cols=5632,fp32,0.0528,0.0216,0.0302,2.44,1.75
n_cols=6144,fp16,0.0523,0.0164,0.0256,3.18,2.04
n_cols=6144,fp32,0.0546,0.0230,0.0315,2.37,1.73
n_cols=6656,fp16,0.0557,0.0186,0.0295,3.00,1.89
n_cols=6656,fp32,0.0576,0.0258,0.0346,2.23,1.66
n_cols=7168,fp16,0.0570,0.0187,0.0297,3.04,1.92
n_cols=7168,fp32,0.0589,0.0275,0.0346,2.14,1.70
n_cols=7680,fp16,0.0650,0.0210,0.0338,3.09,1.93
n_cols=7680,fp32,0.0638,0.0303,0.0389,2.11,1.64
n_cols=8192,fp16,0.0662,0.0213,0.0341,3.10,1.94
n_cols=8192,fp32,0.0653,0.0321,0.0390,2.03,1.67
n_cols=8704,fp16,0.0652,0.0234,0.0382,2.79,1.71
n_cols=8704,fp32,0.0676,0.0353,0.0440,1.92,1.54
n_cols=9216,fp16,0.0666,0.0236,0.0382,2.82,1.74
n_cols=9216,fp32,0.0701,0.0374,0.0442,1.87,1.59
n_cols=9728,fp16,0.0445,0.0263,0.0429,1.69,1.04
n_cols=9728,fp32,0.0494,0.0399,0.0489,1.24,1.01
n_cols=10240,fp16,0.0449,0.0265,0.0428,1.69,1.05
n_cols=10240,fp32,0.0499,0.0416,0.0493,1.20,1.01
