params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0108,0.0055,0.0082,1.95,1.32
N=1024,bf16,0.0110,0.0055,0.0081,1.99,1.35
N=1024,fp32,0.0152,0.0105,0.0112,1.46,1.36
N=2048,fp16,0.0181,0.0109,0.0155,1.66,1.17
N=2048,bf16,0.0186,0.0108,0.0155,1.72,1.20
N=2048,fp32,0.0253,0.0181,0.0187,1.40,1.35
N=3072,fp16,0.0250,0.0150,0.0216,1.66,1.16
N=3072,bf16,0.0250,0.0147,0.0216,1.70,1.16
N=3072,fp32,0.0369,0.0257,0.0261,1.44,1.41
N=4096,fp16,0.0320,0.0185,0.0278,1.72,1.15
N=4096,bf16,0.0322,0.0183,0.0278,1.76,1.16
N=4096,fp32,0.0496,0.0329,0.0336,1.51,1.47
N=5120,fp16,0.0402,0.0216,0.0338,1.86,1.19
N=5120,bf16,0.0406,0.0220,0.0341,1.85,1.19
N=5120,fp32,0.0659,0.0400,0.0406,1.65,1.62
N=6144,fp16,0.0483,0.0264,0.0393,1.83,1.23
N=6144,bf16,0.0492,0.0257,0.0402,1.91,1.22
N=6144,fp32,0.0783,0.0472,0.0483,1.66,1.62
N=7168,fp16,0.0564,0.0296,0.0454,1.91,1.24
N=7168,bf16,0.0570,0.0296,0.0460,1.92,1.24
N=7168,fp32,0.0903,0.0544,0.0553,1.66,1.63
N=8192,fp16,0.0639,0.0332,0.0516,1.92,1.24
N=8192,bf16,0.0643,0.0337,0.0522,1.90,1.23
N=8192,fp32,0.1023,0.0616,0.0622,1.66,1.64
N=9216,fp16,0.0710,0.0364,0.0567,1.95,1.25
N=9216,bf16,0.0712,0.0375,0.0577,1.90,1.23
N=9216,fp32,0.1139,0.0687,0.0698,1.66,1.63
N=10240,fp16,0.0778,0.0400,0.0625,1.95,1.25
N=10240,bf16,0.0785,0.0409,0.0634,1.92,1.24
N=10240,fp32,0.1258,0.0759,0.0768,1.66,1.64
N=11264,fp16,0.0851,0.0435,0.0680,1.96,1.25
N=11264,bf16,0.0855,0.0448,0.0688,1.91,1.24
N=11264,fp32,0.1376,0.0830,0.0841,1.66,1.64
N=12288,fp16,0.0920,0.0473,0.0739,1.94,1.24
N=12288,bf16,0.0929,0.0483,0.0750,1.92,1.24
N=12288,fp32,0.1498,0.0901,0.0910,1.66,1.65
N=13312,fp16,0.0991,0.0510,0.0799,1.94,1.24
N=13312,bf16,0.1001,0.0518,0.0804,1.93,1.24
N=13312,fp32,0.1616,0.0971,0.0978,1.66,1.65
N=14336,fp16,0.1062,0.0540,0.0855,1.97,1.24
N=14336,bf16,0.1069,0.0555,0.0864,1.93,1.24
N=14336,fp32,0.1734,0.1042,0.1051,1.66,1.65
N=15360,fp16,0.1129,0.0574,0.0909,1.97,1.24
N=15360,bf16,0.1138,0.0589,0.0924,1.93,1.23
N=15360,fp32,0.1853,0.1116,0.1125,1.66,1.65
N=16384,fp16,0.1201,0.0609,0.0968,1.97,1.24
N=16384,bf16,0.1210,0.0628,0.0978,1.93,1.24
N=16384,fp32,0.1974,0.1187,0.1186,1.66,1.66
N=17408,fp16,0.1270,0.0644,0.1024,1.97,1.24
N=17408,bf16,0.1281,0.0665,0.1034,1.93,1.24
N=17408,fp32,0.2091,0.1258,0.1255,1.66,1.67
N=18432,fp16,0.1343,0.0683,0.1081,1.97,1.24
N=18432,bf16,0.1353,0.0702,0.1093,1.93,1.24
N=18432,fp32,0.2211,0.1328,0.1331,1.67,1.66
N=19456,fp16,0.1414,0.0717,0.1136,1.97,1.24
N=19456,bf16,0.1422,0.0735,0.1150,1.94,1.24
N=19456,fp32,0.2328,0.1401,0.1403,1.66,1.66
N=20480,fp16,0.1480,0.0750,0.1194,1.97,1.24
N=20480,bf16,0.1494,0.0770,0.1212,1.94,1.23
N=20480,fp32,0.2453,0.1472,0.1471,1.67,1.67
