params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
"N=4096, k=16",fp32,0.0223,0.0054,0.0108,4.10,2.05,1.9950,0.0104,2.14,0.0277,0.0662,0.42
"N=4096, k=64",fp32,0.0260,0.0068,0.0109,3.81,2.39,1.5932,0.0095,2.73,0.0816,0.0988,0.83
"N=4096, k=256",fp32,0.0372,0.0093,0.0111,4.01,3.36,1.1963,0.0100,3.71,0.2971,0.1385,2.14
"N=4096, k=1024",fp32,0.0374,0.0260,0.0185,1.44,2.02,0.7102,0.0175,2.13,1.1596,0.1858,6.24
"N=16384, k=16",fp32,0.0522,0.0057,0.0111,9.15,4.70,1.9464,0.0096,5.44,0.0685,0.1188,0.58
"N=16384, k=64",fp32,0.0666,0.0070,0.0111,9.52,5.99,1.5888,0.0101,6.61,0.2760,0.1832,1.51
"N=16384, k=256",fp32,0.0923,0.0138,0.0168,6.71,5.50,1.2198,0.0189,4.89,1.1061,0.2604,4.25
"N=16384, k=1024",fp32,0.0784,0.0523,0.0369,1.50,2.12,0.7063,0.0327,2.40,4.4258,0.5045,8.77
"N=65536, k=16",fp32,0.0542,0.0058,0.0112,9.43,4.84,1.9465,0.0109,4.99,0.2246,0.1217,1.85
"N=65536, k=64",fp32,0.0566,0.0104,0.0166,5.45,3.40,1.6014,0.0165,3.44,1.0604,0.1850,5.73
"N=65536, k=256",fp32,0.0660,0.0187,0.0222,3.53,2.98,1.1874,0.0207,3.19,4.4512,0.3829,11.63
"N=65536, k=1024",fp32,0.0664,0.0789,0.0549,0.84,1.21,0.6954,0.0519,1.28,18.7826,0.8264,22.73
"N=262144, k=16",fp32,0.0818,0.0096,0.0171,8.52,4.78,1.7808,0.0190,4.31,0.8455,0.1233,6.86
"N=262144, k=64",fp32,0.0833,0.0125,0.0173,6.69,4.82,1.3867,0.0186,4.48,4.1870,0.2718,15.40
"N=262144, k=256",fp32,0.0923,0.0261,0.0291,3.53,3.17,1.1128,0.0287,3.22,17.7120,0.3889,45.54
"N=262144, k=1024",fp32,0.0931,0.1055,0.0748,0.88,1.25,0.7084,0.0688,1.35,74.8529,1.1511,65.03
"N=1048576, k=16",fp32,0.1562,0.0160,0.0281,9.76,5.56,1.7562,0.0336,4.64,3.4437,0.2182,15.78
"N=1048576, k=64",fp32,0.1557,0.0230,0.0331,6.76,4.71,1.4358,0.0384,4.06,16.7460,0.3464,48.35
"N=1048576, k=256",fp32,0.1725,0.0433,0.0451,3.98,3.82,1.0416,0.0519,3.32,70.8646,0.6194,114.41
"N=1048576, k=1024",fp32,0.1727,0.1718,0.1102,1.01,1.57,0.6415,0.1116,1.55,300.5656,1.6211,185.41
