params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0024,0.0025,0.0026,0.98,0.95
n=1048576,bf16,0.0025,0.0024,0.0025,1.03,1.00
n=1048576,fp32,0.0030,0.0030,0.0031,1.01,0.97
n=1048576,int8,0.0022,0.0021,0.0022,1.06,0.97
n=2097152,fp16,0.0032,0.0031,0.0031,1.04,1.02
n=2097152,bf16,0.0031,0.0030,0.0032,1.02,0.97
n=2097152,fp32,0.0050,0.0050,0.0050,1.00,1.00
n=2097152,int8,0.0027,0.0027,0.0031,1.01,0.87
n=3145728,fp16,0.0047,0.0045,0.0046,1.03,1.02
n=3145728,bf16,0.0046,0.0043,0.0044,1.05,1.02
n=3145728,fp32,0.0079,0.0079,0.0079,1.01,1.00
n=3145728,int8,0.0033,0.0032,0.0037,1.03,0.90
n=4194304,fp16,0.0056,0.0055,0.0056,1.03,1.00
n=4194304,bf16,0.0059,0.0057,0.0058,1.03,1.02
n=4194304,fp32,0.0102,0.0102,0.0102,1.00,1.00
n=4194304,int8,0.0038,0.0037,0.0044,1.02,0.87
n=5242880,fp16,0.0070,0.0067,0.0068,1.05,1.03
n=5242880,bf16,0.0069,0.0067,0.0068,1.03,1.02
n=5242880,fp32,0.0123,0.0123,0.0124,1.00,0.99
n=5242880,int8,0.0044,0.0043,0.0050,1.02,0.88
n=6291456,fp16,0.0087,0.0082,0.0083,1.05,1.04
n=6291456,bf16,0.0085,0.0082,0.0083,1.04,1.02
n=6291456,fp32,0.0143,0.0143,0.0146,1.00,0.98
n=6291456,int8,0.0052,0.0052,0.0059,1.01,0.88
n=7340032,fp16,0.0097,0.0096,0.0096,1.01,1.02
n=7340032,bf16,0.0100,0.0096,0.0097,1.04,1.03
n=7340032,fp32,0.0161,0.0162,0.0162,1.00,1.00
n=7340032,int8,0.0057,0.0057,0.0064,1.01,0.89
n=8388608,fp16,0.0111,0.0108,0.0110,1.02,1.01
n=8388608,bf16,0.0109,0.0107,0.0107,1.02,1.02
n=8388608,fp32,0.0179,0.0179,0.0180,1.00,0.99
n=8388608,int8,0.0065,0.0063,0.0072,1.02,0.90
n=9437184,fp16,0.0120,0.0117,0.0117,1.02,1.02
n=9437184,bf16,0.0121,0.0121,0.0120,1.00,1.01
n=9437184,fp32,0.0199,0.0198,0.0198,1.00,1.00
n=9437184,int8,0.0070,0.0069,0.0078,1.02,0.90
n=10485760,fp16,0.0130,0.0127,0.0126,1.02,1.03
n=10485760,bf16,0.0136,0.0132,0.0134,1.03,1.02
n=10485760,fp32,0.0219,0.0219,0.0219,1.00,1.00
n=10485760,int8,0.0079,0.0077,0.0087,1.02,0.90
n=11534336,fp16,0.0140,0.0137,0.0137,1.02,1.02
n=11534336,bf16,0.0139,0.0140,0.0141,0.99,0.98
n=11534336,fp32,0.0236,0.0236,0.0236,1.00,1.00
n=11534336,int8,0.0087,0.0085,0.0095,1.02,0.91
n=12582912,fp16,0.0147,0.0142,0.0143,1.04,1.03
n=12582912,bf16,0.0151,0.0147,0.0148,1.03,1.02
n=12582912,fp32,0.0257,0.0257,0.0257,1.00,1.00
n=12582912,int8,0.0094,0.0092,0.0103,1.02,0.91
n=13631488,fp16,0.0160,0.0153,0.0154,1.05,1.04
n=13631488,bf16,0.0160,0.0156,0.0157,1.03,1.02
n=13631488,fp32,0.0271,0.0271,0.0271,1.00,1.00
n=13631488,int8,0.0102,0.0100,0.0110,1.02,0.93
n=14680064,fp16,0.0171,0.0163,0.0164,1.05,1.04
n=14680064,bf16,0.0172,0.0165,0.0166,1.04,1.04
n=14680064,fp32,0.0294,0.0294,0.0295,1.00,1.00
n=14680064,int8,0.0109,0.0107,0.0117,1.02,0.93
n=15728640,fp16,0.0180,0.0174,0.0175,1.04,1.03
n=15728640,bf16,0.0179,0.0172,0.0173,1.04,1.03
n=15728640,fp32,0.0309,0.0308,0.0308,1.00,1.00
n=15728640,int8,0.0116,0.0114,0.0126,1.01,0.92
n=16777216,fp16,0.0190,0.0181,0.0182,1.05,1.04
n=16777216,bf16,0.0192,0.0182,0.0182,1.06,1.06
n=16777216,fp32,0.0328,0.0327,0.0327,1.00,1.00
n=16777216,int8,0.0122,0.0120,0.0133,1.01,0.92
n=17825792,fp16,0.0203,0.0192,0.0193,1.06,1.05
n=17825792,bf16,0.0200,0.0194,0.0196,1.03,1.02
n=17825792,fp32,0.0345,0.0344,0.0345,1.00,1.00
n=17825792,int8,0.0129,0.0127,0.0139,1.02,0.93
n=18874368,fp16,0.0212,0.0199,0.0200,1.06,1.06
n=18874368,bf16,0.0210,0.0201,0.0202,1.04,1.04
n=18874368,fp32,0.0364,0.0364,0.0364,1.00,1.00
n=18874368,int8,0.0134,0.0132,0.0146,1.02,0.92
n=19922944,fp16,0.0221,0.0207,0.0207,1.07,1.07
n=19922944,bf16,0.0219,0.0206,0.0206,1.07,1.06
n=19922944,fp32,0.0382,0.0381,0.0381,1.00,1.00
n=19922944,int8,0.0142,0.0139,0.0153,1.02,0.93
n=20971520,fp16,0.0229,0.0217,0.0216,1.06,1.06
n=20971520,bf16,0.0230,0.0219,0.0220,1.05,1.05
n=20971520,fp32,0.0399,0.0398,0.0399,1.00,1.00
n=20971520,int8,0.0146,0.0145,0.0161,1.01,0.91
