backend,best_speedup,best_stop_score,category,freeze_iter,model,op,token_cost,token_efficiency
triton,59.748154774468716,0.14585232224322744,Stencil/Conv,,claude-opus-4-7,1d_conv,854813,69.89617000966143
cutile,62.67801164300412,0.14566597666133696,Stencil/Conv,,claude-opus-4-7,1d_conv,854813,73.32365282582754
triton,84.5522270856316,0.19298252460978713,Stencil/Conv,,gpt-5.5,1d_conv,650687,129.94300959698225
cutile,92.9925470937579,0.21224006465876005,Stencil/Conv,,gpt-5.5,1d_conv,650687,142.91440753197452
triton,6.65863660256294,0.06231495865215041,Stencil/Conv,,claude-opus-4-7,2d_conv,869450,7.6584468371533045
cutile,19.62471050918366,0.14311932036899008,Stencil/Conv,,claude-opus-4-7,2d_conv,869450,22.571407797094327
triton,5.446700368302897,0.0398503960760561,Stencil/Conv,,gpt-5.5,2d_conv,663486,8.209216725451475
cutile,5.813320549812651,0.04282970865923384,Stencil/Conv,,gpt-5.5,2d_conv,663486,8.761783292808968
triton,5.803715116334906,0.36861695545721074,Stencil/Conv,,claude-opus-4-7,2d_max_pooling,745642,7.783514228456693
cutile,1.8276881277941066,0.16227838427482563,Stencil/Conv,,claude-opus-4-7,2d_max_pooling,745642,2.4511603796380923
triton,9.439883539781599,0.6659268071770487,Stencil/Conv,,gpt-5.5,2d_max_pooling,685371,13.773392133284892
cutile,4.60730462205864,0.3426884288200451,Stencil/Conv,,gpt-5.5,2d_max_pooling,685371,6.722351284280544
triton,19.056086190358254,0.10828443776359242,Stencil/Conv,,claude-opus-4-7,3d_conv,699718,27.23395166389639
cutile,19.02963548529627,0.13923835707451898,Stencil/Conv,,claude-opus-4-7,3d_conv,699718,27.19614971359358
triton,57.494380432810004,0.3369637305695683,Stencil/Conv,,gpt-5.5,3d_conv,703441,81.73305285419816
cutile,19.273140167449338,0.11396140785975967,Stencil/Conv,,gpt-5.5,3d_conv,703441,27.398374799662427
triton,1.6781145789154175,0.5305872904066713,Reduction/Norm,,claude-opus-4-7,argmax,647337,2.592335335251063
cutile,1.6682572315570279,0.5731167665022989,Reduction/Norm,,claude-opus-4-7,argmax,647337,2.5771077994259985
triton,1.974125700330131,0.6940846354694868,Reduction/Norm,,gpt-5.5,argmax,674387,2.9272890793122213
cutile,1.8419580675233516,0.7401551014941451,Reduction/Norm,,gpt-5.5,argmax,674387,2.7313071982753994
triton,15.48128175330252,0.7045992227831132,Reduction/Norm,,claude-opus-4-7,batch_normalization,723688,21.39220458720128
cutile,11.359387715799741,0.5703465633813959,Reduction/Norm,,claude-opus-4-7,batch_normalization,723688,15.69652628729472
triton,9.595271611505378,0.54823212538607,Reduction/Norm,,gpt-5.5,batch_normalization,657846,14.585893372469206
cutile,9.711900288237658,0.5401156861595537,Reduction/Norm,,gpt-5.5,batch_normalization,657846,14.76318209465081
triton,11.253150240270767,0.3440297481992868,Matrix Mult./Attn,,claude-opus-4-7,batched_matmul,769677,14.620613894231953
cutile,0.0,0.43522370156810797,Matrix Mult./Attn,,claude-opus-4-7,batched_matmul,769677,0.0
triton,9.998448396989966,0.3034170887599418,Matrix Mult./Attn,,gpt-5.5,batched_matmul,618975,16.15323461689077
cutile,0.0,0.4158987069416713,Matrix Mult./Attn,,gpt-5.5,batched_matmul,618975,0.0
triton,132.50233365181592,0.004446390002858237,Data Layout,,claude-opus-4-7,bitonic_sort,794522,166.76987377544728
