backend,category,frozen_at_this_iter,iter,model,op,skipped,speedup_vs_torch,stop_score,tok_cached_input,tok_fresh_input,tok_output,tok_reasoning,tokens_this_iter,verify_clean
triton,Stencil/Conv,False,0,claude-opus-4-7,1d_conv,False,4.656299398896914,0.01593102748357319,0,53533,11328,0,64861,True
cutile,Stencil/Conv,False,0,claude-opus-4-7,1d_conv,False,,0.0,0,53533,11328,0,64861,False
triton,Stencil/Conv,False,1,claude-opus-4-7,1d_conv,False,4.720304430719654,0.016190489034037456,0,56394,25778,0,82172,True
cutile,Stencil/Conv,False,1,claude-opus-4-7,1d_conv,False,3.183020623008758,0.015108547266462234,0,56394,25778,0,82172,True
triton,Stencil/Conv,False,2,claude-opus-4-7,1d_conv,False,,0.09010218485003134,0,56127,56489,0,112616,False
cutile,Stencil/Conv,False,2,claude-opus-4-7,1d_conv,False,26.232325481097284,0.03050634784089207,0,56127,56489,0,112616,True
triton,Stencil/Conv,False,3,claude-opus-4-7,1d_conv,False,39.43068850878738,0.055699038288186925,0,58020,27967,0,85987,True
cutile,Stencil/Conv,False,3,claude-opus-4-7,1d_conv,False,,0.06000335760209708,0,58020,27967,0,85987,False
triton,Stencil/Conv,False,4,claude-opus-4-7,1d_conv,False,59.748154774468716,0.07910862995338548,0,59387,19580,0,78967,True
cutile,Stencil/Conv,False,4,claude-opus-4-7,1d_conv,False,44.802002517699705,0.051645771324129265,0,59387,19580,0,78967,True
triton,Stencil/Conv,False,5,claude-opus-4-7,1d_conv,False,,0.08208445309145034,0,57945,34133,0,92078,False
cutile,Stencil/Conv,False,5,claude-opus-4-7,1d_conv,False,,0.14305187142546724,0,57945,34133,0,92078,False
triton,Stencil/Conv,False,6,claude-opus-4-7,1d_conv,False,35.92022444637892,0.05187827507615284,0,61181,18785,0,79966,True
cutile,Stencil/Conv,False,6,claude-opus-4-7,1d_conv,False,62.30055824148692,0.09823887377135922,0,61181,18785,0,79966,True
triton,Stencil/Conv,False,7,claude-opus-4-7,1d_conv,False,29.45957673994323,0.04155868550634856,0,61003,26926,0,87929,True
cutile,Stencil/Conv,False,7,claude-opus-4-7,1d_conv,False,51.8455402992713,0.08635412333445916,0,61003,26926,0,87929,True
triton,Stencil/Conv,False,8,claude-opus-4-7,1d_conv,False,38.544306323361816,0.05485891019959437,0,63080,20453,0,83533,True
cutile,Stencil/Conv,False,8,claude-opus-4-7,1d_conv,False,62.67801164300412,0.09872436093981463,0,63080,20453,0,83533,True
triton,Stencil/Conv,False,9,claude-opus-4-7,1d_conv,False,,0.14585232224322744,0,61230,25474,0,86704,False
cutile,Stencil/Conv,False,9,claude-opus-4-7,1d_conv,False,,0.14566597666133696,0,61230,25474,0,86704,False
triton,Stencil/Conv,False,0,gpt-5.5,1d_conv,False,,0.09630773782380225,0,33292,12248,10876,56416,False
cutile,Stencil/Conv,False,0,gpt-5.5,1d_conv,False,,0.0,0,33292,12248,10876,56416,False
triton,Stencil/Conv,False,1,gpt-5.5,1d_conv,False,61.20133070802576,0.07570620626843277,0,35666,21889,20128,77683,True
cutile,Stencil/Conv,False,1,gpt-5.5,1d_conv,False,70.74744777095184,0.09451529532206582,0,35666,21889,20128,77683,True
triton,Stencil/Conv,False,2,gpt-5.5,1d_conv,False,,0.16268057474841865,0,35964,17019,14946,67929,False
cutile,Stencil/Conv,False,2,gpt-5.5,1d_conv,False,,0.0,0,35964,17019,14946,67929,False
triton,Stencil/Conv,False,3,gpt-5.5,1d_conv,False,70.93605272343818,0.08684830088275748,0,38555,14627,11845,65027,True
cutile,Stencil/Conv,False,3,gpt-5.5,1d_conv,False,39.23150065679879,0.05846485468494547,0,38555,14627,11845,65027,True
triton,Stencil/Conv,False,4,gpt-5.5,1d_conv,False,,0.19298252460978713,0,38440,12310,10196,60946,False
cutile,Stencil/Conv,False,4,gpt-5.5,1d_conv,False,,0.17196669268526962,0,38440,12310,10196,60946,False
triton,Stencil/Conv,False,5,gpt-5.5,1d_conv,False,84.40004831634893,0.10224510910682388,0,39429,7245,4461,51135,True
cutile,Stencil/Conv,False,5,gpt-5.5,1d_conv,False,75.17267771013805,0.09960213140640811,0,39429,7245,4461,51135,True
triton,Stencil/Conv,False,6,gpt-5.5,1d_conv,False,70.76691802996497,0.09111893126949461,0,37916,20243,17282,75441,True
cutile,Stencil/Conv,False,6,gpt-5.5,1d_conv,False,,0.21224006465876005,0,37916,20243,17282,75441,False
triton,Stencil/Conv,False,7,gpt-5.5,1d_conv,False,84.5522270856316,0.11113735856072463,0,41319,13808,10912,66039,True
cutile,Stencil/Conv,False,7,gpt-5.5,1d_conv,False,92.9925470937579,0.11991271432491465,0,41319,13808,10912,66039,True
