params,dtype,torch_ms,triton_ms,cutile_ms,tilelang_ms,nki_ms,speedup_triton,speedup_cutile,speedup_tilelang,speedup_nki
input_size=1000000,fp16,0.2787,0.0484,0.0389,nan,nan,5.75,7.17,0.00,0.00
input_size=1000000,fp32,0.2699,0.0490,0.0289,nan,nan,5.51,9.32,0.00,0.00
input_size=2000000,fp16,0.5455,0.0942,0.0715,nan,nan,5.79,7.63,0.00,0.00
input_size=2000000,fp32,0.5331,0.0953,0.0530,nan,nan,5.59,10.06,0.00,0.00
input_size=3000000,fp16,0.8129,0.1338,0.0997,nan,nan,6.07,8.16,0.00,0.00
input_size=3000000,fp32,0.7965,0.1346,0.0735,nan,nan,5.92,10.84,0.00,0.00
input_size=4000000,fp16,1.0792,0.1798,0.1322,nan,nan,6.00,8.17,0.00,0.00
input_size=4000000,fp32,1.0597,0.1808,0.0977,nan,nan,5.86,10.85,0.00,0.00
input_size=5000000,fp16,1.3451,0.2202,0.1610,nan,nan,6.11,8.35,0.00,0.00
input_size=5000000,fp32,1.3232,0.2206,0.1198,nan,nan,6.00,11.05,0.00,0.00
input_size=6000000,fp16,1.6123,0.2649,0.1929,nan,nan,6.09,8.36,0.00,0.00
input_size=6000000,fp32,1.5866,0.2661,0.1419,nan,nan,5.96,11.18,0.00,0.00
input_size=7000000,fp16,1.8787,0.3096,0.2252,nan,nan,6.07,8.34,0.00,0.00
input_size=7000000,fp32,1.8499,0.3113,0.1651,nan,nan,5.94,11.20,0.00,0.00
input_size=8000000,fp16,2.1449,0.3503,0.2543,nan,nan,6.12,8.43,0.00,0.00
input_size=8000000,fp32,2.1128,0.3514,0.1861,nan,nan,6.01,11.36,0.00,0.00
input_size=9000000,fp16,2.4112,0.3949,0.2867,nan,nan,6.11,8.41,0.00,0.00
input_size=9000000,fp32,2.3764,0.3964,0.2093,nan,nan,6.00,11.36,0.00,0.00
input_size=10000000,fp16,2.6783,0.4356,0.3159,nan,nan,6.15,8.48,0.00,0.00
input_size=10000000,fp32,2.6397,0.4370,0.2316,nan,nan,6.04,11.40,0.00,0.00
input_size=11000000,fp16,2.9447,0.4803,0.3476,nan,nan,6.13,8.47,0.00,0.00
input_size=11000000,fp32,2.9032,0.4816,0.2535,nan,nan,6.03,11.45,0.00,0.00
input_size=12000000,fp16,3.2111,0.5252,0.3796,nan,nan,6.11,8.46,0.00,0.00
input_size=12000000,fp32,3.1664,0.5268,0.2764,nan,nan,6.01,11.46,0.00,0.00
input_size=13000000,fp16,3.4781,0.5662,0.4084,nan,nan,6.14,8.52,0.00,0.00
input_size=13000000,fp32,3.4299,0.5668,0.2978,nan,nan,6.05,11.52,0.00,0.00
input_size=14000000,fp16,3.7456,0.6102,0.4404,nan,nan,6.14,8.51,0.00,0.00
input_size=14000000,fp32,3.6935,0.6118,0.3206,nan,nan,6.04,11.52,0.00,0.00
input_size=15000000,fp16,4.0129,0.6517,0.4701,nan,nan,6.16,8.54,0.00,0.00
input_size=15000000,fp32,3.9568,0.6534,0.3430,nan,nan,6.06,11.54,0.00,0.00
input_size=16000000,fp16,4.2787,0.6952,0.5014,nan,nan,6.15,8.53,0.00,0.00
input_size=16000000,fp32,4.2200,0.6973,0.3650,nan,nan,6.05,11.56,0.00,0.00
input_size=17000000,fp16,4.5457,0.7402,0.5334,nan,nan,6.14,8.52,0.00,0.00
input_size=17000000,fp32,4.4832,0.7423,0.3877,nan,nan,6.04,11.56,0.00,0.00
input_size=18000000,fp16,4.8134,0.7809,0.5626,nan,nan,6.16,8.56,0.00,0.00
input_size=18000000,fp32,4.7471,0.7825,0.4093,nan,nan,6.07,11.60,0.00,0.00
input_size=19000000,fp16,5.0805,0.8255,0.5942,nan,nan,6.15,8.55,0.00,0.00
input_size=19000000,fp32,5.0100,0.8275,0.4319,nan,nan,6.05,11.60,0.00,0.00
input_size=20000000,fp16,5.3472,0.8677,0.6245,nan,nan,6.16,8.56,0.00,0.00
input_size=20000000,fp32,5.2735,0.8698,0.4543,nan,nan,6.06,11.61,0.00,0.00
