params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
input_size=512,fp16,0.0109,0.0029,0.0033,3.74,3.26,1.1469
input_size=512,fp32,0.0040,0.0027,0.0028,1.47,1.43,1.0320
input_size=1024,fp16,0.0698,0.0058,0.0059,11.94,11.84,1.0085
input_size=1024,fp32,0.0612,0.0056,0.0054,10.86,11.32,0.9597
input_size=1536,fp16,0.1479,0.0104,0.0108,14.27,13.73,1.0396
input_size=1536,fp32,0.1346,0.0102,0.0101,13.21,13.36,0.9886
input_size=2048,fp16,0.2563,0.0169,0.0175,15.20,14.61,1.0405
input_size=2048,fp32,0.2376,0.0165,0.0160,14.40,14.89,0.9670
input_size=2560,fp16,0.3963,0.0251,0.0268,15.76,14.78,1.0665
input_size=2560,fp32,0.3700,0.0250,0.0233,14.79,15.90,0.9305
input_size=3072,fp16,0.5682,0.0350,0.0360,16.24,15.80,1.0282
input_size=3072,fp32,0.5316,0.0339,0.0313,15.68,16.98,0.9239
input_size=3584,fp16,0.7701,0.0464,0.0478,16.61,16.10,1.0315
input_size=3584,fp32,0.7266,0.0448,0.0421,16.20,17.28,0.9376
input_size=4096,fp16,1.0049,0.0595,0.0627,16.89,16.01,1.0549
input_size=4096,fp32,0.9429,0.0571,0.0525,16.50,17.96,0.9190
input_size=4608,fp16,1.2733,0.0744,0.0765,17.11,16.64,1.0286
input_size=4608,fp32,1.1928,0.0713,0.0655,16.72,18.21,0.9181
input_size=5120,fp16,1.5680,0.0912,0.0936,17.19,16.75,1.0267
input_size=5120,fp32,1.4721,0.0874,0.0799,16.85,18.43,0.9146
input_size=5632,fp16,1.8955,0.1095,0.1127,17.30,16.82,1.0285
input_size=5632,fp32,1.7811,0.1045,0.0959,17.05,18.57,0.9180
input_size=6144,fp16,2.2552,0.1297,0.1333,17.39,16.92,1.0275
input_size=6144,fp32,2.1193,0.1236,0.1134,17.15,18.68,0.9179
input_size=6656,fp16,2.6460,0.1520,0.1559,17.40,16.98,1.0252
input_size=6656,fp32,2.4875,0.1444,0.1325,17.23,18.78,0.9175
input_size=7168,fp16,3.0675,0.1757,0.1806,17.46,16.98,1.0279
input_size=7168,fp32,2.8959,0.1668,0.1531,17.36,18.92,0.9178
input_size=7680,fp16,3.5213,0.2011,0.2063,17.51,17.07,1.0257
input_size=7680,fp32,3.3129,0.1906,0.1753,17.38,18.90,0.9198
input_size=8192,fp16,4.0058,0.2283,0.2365,17.55,16.94,1.0359
input_size=8192,fp32,3.7692,0.2165,0.1991,17.41,18.93,0.9197
input_size=8704,fp16,4.5212,0.2573,0.2660,17.57,17.00,1.0338
input_size=8704,fp32,4.2550,0.2436,0.2241,17.47,18.98,0.9201
input_size=9216,fp16,5.0687,0.2881,0.2955,17.59,17.15,1.0259
input_size=9216,fp32,4.7699,0.2727,0.2505,17.49,19.04,0.9189
input_size=9728,fp16,5.6465,0.3205,0.3292,17.62,17.15,1.0272
input_size=9728,fp32,5.3158,0.3035,0.2790,17.51,19.05,0.9191
input_size=10240,fp16,6.2562,0.3549,0.3641,17.63,17.18,1.0259
input_size=10240,fp32,5.8887,0.3355,0.3085,17.55,19.09,0.9195
