params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
H=16,fp16,0.0124,0.1117,0.1149,0.11,0.11,1.0292,0.2818,0.04
H=16,fp32,0.0141,0.1029,0.1449,0.14,0.10,1.4086,0.5725,0.02
H=32,fp16,0.0133,0.1133,0.1160,0.12,0.11,1.0237,0.2761,0.05
H=32,fp32,0.0144,0.1029,0.1520,0.14,0.09,1.4771,0.5738,0.03
H=48,fp16,0.0141,0.1127,0.1153,0.13,0.12,1.0229,0.3465,0.04
H=48,fp32,0.0163,0.1031,0.1481,0.16,0.11,1.4366,0.7049,0.02
H=64,fp16,0.0148,0.1110,0.1160,0.13,0.13,1.0451,0.2907,0.05
H=64,fp32,0.0170,0.1031,0.1569,0.17,0.11,1.5219,0.5793,0.03
H=80,fp16,0.0159,0.1310,0.2294,0.12,0.07,1.7517,0.6060,0.03
H=80,fp32,0.0189,0.1304,0.2897,0.15,0.07,2.2212,0.8905,0.02
H=96,fp16,0.0187,0.1319,0.2294,0.14,0.08,1.7393,0.7323,0.03
H=96,fp32,0.0207,0.1309,0.2886,0.16,0.07,2.2041,0.5126,0.04
H=112,fp16,0.0210,0.1676,0.3423,0.13,0.06,2.0428,0.9779,0.02
H=112,fp32,0.0248,0.1734,0.4451,0.14,0.06,2.5671,1.5518,0.02
H=128,fp16,0.0226,0.2081,0.4606,0.11,0.05,2.2134,1.2044,0.02
H=128,fp32,0.0286,0.2497,0.5786,0.11,0.05,2.3167,1.5060,0.02
H=144,fp16,0.0268,0.2800,0.5722,0.10,0.05,2.0434,1.6483,0.02
H=144,fp32,0.0341,0.2864,0.7123,0.12,0.05,2.4870,2.3959,0.01
H=160,fp16,0.0290,0.3106,0.6880,0.09,0.04,2.2148,1.9918,0.01
H=160,fp32,0.0360,0.3352,0.8497,0.11,0.04,2.5350,2.4042,0.01
H=176,fp16,0.0314,0.3549,0.8132,0.09,0.04,2.2912,2.3219,0.01
H=176,fp32,0.0420,0.3995,1.0332,0.11,0.04,2.5865,3.1681,0.01
H=192,fp16,0.0333,0.4006,0.9269,0.08,0.04,2.3135,2.6294,0.01
H=192,fp32,0.0456,0.4430,1.1550,0.10,0.04,2.6071,3.3445,0.01
H=208,fp16,0.0392,0.4925,1.1483,0.08,0.03,2.3317,3.1123,0.01
H=208,fp32,0.0515,0.5506,1.4120,0.09,0.04,2.5647,3.9899,0.01
H=224,fp16,0.0494,0.5397,1.2862,0.09,0.04,2.3831,3.9600,0.01
H=224,fp32,0.0549,0.5984,1.5984,0.09,0.03,2.6712,4.4517,0.01
H=240,fp16,0.0545,0.6353,1.5102,0.09,0.04,2.3773,4.6516,0.01
H=240,fp32,0.0626,0.7041,1.8659,0.09,0.03,2.6502,5.2949,0.01
H=256,fp16,0.0576,0.6794,1.6507,0.08,0.03,2.4298,4.8726,0.01
H=256,fp32,0.0667,0.7551,2.0147,0.09,0.03,2.6680,5.0946,0.01
H=272,fp16,0.0827,0.7709,1.8793,0.11,0.04,2.4378,7.6227,0.01
H=272,fp32,0.0723,0.8592,2.2775,0.08,0.03,2.6506,6.2726,0.01
H=288,fp16,0.0866,0.8620,2.1134,0.10,0.04,2.4519,8.0687,0.01
H=288,fp32,0.0849,0.9616,2.5675,0.09,0.03,2.6701,4.7758,0.02
H=304,fp16,0.0929,0.9547,2.3543,0.10,0.04,2.4659,8.8783,0.01
H=304,fp32,0.0948,1.0642,2.8778,0.09,0.03,2.7041,5.8377,0.02
H=320,fp16,0.0985,1.0467,2.5937,0.09,0.04,2.4779,9.4050,0.01
H=320,fp32,0.1036,1.1686,3.2067,0.09,0.03,2.7440,6.4873,0.02
