params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
input_rows=32,fp16,0.0184,0.0049,0.0054,3.76,3.39
input_rows=32,fp32,0.0116,0.0034,0.0054,3.42,2.12
input_rows=64,fp16,0.0472,0.0067,0.0059,7.01,7.99
input_rows=64,fp32,0.0400,0.0052,0.0060,7.66,6.65
input_rows=96,fp16,0.0937,0.0096,0.0085,9.74,11.07
input_rows=96,fp32,0.0855,0.0082,0.0076,10.48,11.25
input_rows=128,fp16,0.1600,0.0147,0.0137,10.90,11.64
input_rows=128,fp32,0.1509,0.0127,0.0128,11.84,11.81
input_rows=160,fp16,0.2464,0.0206,0.0187,11.94,13.16
input_rows=160,fp32,0.2356,0.0179,0.0168,13.13,14.03
input_rows=192,fp16,0.3528,0.0275,0.0256,12.82,13.78
input_rows=192,fp32,0.3391,0.0246,0.0226,13.80,15.00
input_rows=224,fp16,0.4772,0.0366,0.0341,13.04,13.99
input_rows=224,fp32,0.4612,0.0323,0.0294,14.29,15.67
input_rows=256,fp16,0.6222,0.0459,0.0423,13.56,14.73
input_rows=256,fp32,0.6027,0.0403,0.0367,14.95,16.40
input_rows=288,fp16,0.7861,0.0568,0.0529,13.84,14.85
input_rows=288,fp32,0.7629,0.0500,0.0455,15.25,16.76
input_rows=320,fp16,0.9689,0.0689,0.0655,14.06,14.80
input_rows=320,fp32,0.9423,0.0603,0.0549,15.64,17.18
input_rows=352,fp16,1.1711,0.0820,0.0784,14.28,14.93
input_rows=352,fp32,1.1404,0.0716,0.0648,15.93,17.59
input_rows=384,fp16,1.3931,0.0966,0.0915,14.42,15.23
input_rows=384,fp32,1.3578,0.0837,0.0756,16.22,17.96
input_rows=416,fp16,1.6354,0.1125,0.1069,14.53,15.30
input_rows=416,fp32,1.5937,0.0975,0.0885,16.35,18.00
input_rows=448,fp16,1.8988,0.1297,0.1235,14.64,15.37
input_rows=448,fp32,1.8491,0.1116,0.1016,16.56,18.20
input_rows=480,fp16,2.1766,0.1487,0.1406,14.64,15.48
input_rows=480,fp32,2.1256,0.1273,0.1156,16.70,18.39
input_rows=512,fp16,2.4775,0.1693,0.1588,14.64,15.60
input_rows=512,fp32,2.4161,0.1438,0.1299,16.80,18.61
input_rows=544,fp16,2.8000,0.1916,0.1785,14.62,15.69
input_rows=544,fp32,2.7288,0.1618,0.1463,16.86,18.66
input_rows=576,fp16,3.1372,0.2151,0.1998,14.59,15.70
input_rows=576,fp32,3.0623,0.1808,0.1635,16.94,18.73
input_rows=608,fp16,3.4986,0.2396,0.2221,14.60,15.75
input_rows=608,fp32,3.4097,0.2008,0.1808,16.98,18.86
input_rows=640,fp16,3.8739,0.2654,0.2457,14.60,15.77
input_rows=640,fp32,3.7814,0.2213,0.1995,17.08,18.95
