op,params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,ratio_triton_over_cutile
matmul_fp32_fp16_fp8,K=1024,fp32,0.5767,0.3377,0.0745,1.71,7.74,4.5329
matmul_fp32_fp16_fp8,K=1024,fp16,0.0276,0.0434,0.0458,0.64,0.60,0.9476
matmul_fp32_fp16_fp8,K=1024,fp8_e4m3fn,0.6137,0.0343,0.0229,17.90,26.82,1.4978
matmul_fp32_fp16_fp8,K=1024,fp8_e5m2,0.6125,0.0338,0.0232,18.10,26.36,1.4569
matmul_fp32_fp16_fp8,K=2048,fp32,1.1038,0.6412,0.1183,1.72,9.33,5.4201
matmul_fp32_fp16_fp8,K=2048,fp16,0.0495,0.0698,0.0683,0.71,0.73,1.0220
matmul_fp32_fp16_fp8,K=2048,fp8_e4m3fn,1.1736,0.0552,0.0347,21.26,33.80,1.5908
matmul_fp32_fp16_fp8,K=2048,fp8_e5m2,1.1717,0.0549,0.0350,21.34,33.51,1.5686
matmul_fp32_fp16_fp8,K=3072,fp32,1.6366,0.9451,0.1635,1.73,10.01,5.7804
matmul_fp32_fp16_fp8,K=3072,fp16,0.0718,0.0979,0.0905,0.73,0.79,1.0818
matmul_fp32_fp16_fp8,K=3072,fp8_e4m3fn,1.7306,0.0758,0.0458,22.84,37.78,1.6550
matmul_fp32_fp16_fp8,K=3072,fp8_e5m2,1.7285,0.0770,0.0463,22.44,37.32,1.6631
matmul_fp32_fp16_fp8,K=4096,fp32,2.1700,1.2484,0.2088,1.74,10.39,5.9789
matmul_fp32_fp16_fp8,K=4096,fp16,0.0936,0.1273,0.1132,0.74,0.83,1.1246
matmul_fp32_fp16_fp8,K=4096,fp8_e4m3fn,2.2872,0.0989,0.0565,23.12,40.46,1.7504
matmul_fp32_fp16_fp8,K=4096,fp8_e5m2,2.2849,0.0980,0.0577,23.32,39.62,1.6984
matmul_fp32_fp16_fp8,K=5120,fp32,2.7044,1.5562,0.2579,1.74,10.49,6.0341
matmul_fp32_fp16_fp8,K=5120,fp16,0.1152,0.1631,0.1374,0.71,0.84,1.1870
matmul_fp32_fp16_fp8,K=5120,fp8_e4m3fn,2.8441,0.1213,0.0677,23.45,41.98,1.7917
matmul_fp32_fp16_fp8,K=5120,fp8_e5m2,2.8429,0.1220,0.0689,23.31,41.24,1.7707
matmul_fp32_fp16_fp8,K=6144,fp32,3.2389,1.8603,0.3070,1.74,10.55,6.0596
matmul_fp32_fp16_fp8,K=6144,fp16,0.1385,0.1993,0.1604,0.70,0.86,1.2425
matmul_fp32_fp16_fp8,K=6144,fp8_e4m3fn,3.4010,0.1429,0.0782,23.80,43.49,1.8274
matmul_fp32_fp16_fp8,K=6144,fp8_e5m2,3.3974,0.1450,0.0803,23.43,42.29,1.8057
matmul_fp32_fp16_fp8,K=7168,fp32,3.7715,2.1629,0.3563,1.74,10.59,6.0704
matmul_fp32_fp16_fp8,K=7168,fp16,0.1624,0.2427,0.1861,0.67,0.87,1.3041
matmul_fp32_fp16_fp8,K=7168,fp8_e4m3fn,3.9568,0.1684,0.0888,23.49,44.56,1.8964
matmul_fp32_fp16_fp8,K=7168,fp8_e5m2,3.9541,0.1674,0.0913,23.62,43.30,1.8335
matmul_fp32_fp16_fp8,K=8192,fp32,4.3047,2.4629,0.4032,1.75,10.68,6.1084
matmul_fp32_fp16_fp8,K=8192,fp16,0.1864,0.2725,0.2119,0.68,0.88,1.2860
matmul_fp32_fp16_fp8,K=8192,fp8_e4m3fn,4.5147,0.1878,0.1001,24.04,45.08,1.8761
matmul_fp32_fp16_fp8,K=8192,fp8_e5m2,4.5107,0.1913,0.1023,23.57,44.07,1.8700
matmul_fp32_fp16_fp8,K=9216,fp32,4.8401,2.7712,0.4517,1.75,10.72,6.1350
matmul_fp32_fp16_fp8,K=9216,fp16,0.2117,0.3059,0.2383,0.69,0.89,1.2837
matmul_fp32_fp16_fp8,K=9216,fp8_e4m3fn,5.0713,0.2194,0.1111,23.12,45.66,1.9748
matmul_fp32_fp16_fp8,K=9216,fp8_e5m2,5.0667,0.2216,0.1147,22.86,44.17,1.9320
matmul_fp32_fp16_fp8,K=10240,fp32,5.3727,3.0786,0.5018,1.75,10.71,6.1351
matmul_fp32_fp16_fp8,K=10240,fp16,0.2349,0.3378,0.2654,0.70,0.89,1.2728
matmul_fp32_fp16_fp8,K=10240,fp8_e4m3fn,5.6274,0.2584,0.1220,21.78,46.13,2.1180
matmul_fp32_fp16_fp8,K=10240,fp8_e5m2,5.6219,0.2651,0.1269,21.21,44.31,2.0890
matmul_fp32_fp16_fp8,K=11264,fp32,5.9080,3.3803,0.5525,1.75,10.69,6.1182
