params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=1000,fp16,0.0313,0.0102,0.0166,3.07,1.89,1.6275,0.0108,2.96
N=1000,bf16,0.0306,0.0100,0.0161,3.06,1.90,1.6100,0.0105,3.26
N=1000,fp32,0.0174,0.0177,0.0159,0.98,1.09,0.8983,0.0116,1.58
N=2000,fp16,0.0221,0.0107,0.0171,2.07,1.29,1.5981,0.0110,2.24
N=2000,bf16,0.0235,0.0112,0.0171,2.10,1.38,1.5268,0.0107,2.24
N=2000,fp32,0.0145,0.0275,0.0182,0.53,0.80,0.6618,0.0118,1.34
N=3000,fp16,0.0340,0.0117,0.0180,2.90,1.89,1.5385,0.0120,2.87
N=3000,bf16,0.0332,0.0124,0.0181,2.69,1.83,1.4597,0.0123,2.78
N=3000,fp32,0.0228,0.0229,0.0208,1.00,1.09,0.9083,0.0138,1.65
N=4000,fp16,0.0358,0.0118,0.0186,3.03,1.93,1.5763,0.0126,2.89
N=4000,bf16,0.0358,0.0131,0.0192,2.74,1.86,1.4656,0.0132,2.77
N=4000,fp32,0.0244,0.0331,0.0219,0.74,1.12,0.6616,0.0148,1.74
N=5000,fp16,0.0469,0.0132,0.0189,3.55,2.48,1.4318,0.0138,3.51
N=5000,bf16,0.0502,0.0135,0.0193,3.72,2.60,1.4296,0.0142,3.33
N=5000,fp32,0.0316,0.0258,0.0250,1.22,1.27,0.9690,0.0164,1.98
N=6000,fp16,0.0514,0.0131,0.0194,3.94,2.65,1.4809,0.0142,3.75
N=6000,bf16,0.0499,0.0138,0.0194,3.62,2.57,1.4058,0.0147,3.57
N=6000,fp32,0.0338,0.0352,0.0261,0.96,1.29,0.7415,0.0175,1.94
N=7000,fp16,0.0592,0.0143,0.0197,4.14,3.01,1.3776,0.0149,4.02
N=7000,bf16,0.0591,0.0149,0.0208,3.96,2.84,1.3960,0.0157,3.95
N=7000,fp32,0.0391,0.0273,0.0283,1.43,1.38,1.0366,0.0186,2.20
