params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
M=32,fp16,0.0024,0.0036,0.0031,0.68,0.78,0.8712
M=32,bf16,0.0024,0.0036,0.0031,0.67,0.77,0.8742
M=32,fp32,0.0028,0.0039,0.0052,0.71,0.54,1.3155
M=64,fp16,0.0025,0.0040,0.0032,0.62,0.79,0.7928
M=64,bf16,0.0023,0.0038,0.0031,0.59,0.74,0.7985
M=64,fp32,0.0034,0.0045,0.0059,0.77,0.58,1.3199
M=96,fp16,0.0029,0.0043,0.0057,0.67,0.50,1.3348
M=96,bf16,0.0027,0.0043,0.0055,0.62,0.49,1.2701
M=96,fp32,0.0039,0.0053,0.0061,0.74,0.65,1.1413
M=128,fp16,0.0029,0.0047,0.0064,0.61,0.45,1.3522
M=128,bf16,0.0028,0.0048,0.0061,0.59,0.46,1.2813
M=128,fp32,0.0041,0.0060,0.0065,0.69,0.63,1.0930
M=160,fp16,0.0035,0.0053,0.0079,0.65,0.44,1.4944
M=160,bf16,0.0037,0.0052,0.0085,0.70,0.43,1.6251
M=160,fp32,0.0061,0.0067,0.0088,0.92,0.69,1.3216
M=192,fp16,0.0039,0.0057,0.0088,0.68,0.44,1.5297
M=192,bf16,0.0038,0.0058,0.0090,0.67,0.43,1.5598
M=192,fp32,0.0067,0.0071,0.0092,0.94,0.73,1.2862
M=224,fp16,0.0042,0.0061,0.0111,0.68,0.37,1.8268
M=224,bf16,0.0040,0.0060,0.0108,0.67,0.37,1.8129
M=224,fp32,0.0075,0.0080,0.0215,0.94,0.35,2.6727
M=256,fp16,0.0044,0.0064,0.0115,0.69,0.38,1.8060
M=256,bf16,0.0045,0.0065,0.0116,0.69,0.39,1.7857
M=256,fp32,0.0084,0.0095,0.0230,0.89,0.36,2.4343
M=288,fp16,0.0061,0.0086,0.0095,0.71,0.64,1.1143
M=288,bf16,0.0062,0.0084,0.0096,0.74,0.65,1.1414
M=288,fp32,0.0119,0.0165,0.0227,0.72,0.52,1.3753
M=320,fp16,0.0069,0.0086,0.0099,0.80,0.70,1.1451
M=320,bf16,0.0071,0.0086,0.0097,0.82,0.73,1.1262
M=320,fp32,0.0132,0.0183,0.0235,0.72,0.56,1.2882
M=352,fp16,0.0080,0.0095,0.0109,0.85,0.74,1.1501
M=352,bf16,0.0085,0.0096,0.0111,0.89,0.76,1.1609
M=352,fp32,0.0144,0.0204,0.0298,0.71,0.48,1.4589
M=384,fp16,0.0081,0.0102,0.0115,0.80,0.71,1.1305
M=384,bf16,0.0082,0.0102,0.0118,0.80,0.69,1.1538
M=384,fp32,0.0156,0.0221,0.0307,0.70,0.51,1.3888
M=416,fp16,0.0095,0.0169,0.0146,0.56,0.65,0.8614
M=416,bf16,0.0099,0.0169,0.0144,0.58,0.69,0.8528
M=416,fp32,0.0201,0.0371,0.0500,0.54,0.40,1.3471
M=448,fp16,0.0116,0.0180,0.0148,0.65,0.78,0.8245
M=448,bf16,0.0114,0.0177,0.0149,0.64,0.76,0.8407
M=448,fp32,0.0215,0.0400,0.0504,0.54,0.43,1.2607
M=480,fp16,0.0120,0.0196,0.0166,0.61,0.72,0.8446
M=480,bf16,0.0121,0.0196,0.0165,0.62,0.73,0.8437
M=480,fp32,0.0232,0.0427,0.0559,0.54,0.42,1.3091
M=512,fp16,0.0132,0.0202,0.0170,0.66,0.78,0.8423
M=512,bf16,0.0133,0.0202,0.0168,0.66,0.79,0.8329
M=512,fp32,0.0246,0.0457,0.0564,0.54,0.44,1.2335
M=544,fp16,0.0177,0.0248,0.0281,0.71,0.63,1.1341
M=544,bf16,0.0179,0.0249,0.0280,0.72,0.64,1.1277
M=544,fp32,0.0344,0.0614,0.0867,0.56,0.40,1.4114
M=576,fp16,0.0202,0.0259,0.0285,0.78,0.71,1.0988
M=576,bf16,0.0201,0.0259,0.0285,0.78,0.71,1.0981
M=576,fp32,0.0363,0.0648,0.0874,0.56,0.41,1.3498
M=608,fp16,0.0231,0.0277,0.0316,0.83,0.73,1.1398
M=608,bf16,0.0231,0.0278,0.0317,0.83,0.73,1.1424
M=608,fp32,0.0384,0.0691,0.0953,0.56,0.40,1.3797
M=640,fp16,0.0234,0.0289,0.0318,0.81,0.74,1.0987
M=640,bf16,0.0232,0.0289,0.0317,0.80,0.73,1.0968
M=640,fp32,0.0406,0.0731,0.0959,0.56,0.42,1.3130
