params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
n=500000,fp16,24.5336,0.4760,0.3992,51.54,61.46,0.8385
n=500000,fp32,24.5594,0.4739,0.4387,51.82,55.98,0.9257
n=1000000,fp16,28.8358,0.7062,0.5780,40.83,49.89,0.8185
n=1000000,fp32,28.9148,0.6775,0.6587,42.68,43.89,0.9723
n=1500000,fp16,42.6129,1.2478,0.9792,34.15,43.52,0.7847
n=1500000,fp32,43.3693,1.1810,1.1193,36.72,38.75,0.9478
n=2000000,fp16,43.0668,1.2445,0.9800,34.61,43.95,0.7875
n=2000000,fp32,43.9466,1.1847,1.1201,37.10,39.24,0.9455
n=2500000,fp16,67.5217,2.2520,1.7842,29.98,37.84,0.7923
n=2500000,fp32,68.6901,2.1171,2.0561,32.44,33.41,0.9712
n=3000000,fp16,68.3145,2.2546,1.7865,30.30,38.24,0.7924
n=3000000,fp32,69.9227,2.1164,2.0558,33.04,34.01,0.9713
n=3500000,fp16,71.6427,2.2536,1.7873,31.79,40.08,0.7931
n=3500000,fp32,74.3310,2.1184,2.0561,35.09,36.15,0.9706
n=4000000,fp16,72.3451,2.2554,1.7877,32.08,40.47,0.7926
n=4000000,fp32,74.8937,2.1188,2.0557,35.35,36.43,0.9702
n=4500000,fp16,127.3495,4.4037,3.4780,28.92,36.62,0.7898
n=4500000,fp32,131.0169,4.0735,4.0201,32.16,32.59,0.9869
n=5000000,fp16,127.9729,4.4047,3.4775,29.05,36.80,0.7895
n=5000000,fp32,131.7436,4.0719,4.0239,32.35,32.74,0.9882
n=5500000,fp16,128.7490,4.4037,3.4769,29.24,37.03,0.7895
n=5500000,fp32,132.7368,4.0772,4.0211,32.56,33.01,0.9862
n=6000000,fp16,129.4006,4.4056,3.4781,29.37,37.20,0.7895
n=6000000,fp32,134.0369,4.0807,4.0219,32.85,33.33,0.9856
n=6500000,fp16,131.5890,4.4076,3.4784,29.85,37.83,0.7892
n=6500000,fp32,137.1878,4.0785,4.0242,33.64,34.09,0.9867
n=7000000,fp16,132.5926,4.4039,3.4791,30.11,38.11,0.7900
n=7000000,fp32,138.3440,4.0749,4.0219,33.95,34.40,0.9870
n=7500000,fp16,133.3443,4.4059,3.4782,30.26,38.34,0.7894
n=7500000,fp32,139.1117,4.0785,4.0237,34.11,34.57,0.9866
n=8000000,fp16,133.9471,4.4082,3.4788,30.39,38.50,0.7892
n=8000000,fp32,139.9295,4.0802,4.0225,34.29,34.79,0.9858
n=8500000,fp16,249.3722,8.9877,7.0905,27.75,35.17,0.7889
n=8500000,fp32,258.5436,8.2277,8.3004,31.42,31.15,1.0088
n=9000000,fp16,250.7740,8.9825,7.0877,27.92,35.38,0.7891
n=9000000,fp32,260.5990,8.2129,8.2767,31.73,31.49,1.0078
n=9500000,fp16,253.0156,8.9831,7.0869,28.17,35.70,0.7889
n=9500000,fp32,264.0435,8.2118,8.2639,32.15,31.95,1.0063
n=10000000,fp16,254.2237,8.9837,7.0880,28.30,35.87,0.7890
n=10000000,fp32,266.1991,8.2115,8.2461,32.42,32.28,1.0042
