params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
M=512,fp16,0.0159,0.0107,0.0134,1.49,1.19,1.2503,0.0135,2.32
M=1024,fp16,0.0166,0.0121,0.0255,1.37,0.65,2.1068,0.0261,1.26
M=1536,fp16,0.0312,0.0154,0.0372,2.03,0.84,2.4160,0.0380,1.65
M=2048,fp16,0.0326,0.0166,0.0492,1.97,0.66,2.9674,0.0484,1.32
M=2560,fp16,0.0475,0.0255,0.0616,1.86,0.77,2.4169,0.0614,1.52
M=3072,fp16,0.0492,0.0291,0.0719,1.69,0.68,2.4684,0.0716,1.33
M=3584,fp16,0.0592,0.0308,0.0812,1.92,0.73,2.6329,0.0803,1.40
M=4096,fp16,0.0651,0.0320,0.0896,2.03,0.73,2.7998,0.0888,1.43
M=4608,fp16,0.0663,0.0330,0.0972,2.01,0.68,2.9410,0.0991,1.29
M=5120,fp16,0.0813,0.0414,0.1123,1.96,0.72,2.7124,0.1125,1.39
M=5632,fp16,0.0820,0.0434,0.1228,1.89,0.67,2.8320,0.1233,1.28
M=6144,fp16,0.0960,0.0452,0.1339,2.12,0.72,2.9654,0.1346,1.39
M=6656,fp16,0.0974,0.0471,0.1386,2.07,0.70,2.9445,0.1449,1.30
M=7168,fp16,0.1077,0.0498,0.1496,2.16,0.72,3.0023,0.1555,1.33
M=7680,fp16,0.1131,0.0531,0.1645,2.13,0.69,3.1000,0.1652,1.32
M=8192,fp16,0.1144,0.0563,0.1734,2.03,0.66,3.0810,0.1739,1.27
M=8704,fp16,0.1286,0.0597,0.1786,2.15,0.72,2.9902,0.1854,1.34
M=9216,fp16,0.1299,0.0620,0.1828,2.10,0.71,2.9506,0.1962,1.28
M=9728,fp16,0.1435,0.0681,0.2091,2.11,0.69,3.0702,0.2081,1.34
M=10240,fp16,0.1458,0.0705,0.2170,2.07,0.67,3.0789,0.2172,1.30
