params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
M=512,fp16,0.0159,0.0104,0.0133,1.53,1.19,1.2839,0.0152,1.04
M=1024,fp16,0.0166,0.0121,0.0255,1.37,0.65,2.1120,0.0293,0.57
M=1536,fp16,0.0316,0.0207,0.0374,1.53,0.85,1.8106,0.0437,0.72
M=2048,fp16,0.0329,0.0224,0.0493,1.47,0.67,2.2022,0.0581,0.57
M=2560,fp16,0.0476,0.0307,0.0616,1.55,0.77,2.0068,0.0723,0.66
M=3072,fp16,0.0490,0.0329,0.0716,1.49,0.68,2.1758,0.0840,0.58
M=3584,fp16,0.0589,0.0377,0.0817,1.56,0.72,2.1663,0.0918,0.64
M=4096,fp16,0.0648,0.0426,0.0893,1.52,0.73,2.0958,0.1023,0.63
M=4608,fp16,0.0663,0.0449,0.1004,1.48,0.66,2.2355,0.1162,0.57
M=5120,fp16,0.0810,0.0538,0.1122,1.51,0.72,2.0876,0.1313,0.62
M=5632,fp16,0.0821,0.0552,0.1229,1.49,0.67,2.2247,0.1433,0.57
M=6144,fp16,0.0958,0.0617,0.1346,1.55,0.71,2.1828,0.1565,0.61
M=6656,fp16,0.0975,0.0641,0.1450,1.52,0.67,2.2637,0.1700,0.57
M=7168,fp16,0.1076,0.0694,0.1553,1.55,0.69,2.2386,0.1791,0.60
M=7680,fp16,0.1132,0.0733,0.1644,1.54,0.69,2.2411,0.1898,0.60
M=8192,fp16,0.1141,0.0756,0.1739,1.51,0.66,2.3023,0.2013,0.57
M=8704,fp16,0.1288,0.0827,0.1845,1.56,0.70,2.2309,0.2166,0.59
M=9216,fp16,0.1301,0.0859,0.1952,1.51,0.67,2.2737,0.2288,0.57
M=9728,fp16,0.1440,0.0935,0.2086,1.54,0.69,2.2301,0.2435,0.59
M=10240,fp16,0.1459,0.0953,0.2172,1.53,0.67,2.2791,0.2548,0.57
