params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
batch_size=512,fp16,0.0123,0.0025,0.0029,4.95,4.18,1.1846,0.0027,4.55,0.0365,0.0540,0.68
batch_size=512,fp32,0.0073,0.0026,0.0030,2.77,2.39,1.1557,0.0031,2.39,0.0345,0.0441,0.78
batch_size=1024,fp16,0.0131,0.0027,0.0034,4.86,3.82,1.2711,0.0029,4.56,0.0517,0.0682,0.76
batch_size=1024,fp32,0.0075,0.0029,0.0033,2.53,2.23,1.1362,0.0037,2.00,0.0529,0.0607,0.87
batch_size=1536,fp16,0.0130,0.0030,0.0037,4.37,3.52,1.2431,0.0032,4.09,0.0724,0.1096,0.66
batch_size=1536,fp32,0.0078,0.0033,0.0039,2.35,2.00,1.1758,0.0033,2.34,0.0710,0.0770,0.92
batch_size=2048,fp16,0.0134,0.0033,0.0042,4.13,3.17,1.3019,0.0035,3.79,0.0758,0.1341,0.57
batch_size=2048,fp32,0.0086,0.0036,0.0043,2.40,2.02,1.1853,0.0042,2.02,0.0791,0.0952,0.83
batch_size=2560,fp16,0.0132,0.0036,0.0049,3.64,2.67,1.3624,0.0039,3.38,0.0889,0.1543,0.58
batch_size=2560,fp32,0.0086,0.0039,0.0052,2.22,1.66,1.3364,0.0042,2.06,0.0916,0.1179,0.78
batch_size=3072,fp16,0.0135,0.0039,0.0056,3.50,2.41,1.4540,0.0042,3.22,0.0915,0.1696,0.54
batch_size=3072,fp32,0.0088,0.0041,0.0058,2.13,1.52,1.3963,0.0044,2.00,0.1018,0.1303,0.78
batch_size=3584,fp16,0.0133,0.0041,0.0059,3.23,2.27,1.4201,0.0052,2.56,0.1074,0.2143,0.50
batch_size=3584,fp32,0.0090,0.0044,0.0062,2.03,1.44,1.4053,0.0051,1.78,0.1214,0.1528,0.79
batch_size=4096,fp16,0.0137,0.0044,0.0064,3.13,2.14,1.4581,0.0048,2.87,0.1228,0.2373,0.52
batch_size=4096,fp32,0.0094,0.0048,0.0065,1.97,1.44,1.3654,0.0051,1.83,0.1368,0.1787,0.77
batch_size=4608,fp16,0.0134,0.0047,0.0068,2.87,1.98,1.4475,0.0051,2.63,0.1333,0.2749,0.48
batch_size=4608,fp32,0.0096,0.0050,0.0068,1.92,1.40,1.3672,0.0061,1.56,0.1444,0.1909,0.76
batch_size=5120,fp16,0.0138,0.0050,0.0073,2.78,1.89,1.4722,0.0055,2.50,0.1495,0.3082,0.49
batch_size=5120,fp32,0.0100,0.0053,0.0077,1.91,1.31,1.4606,0.0068,1.48,0.1674,0.2144,0.78
batch_size=5632,fp16,0.0136,0.0052,0.0079,2.62,1.72,1.5190,0.0066,2.06,0.1721,0.3310,0.52
batch_size=5632,fp32,0.0102,0.0056,0.0081,1.83,1.26,1.4543,0.0058,1.77,0.1856,0.2267,0.82
batch_size=6144,fp16,0.0137,0.0055,0.0083,2.50,1.64,1.5245,0.0058,2.37,0.1878,0.3546,0.53
batch_size=6144,fp32,0.0110,0.0058,0.0083,1.91,1.32,1.4439,0.0063,1.74,0.2050,0.2519,0.81
batch_size=6656,fp16,0.0136,0.0057,0.0088,2.36,1.54,1.5318,0.0059,2.30,0.1898,0.3791,0.50
batch_size=6656,fp32,0.0114,0.0061,0.0086,1.87,1.33,1.4108,0.0067,1.70,0.2113,0.2750,0.77
batch_size=7168,fp16,0.0167,0.0060,0.0091,2.79,1.83,1.5256,0.0063,2.66,0.2120,0.4079,0.52
batch_size=7168,fp32,0.0114,0.0064,0.0094,1.78,1.21,1.4802,0.0069,1.66,0.2193,0.2912,0.75
batch_size=7680,fp16,0.0182,0.0062,0.0095,2.92,1.91,1.5251,0.0068,2.68,0.2233,0.4345,0.51
batch_size=7680,fp32,0.0123,0.0066,0.0099,1.86,1.24,1.4999,0.0075,1.65,0.2286,0.3169,0.72
batch_size=8192,fp16,0.0186,0.0065,0.0102,2.86,1.82,1.5695,0.0070,2.65,0.2328,0.4670,0.50
batch_size=8192,fp32,0.0122,0.0069,0.0104,1.76,1.18,1.4954,0.0073,1.67,0.2437,0.3257,0.75
batch_size=8704,fp16,0.0186,0.0068,0.0107,2.73,1.74,1.5670,0.0071,2.61,0.2494,0.5211,0.48
batch_size=8704,fp32,0.0129,0.0072,0.0107,1.81,1.21,1.4960,0.0096,1.35,0.2537,0.3459,0.73
batch_size=9216,fp16,0.0191,0.0071,0.0112,2.71,1.70,1.5917,0.0076,2.51,0.2592,0.5209,0.50
batch_size=9216,fp32,0.0129,0.0075,0.0108,1.72,1.19,1.4461,0.0080,1.61,0.2680,0.3573,0.75
batch_size=9728,fp16,0.0194,0.0073,0.0115,2.64,1.69,1.5619,0.0080,2.41,0.2836,0.5515,0.51
batch_size=9728,fp32,0.0129,0.0077,0.0116,1.68,1.11,1.5172,0.0078,1.66,0.2849,0.3755,0.76
batch_size=10240,fp16,0.0190,0.0076,0.0117,2.52,1.62,1.5536,0.0079,2.41,0.2891,0.5815,0.50
batch_size=10240,fp32,0.0135,0.0079,0.0121,1.70,1.12,1.5232,0.0084,1.61,0.3043,0.4030,0.76
