params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=2048,fp16,0.0155,0.0051,0.0094,3.05,1.65,1.8449,0.0059,2.62
seq_len=2048,bf16,0.0152,0.0051,0.0093,2.97,1.64,1.8112,0.0062,2.47
seq_len=2048,fp32,0.0164,0.0078,0.0103,2.11,1.59,1.3263,0.0079,2.15
seq_len=2048,int8,0.0133,0.0051,0.0087,2.59,1.52,1.7012,0.0057,2.61
seq_len=4096,fp16,0.0242,0.0078,0.0149,3.10,1.62,1.9078,0.0084,2.93
seq_len=4096,bf16,0.0242,0.0078,0.0149,3.10,1.62,1.9086,0.0085,2.82
seq_len=4096,fp32,0.0278,0.0127,0.0167,2.19,1.66,1.3192,0.0130,2.12
seq_len=4096,int8,0.0216,0.0060,0.0143,3.60,1.51,2.3796,0.0067,3.29
seq_len=6144,fp16,0.0342,0.0104,0.0223,3.29,1.54,2.1422,0.0114,3.02
seq_len=6144,bf16,0.0342,0.0103,0.0214,3.32,1.60,2.0744,0.0113,3.05
seq_len=6144,fp32,0.0372,0.0171,0.0229,2.18,1.63,1.3381,0.0173,2.16
seq_len=6144,int8,0.0295,0.0079,0.0193,3.73,1.53,2.4331,0.0090,3.42
seq_len=8192,fp16,0.0438,0.0126,0.0265,3.47,1.65,2.1001,0.0138,3.19
seq_len=8192,bf16,0.0438,0.0126,0.0265,3.46,1.65,2.0982,0.0139,3.15
seq_len=8192,fp32,0.0474,0.0214,0.0288,2.21,1.65,1.3446,0.0213,2.24
seq_len=8192,int8,0.0386,0.0104,0.0255,3.71,1.51,2.4520,0.0108,3.62
seq_len=10240,fp16,0.0529,0.0147,0.0313,3.61,1.69,2.1346,0.0160,3.32
seq_len=10240,bf16,0.0528,0.0147,0.0317,3.60,1.67,2.1595,0.0161,3.29
seq_len=10240,fp32,0.0574,0.0260,0.0352,2.20,1.63,1.3507,0.0254,2.27
seq_len=10240,int8,0.0482,0.0119,0.0305,4.05,1.58,2.5589,0.0128,3.77
seq_len=12288,fp16,0.0616,0.0174,0.0374,3.55,1.65,2.1578,0.0182,3.41
seq_len=12288,bf16,0.0617,0.0172,0.0371,3.59,1.66,2.1571,0.0183,3.37
seq_len=12288,fp32,0.0667,0.0286,0.0409,2.33,1.63,1.4285,0.0298,2.25
seq_len=12288,int8,0.0574,0.0138,0.0367,4.18,1.56,2.6706,0.0146,3.94
seq_len=14336,fp16,0.0709,0.0194,0.0419,3.66,1.69,2.1637,0.0204,3.48
seq_len=14336,bf16,0.0708,0.0195,0.0423,3.64,1.67,2.1753,0.0206,3.45
seq_len=14336,fp32,0.0768,0.0329,0.0465,2.33,1.65,1.4121,0.0332,2.31
seq_len=14336,int8,0.0668,0.0151,0.0405,4.43,1.65,2.6846,0.0164,4.05
seq_len=16384,fp16,0.0800,0.0218,0.0477,3.67,1.68,2.1866,0.0229,3.50
seq_len=16384,bf16,0.0799,0.0217,0.0472,3.69,1.69,2.1789,0.0228,3.51
seq_len=16384,fp32,0.0865,0.0369,0.0525,2.34,1.65,1.4221,0.0376,2.30
seq_len=16384,int8,0.0752,0.0168,0.0453,4.48,1.66,2.7016,0.0184,4.09
seq_len=18432,fp16,0.0892,0.0249,0.0529,3.58,1.69,2.1195,0.0250,3.56
seq_len=18432,bf16,0.0891,0.0249,0.0527,3.58,1.69,2.1152,0.0256,3.48
seq_len=18432,fp32,0.0959,0.0409,0.0586,2.34,1.64,1.4314,0.0411,2.33
seq_len=18432,int8,0.0839,0.0190,0.0503,4.41,1.67,2.6437,0.0202,4.14
seq_len=20480,fp16,0.1001,0.0260,0.0578,3.84,1.73,2.2207,0.0274,3.64
seq_len=20480,bf16,0.0999,0.0260,0.0577,3.84,1.73,2.2183,0.0275,3.64
seq_len=20480,fp32,0.1076,0.0441,0.0648,2.44,1.66,1.4704,0.0453,2.37
seq_len=20480,int8,0.0937,0.0205,0.0555,4.57,1.69,2.7071,0.0223,4.20
