params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=2048,fp16,0.0155,0.0052,0.0092,3.00,1.70,1.7646,0.0069,2.24
seq_len=2048,bf16,0.0151,0.0054,0.0090,2.81,1.67,1.6829,0.0071,2.18
seq_len=2048,fp32,0.0167,0.0073,0.0112,2.29,1.49,1.5326,0.0089,1.92
seq_len=2048,int8,0.0133,0.0045,0.0087,2.94,1.52,1.9280,0.0066,2.25
seq_len=4096,fp16,0.0244,0.0076,0.0150,3.19,1.62,1.9648,0.0103,2.41
seq_len=4096,bf16,0.0243,0.0076,0.0149,3.20,1.63,1.9616,0.0103,2.39
seq_len=4096,fp32,0.0275,0.0125,0.0188,2.19,1.46,1.5008,0.0142,1.94
seq_len=4096,int8,0.0219,0.0064,0.0142,3.43,1.55,2.2121,0.0082,2.68
seq_len=6144,fp16,0.0346,0.0105,0.0204,3.30,1.70,1.9457,0.0136,2.54
seq_len=6144,bf16,0.0346,0.0106,0.0205,3.27,1.69,1.9371,0.0136,2.52
seq_len=6144,fp32,0.0376,0.0165,0.0254,2.28,1.48,1.5384,0.0190,1.98
seq_len=6144,int8,0.0302,0.0085,0.0193,3.55,1.56,2.2736,0.0104,2.83
seq_len=8192,fp16,0.0436,0.0126,0.0258,3.45,1.69,2.0469,0.0168,2.60
seq_len=8192,bf16,0.0437,0.0128,0.0258,3.43,1.69,2.0230,0.0166,2.61
seq_len=8192,fp32,0.0473,0.0208,0.0317,2.28,1.49,1.5285,0.0235,2.03
seq_len=8192,int8,0.0386,0.0105,0.0245,3.66,1.58,2.3250,0.0130,3.01
seq_len=10240,fp16,0.0528,0.0149,0.0312,3.54,1.69,2.0910,0.0199,2.66
seq_len=10240,bf16,0.0528,0.0151,0.0312,3.51,1.69,2.0721,0.0198,2.67
seq_len=10240,fp32,0.0572,0.0246,0.0385,2.33,1.49,1.5658,0.0278,2.06
seq_len=10240,int8,0.0484,0.0122,0.0298,3.96,1.63,2.4350,0.0164,2.95
seq_len=12288,fp16,0.0619,0.0171,0.0366,3.62,1.69,2.1409,0.0228,2.71
seq_len=12288,bf16,0.0619,0.0172,0.0364,3.59,1.70,2.1124,0.0231,2.68
seq_len=12288,fp32,0.0673,0.0288,0.0449,2.34,1.50,1.5591,0.0323,2.07
seq_len=12288,int8,0.0573,0.0138,0.0351,4.16,1.63,2.5471,0.0190,3.02
seq_len=14336,fp16,0.0709,0.0192,0.0418,3.69,1.70,2.1787,0.0260,2.73
seq_len=14336,bf16,0.0708,0.0192,0.0417,3.69,1.70,2.1740,0.0260,2.73
seq_len=14336,fp32,0.0769,0.0327,0.0511,2.35,1.50,1.5631,0.0364,2.10
seq_len=14336,int8,0.0662,0.0154,0.0403,4.29,1.64,2.6074,0.0215,3.06
seq_len=16384,fp16,0.0800,0.0214,0.0471,3.73,1.70,2.1974,0.0290,2.76
seq_len=16384,bf16,0.0801,0.0217,0.0473,3.70,1.69,2.1834,0.0290,2.76
seq_len=16384,fp32,0.0863,0.0365,0.0576,2.37,1.50,1.5805,0.0406,2.12
seq_len=16384,int8,0.0749,0.0170,0.0454,4.39,1.65,2.6613,0.0246,3.06
seq_len=18432,fp16,0.0890,0.0239,0.0528,3.72,1.68,2.2087,0.0320,2.78
seq_len=18432,bf16,0.0893,0.0238,0.0527,3.76,1.69,2.2178,0.0322,2.76
seq_len=18432,fp32,0.0960,0.0401,0.0641,2.40,1.50,1.5983,0.0450,2.13
seq_len=18432,int8,0.0838,0.0189,0.0505,4.44,1.66,2.6764,0.0274,3.05
seq_len=20480,fp16,0.1000,0.0260,0.0582,3.84,1.72,2.2356,0.0350,2.85
seq_len=20480,bf16,0.1001,0.0259,0.0582,3.86,1.72,2.2451,0.0351,2.85
seq_len=20480,fp32,0.1074,0.0441,0.0709,2.43,1.51,1.6069,0.0490,2.19
