params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp16,0.0043,0.0025,0.0029,1.70,1.45,1.1688,0.0285,0.0250,1.14
n=1048576,bf16,0.0042,0.0024,0.0027,1.72,1.53,1.1221,0.0285,0.0255,1.12
n=1048576,fp32,0.0052,0.0031,0.0030,1.70,1.71,0.9928,0.0326,0.0314,1.04
n=2097152,fp16,0.0061,0.0037,0.0036,1.66,1.72,0.9649,0.0352,0.0320,1.10
n=2097152,bf16,0.0060,0.0036,0.0035,1.66,1.69,0.9825,0.0351,0.0440,0.80
n=2097152,fp32,0.0086,0.0051,0.0055,1.68,1.56,1.0761,0.0526,0.0496,1.06
n=3145728,fp16,0.0075,0.0046,0.0044,1.62,1.72,0.9401,0.0459,0.0406,1.13
n=3145728,bf16,0.0078,0.0048,0.0044,1.62,1.77,0.9117,0.0459,0.0411,1.12
n=3145728,fp32,0.0118,0.0075,0.0076,1.58,1.55,1.0167,0.0693,0.0672,1.03
n=4194304,fp16,0.0101,0.0051,0.0052,1.97,1.92,1.0269,0.0516,0.0498,1.03
n=4194304,bf16,0.0098,0.0053,0.0053,1.87,1.87,0.9996,0.0517,0.0504,1.03
n=4194304,fp32,0.0147,0.0106,0.0108,1.39,1.36,1.0194,0.0898,0.0869,1.03
n=5242880,fp16,0.0116,0.0077,0.0073,1.51,1.58,0.9558,0.0685,0.0590,1.16
n=5242880,bf16,0.0116,0.0077,0.0076,1.51,1.52,0.9913,0.0684,0.0591,1.16
n=5242880,fp32,0.0172,0.0124,0.0128,1.39,1.35,1.0313,0.1085,0.1056,1.03
n=6291456,fp16,0.0134,0.0086,0.0086,1.55,1.55,1.0027,0.0722,0.0667,1.08
n=6291456,bf16,0.0132,0.0083,0.0085,1.60,1.55,1.0303,0.0723,0.0668,1.08
n=6291456,fp32,0.0198,0.0146,0.0143,1.35,1.38,0.9819,0.1298,0.1239,1.05
n=7340032,fp16,0.0148,0.0106,0.0104,1.39,1.43,0.9766,0.0816,0.0773,1.06
n=7340032,bf16,0.0150,0.0107,0.0104,1.40,1.43,0.9763,0.0818,0.0774,1.06
n=7340032,fp32,0.0223,0.0162,0.0163,1.37,1.37,1.0020,0.1526,0.1416,1.08
n=8388608,fp16,0.0166,0.0104,0.0105,1.59,1.57,1.0104,0.0935,0.0921,1.02
n=8388608,bf16,0.0167,0.0108,0.0107,1.55,1.56,0.9920,0.0936,0.0919,1.02
n=8388608,fp32,0.0254,0.0182,0.0180,1.40,1.41,0.9874,0.1747,0.1614,1.08
n=9437184,fp16,0.0181,0.0129,0.0117,1.40,1.54,0.9095,0.1061,0.0984,1.08
n=9437184,bf16,0.0178,0.0114,0.0115,1.56,1.55,1.0076,0.1061,0.0983,1.08
n=9437184,fp32,0.0285,0.0204,0.0201,1.40,1.42,0.9833,0.1888,0.1802,1.05
n=10485760,fp16,0.0202,0.0127,0.0132,1.59,1.53,1.0400,0.1127,0.1083,1.04
n=10485760,bf16,0.0196,0.0126,0.0128,1.56,1.53,1.0188,0.1127,0.1083,1.04
n=10485760,fp32,0.0314,0.0218,0.0217,1.44,1.44,0.9991,0.2079,0.1978,1.05
n=11534336,fp16,0.0210,0.0135,0.0137,1.56,1.54,1.0152,0.1252,0.1171,1.07
n=11534336,bf16,0.0214,0.0135,0.0149,1.58,1.44,1.0995,0.1250,0.1172,1.07
n=11534336,fp32,0.0346,0.0238,0.0239,1.46,1.45,1.0052,0.2271,0.2175,1.04
n=12582912,fp16,0.0227,0.0144,0.0144,1.58,1.58,0.9994,0.1297,0.1263,1.03
n=12582912,bf16,0.0227,0.0147,0.0148,1.54,1.54,1.0044,0.1298,0.2012,0.65
