params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
seq_len=2048,fp32,0.0361,0.0045,0.0107,8.04,3.36,2.3934,0.0049,7.37
seq_len=4096,fp32,0.0370,0.0068,0.0189,5.42,1.95,2.7761,0.0073,5.06
seq_len=6144,fp32,0.0393,0.0091,0.0271,4.34,1.45,2.9924,0.0099,3.99
seq_len=8192,fp32,0.0378,0.0115,0.0351,3.29,1.08,3.0541,0.0127,2.98
seq_len=10240,fp32,0.0380,0.0140,0.0448,2.72,0.85,3.2050,0.0154,2.46
seq_len=12288,fp32,0.0385,0.0160,0.0519,2.41,0.74,3.2372,0.0177,2.17
seq_len=14336,fp32,0.0418,0.0174,0.0602,2.40,0.69,3.4573,0.0207,2.02
seq_len=16384,fp32,0.0413,0.0207,0.0687,2.00,0.60,3.3203,0.0239,1.73
seq_len=18432,fp32,0.0419,0.0216,0.0766,1.94,0.55,3.5380,0.0262,1.60
seq_len=20480,fp32,0.0427,0.0239,0.0850,1.79,0.50,3.5538,0.0296,1.44
seq_len=22528,fp32,0.0424,0.0261,0.0932,1.62,0.45,3.5662,0.0301,1.41
seq_len=24576,fp32,0.0423,0.0279,0.1011,1.52,0.42,3.6235,0.0325,1.30
seq_len=26624,fp32,0.0436,0.0306,0.1101,1.43,0.40,3.6035,0.0341,1.28
seq_len=28672,fp32,0.0440,0.0322,0.1171,1.36,0.38,3.6322,0.0369,1.19
seq_len=30720,fp32,0.0444,0.0347,0.1255,1.28,0.35,3.6202,0.0402,1.11
seq_len=32768,fp32,0.0456,0.0369,0.1350,1.24,0.34,3.6579,0.0434,1.05
seq_len=34816,fp32,0.0469,0.0388,0.1420,1.21,0.33,3.6614,0.0458,1.02
seq_len=36864,fp32,0.0477,0.0406,0.1493,1.17,0.32,3.6747,0.0487,0.98
seq_len=38912,fp32,0.0483,0.0431,0.1585,1.12,0.30,3.6814,0.0508,0.95
seq_len=40960,fp32,0.0471,0.0451,0.1676,1.04,0.28,3.7150,0.0518,0.91
