params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp32,0.0097,0.0040,0.0048,2.41,2.02,1.2000,0.0463,0.1016,0.46
n=2097152,fp32,0.0141,0.0078,0.0074,1.80,1.91,0.9487,0.0736,0.1821,0.40
n=3145728,fp32,0.0181,0.0106,0.0110,1.70,1.65,1.0377,0.1000,0.2679,0.37
n=4194304,fp32,0.0224,0.0146,0.0137,1.54,1.64,0.9384,0.1339,0.3811,0.35
n=5242880,fp32,0.0267,0.0165,0.0168,1.61,1.58,1.0182,0.1552,0.4271,0.36
n=6291456,fp32,0.0302,0.0187,0.0188,1.61,1.61,1.0053,0.1793,0.5509,0.33
n=7340032,fp32,0.0342,0.0211,0.0210,1.62,1.63,0.9953,0.2106,0.5898,0.36
n=8388608,fp32,0.0393,0.0232,0.0234,1.69,1.68,1.0086,0.2474,0.6686,0.37
n=9437184,fp32,0.0438,0.0268,0.0264,1.64,1.66,0.9851,0.2656,0.7457,0.36
n=10485760,fp32,0.0489,0.0281,0.0284,1.74,1.72,1.0107,0.2895,0.8430,0.34
n=11534336,fp32,0.0537,0.0303,0.0308,1.77,1.74,1.0165,0.3158,0.9224,0.34
n=12582912,fp32,0.0587,0.0331,0.0334,1.78,1.76,1.0091,0.3653,1.0049,0.36
n=13631488,fp32,0.0636,0.0353,0.0356,1.80,1.79,1.0085,0.3780,1.0885,0.35
n=14680064,fp32,0.0680,0.0383,0.0384,1.78,1.77,1.0026,0.4045,1.1705,0.35
n=15728640,fp32,0.0736,0.0402,0.0404,1.83,1.82,1.0050,0.4298,1.2458,0.34
n=16777216,fp32,0.0800,0.0424,0.0425,1.89,1.88,1.0024,0.4722,1.4917,0.32
n=17825792,fp32,0.0862,0.0449,0.0451,1.92,1.91,1.0045,0.4787,1.4162,0.34
n=18874368,fp32,0.0922,0.0468,0.0475,1.97,1.94,1.0150,0.5134,1.4893,0.34
n=19922944,fp32,0.0972,0.0494,0.0500,1.97,1.94,1.0121,0.5409,1.5689,0.34
n=20971520,fp32,0.1032,0.0516,0.0520,2.00,1.98,1.0078,0.5709,1.6521,0.35
