params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp32,0.0097,0.0042,0.0044,2.31,2.21,1.0476,0.0046,2.11,0.0395,0.1116,0.35
n=2097152,fp32,0.0144,0.0072,0.0076,2.00,1.91,1.0556,0.0078,1.85,0.0643,0.2247,0.29
n=3145728,fp32,0.0180,0.0106,0.0109,1.70,1.66,1.0283,0.0106,1.70,0.0893,0.3228,0.28
n=4194304,fp32,0.0223,0.0136,0.0138,1.64,1.62,1.0147,0.0142,1.57,0.1163,0.4355,0.27
n=5242880,fp32,0.0265,0.0163,0.0166,1.62,1.59,1.0184,0.0165,1.61,0.1410,0.5209,0.27
n=6291456,fp32,0.0300,0.0185,0.0187,1.63,1.61,1.0108,0.0183,1.64,0.1667,0.6454,0.26
n=7340032,fp32,0.0344,0.0209,0.0211,1.64,1.63,1.0096,0.0211,1.63,0.1927,0.7430,0.26
n=8388608,fp32,0.0390,0.0235,0.0236,1.66,1.65,1.0043,0.0242,1.61,0.2244,0.8471,0.26
n=9437184,fp32,0.0438,0.0258,0.0260,1.70,1.68,1.0078,0.0265,1.65,0.2474,0.9393,0.26
n=10485760,fp32,0.0490,0.0286,0.0288,1.71,1.70,1.0070,0.0283,1.73,0.2723,1.0399,0.26
n=11534336,fp32,0.0534,0.0305,0.0306,1.75,1.75,1.0033,0.0309,1.73,0.2974,1.1262,0.26
n=12582912,fp32,0.0582,0.0329,0.0330,1.77,1.76,1.0030,0.0328,1.77,0.3391,1.2373,0.27
n=13631488,fp32,0.0639,0.0357,0.0358,1.79,1.79,1.0028,0.0358,1.79,0.3466,1.3390,0.26
n=14680064,fp32,0.0686,0.0377,0.0379,1.82,1.81,1.0053,0.0383,1.79,0.3729,1.4477,0.26
n=15728640,fp32,0.0725,0.0401,0.0403,1.81,1.80,1.0050,0.0400,1.81,0.4041,1.5314,0.26
n=16777216,fp32,0.0803,0.0427,0.0428,1.88,1.88,1.0023,0.0429,1.87,0.4374,1.6763,0.26
n=17825792,fp32,0.0861,0.0447,0.0448,1.93,1.92,1.0022,0.0453,1.90,0.4532,1.7419,0.26
n=18874368,fp32,0.0911,0.0476,0.0479,1.91,1.90,1.0063,0.0473,1.92,0.4797,1.8553,0.26
n=19922944,fp32,0.0972,0.0497,0.0501,1.96,1.94,1.0080,0.0501,1.94,0.5049,1.9587,0.26
n=20971520,fp32,0.1032,0.0519,0.0520,1.99,1.98,1.0019,0.0527,1.96,0.5418,2.0532,0.26
