params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=1000000,fp16,0.0088,0.0026,0.0027,3.38,3.28,1.0385,0.0028,3.11
n=1000000,bf16,0.0087,0.0025,0.0026,3.42,3.32,1.0400,0.0025,3.34
n=1000000,fp32,0.0090,0.0035,0.0038,2.57,2.34,1.0857,0.0035,2.49
n=1000000,int8,0.0083,0.0021,0.0022,3.94,3.77,1.0476,0.0024,3.44
n=2000000,fp16,0.0127,0.0037,0.0038,3.46,3.31,1.0270,0.0038,3.44
n=2000000,bf16,0.0124,0.0034,0.0037,3.64,3.36,1.0882,0.0040,3.06
n=2000000,fp32,0.0146,0.0064,0.0070,2.29,2.07,1.0938,0.0067,2.19
n=2000000,int8,0.0117,0.0026,0.0027,4.56,4.26,1.0385,0.0032,3.60
n=3000000,fp16,0.0171,0.0053,0.0057,3.24,3.00,1.0755,0.0051,3.16
n=3000000,bf16,0.0167,0.0051,0.0054,3.26,3.11,1.0588,0.0059,2.99
n=3000000,fp32,0.0219,0.0098,0.0098,2.24,2.25,1.0000,0.0097,2.28
n=3000000,int8,0.0143,0.0029,0.0035,4.99,4.12,1.2069,0.0037,4.08
n=4000000,fp16,0.0217,0.0069,0.0075,3.15,2.87,1.0870,0.0071,3.03
n=4000000,bf16,0.0216,0.0066,0.0067,3.29,3.25,1.0152,0.0072,3.09
n=4000000,fp32,0.0299,0.0117,0.0124,2.55,2.42,1.0598,0.0124,2.46
n=4000000,int8,0.0181,0.0035,0.0037,5.18,4.91,1.0571,0.0041,4.35
n=5000000,fp16,0.0266,0.0081,0.0085,3.28,3.15,1.0494,0.0087,3.04
n=5000000,bf16,0.0266,0.0080,0.0081,3.32,3.27,1.0125,0.0086,3.09
n=5000000,fp32,0.0373,0.0145,0.0150,2.57,2.49,1.0345,0.0151,2.46
n=5000000,int8,0.0211,0.0056,0.0041,3.74,5.11,0.7321,0.0049,4.54
n=6000000,fp16,0.0318,0.0103,0.0096,3.09,3.31,0.9320,0.0105,3.04
n=6000000,bf16,0.0320,0.0095,0.0106,3.39,3.04,1.1158,0.0104,3.05
n=6000000,fp32,0.0429,0.0170,0.0172,2.52,2.49,1.0118,0.0173,2.50
n=6000000,int8,0.0256,0.0049,0.0052,5.24,4.95,1.0612,0.0056,4.79
n=7000000,fp16,0.0369,0.0108,0.0108,3.41,3.42,1.0000,0.0111,3.35
n=7000000,bf16,0.0374,0.0109,0.0110,3.44,3.40,1.0092,0.0110,3.38
n=7000000,fp32,0.0493,0.0194,0.0194,2.54,2.54,1.0000,0.0192,2.56
n=7000000,int8,0.0303,0.0056,0.0064,5.42,4.77,1.1429,0.0062,4.95
n=8000000,fp16,0.0421,0.0123,0.0124,3.43,3.40,1.0081,0.0131,3.20
n=8000000,bf16,0.0425,0.0132,0.0124,3.23,3.43,0.9394,0.0126,3.35
n=8000000,fp32,0.0557,0.0216,0.0216,2.57,2.58,1.0000,0.0217,2.55
n=8000000,int8,0.0348,0.0064,0.0067,5.44,5.18,1.0469,0.0075,4.72
n=9000000,fp16,0.0475,0.0134,0.0137,3.53,3.47,1.0224,0.0146,3.24
n=9000000,bf16,0.0470,0.0133,0.0137,3.54,3.44,1.0301,0.0136,3.44
n=9000000,fp32,0.0621,0.0241,0.0242,2.58,2.57,1.0041,0.0246,2.53
n=9000000,int8,0.0393,0.0071,0.0075,5.50,5.22,1.0563,0.0086,4.68
n=10000000,fp16,0.0518,0.0145,0.0146,3.56,3.55,1.0069,0.0149,3.47
n=10000000,bf16,0.0515,0.0145,0.0145,3.55,3.55,1.0000,0.0150,3.44
n=10000000,fp32,0.0694,0.0263,0.0265,2.65,2.62,1.0076,0.0265,2.61
n=10000000,int8,0.0442,0.0077,0.0081,5.72,5.43,1.0519,0.0087,5.13
n=11000000,fp16,0.0560,0.0170,0.0160,3.30,3.51,0.9412,0.0173,3.24
n=11000000,bf16,0.0561,0.0170,0.0159,3.29,3.53,0.9353,0.0164,3.42
n=11000000,fp32,0.0796,0.0287,0.0287,2.77,2.78,1.0000,0.0287,2.77
