params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1000000,fp16,0.0088,0.0026,0.0027,3.36,3.28,1.0385,0.0026,3.34,10.3637,0.3514,29.49
n=1000000,bf16,0.0087,0.0025,0.0026,3.52,3.35,1.0400,0.0026,3.38,10.3799,0.3507,29.60
n=1000000,fp32,0.0089,0.0037,0.0039,2.44,2.31,1.0541,0.0039,2.28,10.6759,0.6075,17.57
n=1000000,int8,0.0081,0.0021,0.0024,3.78,3.37,1.1429,0.0023,3.53,9.8533,0.2229,44.21
n=2000000,fp16,0.0129,0.0038,0.0038,3.42,3.37,1.0000,0.0038,3.43,0.0779,0.1316,0.59
n=2000000,bf16,0.0126,0.0036,0.0037,3.49,3.41,1.0278,0.0038,3.27,0.0779,0.1317,0.59
n=2000000,fp32,0.0147,0.0064,0.0071,2.29,2.08,1.1094,0.0068,2.15,0.0930,0.2478,0.38
n=2000000,int8,0.0117,0.0026,0.0029,4.42,3.99,1.1154,0.0028,4.11,0.0725,0.0793,0.91
n=3000000,fp16,0.0169,0.0052,0.0053,3.26,3.20,1.0192,0.0053,3.18,226.0327,0.9852,229.44
n=3000000,bf16,0.0165,0.0053,0.0054,3.10,3.07,1.0189,0.0052,3.17,224.6891,0.9842,228.29
n=3000000,fp32,0.0224,0.0096,0.0107,2.33,2.10,1.1146,0.0104,2.15,225.5857,1.8522,121.80
n=3000000,int8,0.0143,0.0034,0.0037,4.19,3.86,1.0882,0.0037,3.89,225.5373,0.7045,320.15
n=4000000,fp16,0.0218,0.0068,0.0069,3.22,3.16,1.0147,0.0068,3.22,0.1330,0.2477,0.54
n=4000000,bf16,0.0213,0.0067,0.0068,3.17,3.15,1.0149,0.0068,3.14,0.1329,0.2478,0.54
n=4000000,fp32,0.0304,0.0122,0.0135,2.48,2.25,1.1066,0.0128,2.37,0.1757,0.4726,0.37
n=4000000,int8,0.0175,0.0039,0.0042,4.50,4.14,1.0769,0.0039,4.51,0.1304,0.1320,0.99
n=5000000,fp16,0.0267,0.0084,0.0085,3.18,3.15,1.0119,0.0086,3.11,374.5145,1.8147,206.38
n=5000000,bf16,0.0268,0.0084,0.0085,3.20,3.16,1.0119,0.0086,3.12,375.0674,1.8149,206.66
n=5000000,fp32,0.0373,0.0146,0.0164,2.56,2.28,1.1233,0.0149,2.50,374.8177,3.3103,113.23
n=5000000,int8,0.0211,0.0046,0.0050,4.54,4.24,1.0870,0.0046,4.56,376.0774,1.1847,317.46
n=6000000,fp16,0.0321,0.0098,0.0101,3.26,3.18,1.0306,0.0098,3.27,0.1854,0.3628,0.51
n=6000000,bf16,0.0320,0.0098,0.0099,3.25,3.23,1.0102,0.0099,3.22,0.1854,0.3629,0.51
n=6000000,fp32,0.0438,0.0170,0.0191,2.58,2.29,1.1235,0.0174,2.52,0.2374,0.6939,0.34
n=6000000,int8,0.0256,0.0056,0.0058,4.59,4.39,1.0357,0.0057,4.50,0.1674,0.1900,0.88
n=7000000,fp16,0.0373,0.0111,0.0111,3.37,3.35,1.0000,0.0114,3.28,526.4570,2.1328,246.83
n=7000000,bf16,0.0368,0.0110,0.0110,3.34,3.33,1.0000,0.0111,3.33,525.5231,2.1325,246.43
n=7000000,fp32,0.0498,0.0192,0.0219,2.60,2.27,1.1406,0.0199,2.51,524.8790,4.2200,124.38
n=7000000,int8,0.0297,0.0064,0.0067,4.68,4.47,1.0469,0.0065,4.54,528.1355,1.5258,346.13
n=8000000,fp16,0.0421,0.0123,0.0124,3.43,3.40,1.0081,0.0122,3.47,0.2435,0.4745,0.51
n=8000000,bf16,0.0421,0.0123,0.0124,3.43,3.41,1.0081,0.0121,3.47,0.2434,0.4746,0.51
n=8000000,fp32,0.0560,0.0217,0.0248,2.59,2.26,1.1429,0.0221,2.54,0.3156,0.9214,0.34
n=8000000,int8,0.0353,0.0074,0.0076,4.79,4.61,1.0270,0.0072,4.88,0.2302,0.2441,0.94
n=9000000,fp16,0.0471,0.0136,0.0136,3.47,3.45,1.0000,0.0136,3.47,676.6584,3.4669,195.18
n=9000000,bf16,0.0473,0.0138,0.0139,3.43,3.41,1.0072,0.0137,3.45,674.9231,3.4668,194.68
n=9000000,fp32,0.0618,0.0240,0.0275,2.57,2.25,1.1458,0.0245,2.52,677.3427,5.4605,124.04
n=9000000,int8,0.0395,0.0079,0.0082,4.99,4.82,1.0380,0.0082,4.79,676.2451,1.7709,381.87
n=10000000,fp16,0.0518,0.0145,0.0145,3.57,3.57,1.0000,0.0149,3.48,0.2985,0.5901,0.51
