params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
"cols=1024, rows=512",fp32,0.0116,0.0028,0.0031,4.17,3.72,1.1071,0.0027,4.25,0.0296,0.0483,0.61
"cols=2048, rows=512",fp32,0.0148,0.0041,0.0041,3.59,3.64,1.0000,0.0034,4.41,0.0369,0.0700,0.53
"cols=4096, rows=512",fp32,0.0223,0.0062,0.0057,3.60,3.87,0.9194,0.0056,4.01,0.0547,0.1113,0.49
"cols=8192, rows=512",fp32,0.0245,0.0117,0.0096,2.09,2.55,0.8205,0.0102,2.41,0.0827,0.1896,0.44
"cols=16384, rows=512",fp32,0.0439,0.0246,0.0187,1.79,2.35,0.7602,0.0208,2.11,0.1434,0.3496,0.41
"cols=1024, rows=1024",fp32,0.0126,0.0038,0.0039,3.28,3.23,1.0263,0.0035,3.57,0.0394,0.0745,0.53
"cols=2048, rows=1024",fp32,0.0179,0.0061,0.0061,2.96,2.96,1.0000,0.0047,3.78,0.0635,0.1090,0.58
"cols=4096, rows=1024",fp32,0.0307,0.0095,0.0095,3.22,3.23,1.0000,0.0100,3.06,0.0876,0.1900,0.46
"cols=8192, rows=1024",fp32,0.0447,0.0181,0.0181,2.47,2.46,1.0000,0.0178,2.51,0.1433,0.3568,0.40
"cols=16384, rows=1024",fp32,0.0914,0.0343,0.0320,2.67,2.85,0.9329,0.0348,2.63,0.2633,0.6760,0.39
"cols=1024, rows=2048",fp32,0.0170,0.0064,0.0064,2.67,2.63,1.0000,0.0050,3.39,0.0552,0.1213,0.45
"cols=2048, rows=2048",fp32,0.0259,0.0107,0.0105,2.42,2.47,0.9813,0.0089,2.92,0.1044,0.1949,0.54
"cols=4096, rows=2048",fp32,0.0523,0.0193,0.0193,2.72,2.70,1.0000,0.0177,2.95,0.1555,0.3599,0.43
"cols=8192, rows=2048",fp32,0.0959,0.0337,0.0323,2.85,2.97,0.9585,0.0310,3.09,0.2643,0.6874,0.38
"cols=16384, rows=2048",fp32,0.1987,0.0633,0.0569,3.14,3.49,0.8989,0.0599,3.32,0.5036,1.3309,0.38
"cols=1024, rows=4096",fp32,0.0246,0.0111,0.0118,2.22,2.08,1.0631,0.0089,2.76,0.0849,0.2199,0.39
"cols=2048, rows=4096",fp32,0.0456,0.0199,0.0183,2.29,2.49,0.9196,0.0160,2.86,0.1694,0.3751,0.45
"cols=4096, rows=4096",fp32,0.0993,0.0353,0.0332,2.82,3.00,0.9405,0.0314,3.17,0.2802,0.7076,0.40
"cols=8192, rows=4096",fp32,0.2006,0.0575,0.0547,3.49,3.67,0.9513,0.0538,3.73,0.5069,1.3447,0.38
"cols=16384, rows=4096",fp32,0.3748,0.1012,0.0932,3.70,4.02,0.9209,0.0981,3.82,0.9866,2.6241,0.38
